distanceFactor,meanTemp,meanTempSD,yield,yieldSD
1.25,947.88,21.321,0.10037,0.025552
1.5,952.16,18.469,0.10529,0.02306
1.75,956.95,15.809,0.11123,0.020756
2,961.18,13.409,0.11697,0.01848
2.25,964.9,11.605,0.12207,0.016829
2.375,966.84,10.786,0.12477,0.016099
2.5,968.64,10.081,0.12732,0.015412
2.75,971.69,8.953,0.13197,0.013687
3,974.2,7.9962,0.13582,0.012224
3.5,978.21,6.5081,0.14194,0.0099493
4,981.06,5.2762,0.1463,0.008066
4.25,982.08,4.6401,0.14786,0.0070936
