distanceFactor,meanTemp,meanTempSD,yield,yieldSD
1.825,985.88,23.345,0.16108,0.038974
2.19,990.98,20.046,0.16886,0.035304
2.555,996.48,17.17,0.17801,0.03119
2.92,1001.3,14.585,0.18655,0.027508
3.285,1005.5,12.658,0.19449,0.024825
3.465,1007.6,11.787,0.19868,0.023666
3.65,1009.6,11.04,0.20274,0.022559
4.015,1013,9.757,0.20973,0.020672
4.38,1015.8,8.6968,0.21555,0.019112
5.11,1020.4,7.2458,0.22551,0.015923
5.84,1023.8,6.2333,0.23311,0.013698
6.205,1025.2,5.8148,0.23622,0.012779
