ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K);stdTubeTemps(K)
433;1.825;0.01;0.04;1090;33.230290
434;2.19;0.01;0.04;1098;25.292900
435;2.555;0.01;0.04;1103;21.638278
436;2.92;0.01;0.04;1107;20.277491
437;3.285;0.01;0.04;1110;20.145895
438;3.465;0.01;0.04;1111;20.471296
439;3.65;0.01;0.04;1112;20.913338
440;4.015;0.01;0.04;1114;22.271596
441;4.38;0.01;0.04;1116;23.950283
442;5.11;0.01;0.04;1118;28.630138
443;5.84;0.01;0.04;1120;35.136418
444;6.205;0.01;0.04;1120;38.922856
