ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K);stdTubeTemps(K)
98;1.5;0.01;0.063;960;41.402459
99;1.75;0.01;0.063;967;33.413095
100;2;0.01;0.063;972;29.241307
101;2.25;0.01;0.063;975;27.300724
102;2.375;0.01;0.063;977;26.947320
103;2.5;0.01;0.063;978;26.950354
104;2.75;0.01;0.063;980;27.689607
105;3;0.01;0.063;982;29.257346
106;3.5;0.01;0.063;985;34.020759
107;4;0.01;0.063;986;41.240599
108;4.25;0.01;0.063;979;48.646054
