ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K)
589;1.825;0.005;0.04;1018
590;2.19;0.005;0.04;1024
591;2.555;0.005;0.04;1027
592;2.92;0.005;0.04;1028
593;3.285;0.005;0.04;1029
594;3.465;0.005;0.04;1030
595;3.65;0.005;0.04;1030
596;4.015;0.005;0.04;1030
597;4.38;0.005;0.04;1031
598;5.11;0.005;0.04;1031
599;5.84;0.005;0.04;1032
600;6.205;0.005;0.04;1032
602;2.19;0.01;0.04;1105
603;2.555;0.01;0.04;1110
604;2.92;0.01;0.04;1113
605;3.285;0.01;0.04;1116
606;3.465;0.01;0.04;1117
607;3.65;0.01;0.04;1118
608;4.015;0.01;0.04;1119
609;4.38;0.01;0.04;1123
610;5.11;0.01;0.04;1122
611;5.84;0.01;0.04;1122
612;6.205;0.01;0.04;1112
615;2.555;0.015;0.04;1009
616;2.92;0.015;0.04;1110
617;3.285;0.015;0.04;1116
618;3.465;0.015;0.04;1185
619;3.65;0.015;0.04;1189
620;4.015;0.015;0.04;1189
621;4.38;0.015;0.04;1194
622;5.11;0.015;0.04;1193
623;5.84;0.015;0.04;1192
624;6.205;0.015;0.04;1147
