ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K)
925;1.013888889;0.005;0.08;864
926;1.216666667;0.005;0.08;871
927;1.419444444;0.005;0.08;875
928;1.622222222;0.005;0.08;877
929;1.825;0.005;0.08;879
930;1.925;0.005;0.08;879
931;2.027777778;0.005;0.08;880
932;2.230555556;0.005;0.08;880
933;2.433333333;0.005;0.08;880
934;2.838888889;0.005;0.08;879
935;3.244444444;0.005;0.08;875
936;3.447222222;0.005;0.08;883
937;1.013888889;0.01;0.08;890
938;1.216666667;0.01;0.08;911
939;1.419444444;0.01;0.08;919
940;1.622222222;0.01;0.08;924
941;1.825;0.01;0.08;928
942;1.925;0.01;0.08;929
943;2.027777778;0.01;0.08;930
944;2.230555556;0.01;0.08;932
945;2.433333333;0.01;0.08;934
946;2.838888889;0.01;0.08;934
947;3.244444444;0.01;0.08;924
948;3.447222222;0.01;0.08;921
949;1.013888889;0.015;0.08;906
950;1.216666667;0.015;0.08;943
951;1.419444444;0.015;0.08;953
952;1.622222222;0.015;0.08;960
953;1.825;0.015;0.08;965
954;1.925;0.015;0.08;967
955;2.027777778;0.015;0.08;969
956;2.230555556;0.015;0.08;972
957;2.433333333;0.015;0.08;975
958;2.838888889;0.015;0.08;979
960;3.447222222;0.015;0.08;950
