ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K)
841;1.013888889;0.005;0.08;859
842;1.216666667;0.005;0.08;868
843;1.419444444;0.005;0.08;872
844;1.622222222;0.005;0.08;875
845;1.825;0.005;0.08;877
846;1.925;0.005;0.08;878
847;2.027777778;0.005;0.08;879
848;2.230555556;0.005;0.08;880
849;2.433333333;0.005;0.08;881
850;2.838888889;0.005;0.08;882
851;3.244444444;0.005;0.08;882
852;3.447222222;0.005;0.08;882
853;1.013888889;0.01;0.08;882
854;1.216666667;0.01;0.08;906
855;1.419444444;0.01;0.08;905
856;1.622222222;0.01;0.08;919
857;1.825;0.01;0.08;923
858;1.925;0.01;0.08;924
860;2.230555556;0.01;0.08;928
861;2.433333333;0.01;0.08;927
862;2.838888889;0.01;0.08;934
863;3.244444444;0.01;0.08;935
864;3.447222222;0.01;0.08;936
865;1.013888889;0.015;0.08;895
866;1.216666667;0.015;0.08;934
867;1.419444444;0.015;0.08;926
868;1.622222222;0.015;0.08;936
869;1.825;0.015;0.08;957
870;1.925;0.015;0.08;948
872;2.230555556;0.015;0.08;965
873;2.433333333;0.015;0.08;958
874;2.838888889;0.015;0.08;973
875;3.244444444;0.015;0.08;976
876;3.447222222;0.015;0.08;978
