ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K)
85;1.25;0.005;0.063;901
86;1.5;0.005;0.063;909
87;1.75;0.005;0.063;913
88;2;0.005;0.063;916
89;2.25;0.005;0.063;918
90;2.375;0.005;0.063;919
91;2.5;0.005;0.063;919
92;2.75;0.005;0.063;920
93;3;0.005;0.063;921
94;3.5;0.005;0.063;922
95;4;0.005;0.063;922
98;1.5;0.01;0.063;960
99;1.75;0.01;0.063;967
100;2;0.01;0.063;972
101;2.25;0.01;0.063;975
102;2.375;0.01;0.063;977
103;2.5;0.01;0.063;978
104;2.75;0.01;0.063;980
105;3;0.01;0.063;982
106;3.5;0.01;0.063;985
107;4;0.01;0.063;986
108;4.25;0.01;0.063;979
110;1.5;0.015;0.063;998
111;1.75;0.015;0.063;1007
112;2;0.015;0.063;1013
113;2.25;0.015;0.063;1018
114;2.375;0.015;0.063;1020
115;2.5;0.015;0.063;1021
116;2.75;0.015;0.063;1025
117;3;0.015;0.063;1027
118;3.5;0.015;0.063;1032
119;4;0.015;0.063;1037
120;4.25;0.015;0.063;1021
