ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K)
673;1.013888889;0.005;0.08;917
674;1.216666667;0.005;0.08;923
675;1.419444444;0.005;0.08;924
676;1.622222222;0.005;0.08;925
677;1.825;0.005;0.08;926
678;1.925;0.005;0.08;926
679;2.027777778;0.005;0.08;927
680;2.230555556;0.005;0.08;927
681;2.433333333;0.005;0.08;927
682;2.838888889;0.005;0.08;928
683;3.244444444;0.005;0.08;929
684;3.447222222;0.005;0.08;929
685;1.013888889;0.01;0.08;941
686;1.216666667;0.01;0.08;958
687;1.419444444;0.01;0.08;960
688;1.622222222;0.01;0.08;961
689;1.825;0.01;0.08;962
690;1.925;0.01;0.08;963
691;2.027777778;0.01;0.08;963
692;2.230555556;0.01;0.08;964
693;2.433333333;0.01;0.08;964
694;2.838888889;0.01;0.08;965
695;3.244444444;0.01;0.08;966
696;3.447222222;0.01;0.08;965
697;1.013888889;0.015;0.08;962
698;1.216666667;0.015;0.08;989
699;1.419444444;0.015;0.08;992
700;1.622222222;0.015;0.08;993
701;1.825;0.015;0.08;995
702;1.925;0.015;0.08;995
703;2.027777778;0.015;0.08;996
704;2.230555556;0.015;0.08;996
705;2.433333333;0.015;0.08;997
706;2.838888889;0.015;0.08;998
707;3.244444444;0.015;0.08;999
708;3.447222222;0.015;0.08;998
