ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K)
421;1.825;0.005;0.04;1015
422;2.19;0.005;0.04;1020
423;2.555;0.005;0.04;1023
424;2.92;0.005;0.04;1026
425;3.285;0.005;0.04;1027
426;3.465;0.005;0.04;1028
427;3.65;0.005;0.04;1028
428;4.015;0.005;0.04;1029
429;4.38;0.005;0.04;1030
430;5.11;0.005;0.04;1031
431;5.84;0.005;0.04;1031
432;6.205;0.005;0.04;1032
433;1.825;0.01;0.04;1090
434;2.19;0.01;0.04;1098
435;2.555;0.01;0.04;1103
436;2.92;0.01;0.04;1107
437;3.285;0.01;0.04;1110
438;3.465;0.01;0.04;1111
439;3.65;0.01;0.04;1112
440;4.015;0.01;0.04;1114
441;4.38;0.01;0.04;1116
442;5.11;0.01;0.04;1118
443;5.84;0.01;0.04;1120
444;6.205;0.01;0.04;1120
445;1.825;0.015;0.04;1146
446;2.19;0.015;0.04;1081
447;2.555;0.015;0.04;1090
448;2.92;0.015;0.04;1097
449;3.285;0.015;0.04;1103
450;3.465;0.015;0.04;1106
452;4.015;0.015;0.04;1179
453;4.38;0.015;0.04;1117
454;5.11;0.015;0.04;1185
455;5.84;0.015;0.04;1195
456;6.205;0.015;0.04;1189
