ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K)
337;1.825;0.005;0.04;1108
338;2.19;0.005;0.04;1110
339;2.555;0.005;0.04;1112
340;2.92;0.005;0.04;1112
341;3.285;0.005;0.04;1113
342;3.465;0.005;0.04;1114
343;3.65;0.005;0.04;1114
344;4.015;0.005;0.04;1114
345;4.38;0.005;0.04;1115
346;5.11;0.005;0.04;1116
347;5.84;0.005;0.04;1117
348;6.205;0.005;0.04;1116
349;1.825;0.01;0.04;1164
350;2.19;0.01;0.04;1166
351;2.555;0.01;0.04;1168
352;2.92;0.01;0.04;1169
353;3.285;0.01;0.04;1170
354;3.465;0.01;0.04;1171
355;3.65;0.01;0.04;1171
356;4.015;0.01;0.04;1172
357;4.38;0.01;0.04;1172
358;5.11;0.01;0.04;1173
359;5.84;0.01;0.04;1174
360;6.205;0.01;0.04;1174
361;1.825;0.015;0.04;1214
362;2.19;0.015;0.04;1217
363;2.555;0.015;0.04;1218
364;2.92;0.015;0.04;1220
365;3.285;0.015;0.04;1222
366;3.465;0.015;0.04;1222
367;3.65;0.015;0.04;1222
368;4.015;0.015;0.04;1223
369;4.38;0.015;0.04;1224
370;5.11;0.015;0.04;1226
371;5.84;0.015;0.04;1226
372;6.205;0.015;0.04;1226
