ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K)
505;1.825;0.005;0.04;1013
506;2.19;0.005;0.04;1019
507;2.555;0.005;0.04;1022
508;2.92;0.005;0.04;1025
509;3.285;0.005;0.04;1025
510;3.465;0.005;0.04;1027
511;3.65;0.005;0.04;1028
512;4.015;0.005;0.04;1029
513;4.38;0.005;0.04;1029
514;5.11;0.005;0.04;1031
515;5.84;0.005;0.04;1031
516;6.205;0.005;0.04;1031
517;1.825;0.01;0.04;1089
518;2.19;0.01;0.04;1098
519;2.555;0.01;0.04;1104
520;2.92;0.01;0.04;1108
521;3.285;0.01;0.04;1111
522;3.465;0.01;0.04;1112
523;3.65;0.01;0.04;1113
524;4.015;0.01;0.04;1115
525;4.38;0.01;0.04;1117
526;5.11;0.01;0.04;1119
527;5.84;0.01;0.04;1121
528;6.205;0.01;0.04;1121
529;1.825;0.015;0.04;1066
530;2.19;0.015;0.04;1083
531;2.555;0.015;0.04;1095
532;2.92;0.015;0.04;1102
533;3.285;0.015;0.04;1107
534;3.465;0.015;0.04;1110
535;3.65;0.015;0.04;1112
536;4.015;0.015;0.04;1116
537;4.38;0.015;0.04;1183
538;5.11;0.015;0.04;1187
539;5.84;0.015;0.04;1190
540;6.205;0.015;0.04;1190
