ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Approximated View Factor Per Tube (-)
757;0.005;0.08;5439;0.396385502
758;0.005;0.08;6374;0.335572587
759;0.005;0.08;6600;0.290047278
760;0.005;0.08;6758;0.254758127
761;0.005;0.08;6881;0.22682038
762;0.005;0.08;6933;0.214987042
763;0.005;0.08;6981;0.204314973
764;0.005;0.08;7064;0.185847606
765;0.005;0.08;7134;0.17043664
766;0.005;0.08;7231;0.146200275
767;0.005;0.08;7277;0.128024806
768;0.005;0.08;7287;0.120546392
769;0.01;0.08;7345;0.396385502
770;0.01;0.08;9437;0.335572587
771;0.01;0.08;9867;0.290047278
772;0.01;0.08;10184;0.254758127
773;0.01;0.08;10429;0.22682038
774;0.01;0.08;10536;0.214987042
775;0.01;0.08;10638;0.204314973
776;0.01;0.08;10822;0.185847606
777;0.01;0.08;10986;0.17043664
778;0.01;0.08;11032;0.146200275
779;0.01;0.08;11418;0.128024806
780;0.01;0.08;11479;0.120546392
781;0.015;0.08;8535;0.396385502
782;0.015;0.08;11932;0.335572587
783;0.015;0.08;12554;0.290047278
784;0.015;0.08;11756;0.254758127
785;0.015;0.08;13371;0.22682038
786;0.015;0.08;13526;0.214987042
787;0.015;0.08;13675;0.204314973
788;0.015;0.08;13946;0.185847606
789;0.015;0.08;14190;0.17043664
790;0.015;0.08;13800;0.146200275
791;0.015;0.08;15467;0.128024806
792;0.015;0.08;15050;0.120546392
793;0.02;0.08;9423;0.396385502
794;0.02;0.08;11284;0.335572587
795;0.02;0.08;12494;0.290047278
796;0.02;0.08;13303;0.254758127
797;0.02;0.08;13878;0.22682038
798;0.02;0.08;14217;0.214987042
799;0.02;0.08;14509;0.204314973
801;0.02;0.08;15295;0.17043664
802;0.02;0.08;15920;0.146200275
803;0.02;0.08;16347;0.128024806
804;0.02;0.08;18684;0.120546392
805;0.025;0.08;10046;0.396385502
806;0.025;0.08;12237;0.335572587
807;0.025;0.08;13640;0.290047278
808;0.025;0.08;14505;0.254758127
809;0.025;0.08;15102;0.22682038
810;0.025;0.08;15491;0.214987042
811;0.025;0.08;15858;0.204314973
813;0.025;0.08;16789;0.17043664
814;0.025;0.08;17733;0.146200275
815;0.025;0.08;18217;0.128024806
816;0.025;0.08;18427;0.120546392
817;0.03;0.08;10508;0.396385502
818;0.03;0.08;12992;0.335572587
819;0.03;0.08;14567;0.290047278
820;0.03;0.08;15441;0.254758127
821;0.03;0.08;16082;0.22682038
822;0.03;0.08;16513;0.214987042
823;0.03;0.08;16943;0.204314973
825;0.03;0.08;18031;0.17043664
826;0.03;0.08;19156;0.146200275
827;0.03;0.08;19764;0.128024806
828;0.03;0.08;19903;0.120546392
829;0.035;0.08;10802;0.396385502
830;0.035;0.08;13610;0.335572587
831;0.035;0.08;15305;0.290047278
832;0.035;0.08;16215;0.254758127
833;0.035;0.08;16841;0.22682038
834;0.035;0.08;17343;0.214987042
835;0.035;0.08;17647;0.204314973
837;0.035;0.08;18988;0.17043664
838;0.035;0.08;20298;0.146200275
839;0.035;0.08;21043;0.128024806
840;0.035;0.08;21025;0.120546392
