ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Approximated View Factor Per Tube (-)
169;0.005;0.063;5740;0.597313333
170;0.005;0.063;6078;0.555493333
171;0.005;0.063;6276;0.509973333
172;0.005;0.063;6421;0.46294
173;0.005;0.063;6511;0.42168
174;0.005;0.063;6579;0.40374
175;0.005;0.063;6621;0.386946667
176;0.005;0.063;6684;0.355586667
177;0.005;0.063;6753;0.327726667
178;0.005;0.063;6835;0.282346667
179;0.005;0.063;6856;0.247633333
180;0.005;0.063;6852;0.233226667
181;0.01;0.063;7120;0.597313333
182;0.01;0.063;8985;0.555493333
183;0.01;0.063;9360;0.509973333
184;0.01;0.063;9639;0.46294
185;0.01;0.063;9825;0.42168
186;0.01;0.063;9949;0.40374
187;0.01;0.063;10037;0.386946667
188;0.01;0.063;10282;0.355586667
189;0.01;0.063;10326;0.327726667
190;0.01;0.063;10528;0.282346667
191;0.01;0.063;10084;0.247633333
192;0.01;0.063;10670;0.233226667
193;0.015;0.063;10123;0.597313333
194;0.015;0.063;9302;0.555493333
195;0.015;0.063;10132;0.509973333
196;0.015;0.063;10692;0.46294
197;0.015;0.063;11150;0.42168
198;0.015;0.063;11351;0.40374
199;0.015;0.063;11520;0.386946667
200;0.015;0.063;11783;0.355586667
201;0.015;0.063;12052;0.327726667
202;0.015;0.063;14288;0.282346667
203;0.015;0.063;12721;0.247633333
204;0.015;0.063;12720;0.233226667
205;0.02;0.063;9050;0.597313333
206;0.02;0.063;10407;0.555493333
207;0.02;0.063;11383;0.509973333
208;0.02;0.063;12004;0.46294
209;0.02;0.063;12555;0.42168
210;0.02;0.063;12781;0.40374
211;0.02;0.063;13000;0.386946667
212;0.02;0.063;13367;0.355586667
213;0.02;0.063;13723;0.327726667
215;0.02;0.063;14579;0.247633333
216;0.02;0.063;14618;0.233226667
217;0.025;0.063;9699;0.597313333
218;0.025;0.063;11219;0.555493333
219;0.025;0.063;12283;0.509973333
220;0.025;0.063;12987;0.46294
221;0.025;0.063;13621;0.42168
222;0.025;0.063;13852;0.40374
223;0.025;0.063;14119;0.386946667
224;0.025;0.063;14530;0.355586667
225;0.025;0.063;14970;0.327726667
226;0.025;0.063;15589;0.282346667
227;0.025;0.063;16013;0.247633333
228;0.025;0.063;16134;0.233226667
229;0.03;0.063;10243;0.597313333
230;0.03;0.063;11913;0.555493333
231;0.03;0.063;13026;0.509973333
232;0.03;0.063;13847;0.46294
233;0.03;0.063;14487;0.42168
234;0.03;0.063;14690;0.40374
235;0.03;0.063;14957;0.386946667
236;0.03;0.063;15399;0.355586667
237;0.03;0.063;15894;0.327726667
238;0.03;0.063;16635;0.282346667
239;0.03;0.063;17212;0.247633333
240;0.03;0.063;17459;0.233226667
241;0.035;0.063;10619;0.597313333
242;0.035;0.063;12382;0.555493333
243;0.035;0.063;13592;0.509973333
244;0.035;0.063;14326;0.46294
245;0.035;0.063;15059;0.42168
246;0.035;0.063;15355;0.40374
247;0.035;0.063;15662;0.386946667
248;0.035;0.063;16226;0.355586667
249;0.035;0.063;16623;0.327726667
250;0.035;0.063;17540;0.282346667
251;0.035;0.063;18198;0.247633333
252;0.035;0.063;18385;0.233226667
