ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Approximated View Factor Per Tube (-)
253;0.005;0.063;6171;0.516257143
254;0.005;0.063;6419;0.458742857
255;0.005;0.063;6571;0.4093
256;0.005;0.063;6680;0.366992857
257;0.005;0.063;6759;0.330592857
258;0.005;0.063;6778;0.314842857
259;0.005;0.063;6816;0.300428571
260;0.005;0.063;6854;0.274628571
261;0.005;0.063;6872;0.252464286
262;0.005;0.063;6872;0.217085714
263;0.005;0.063;6880;0.190264286
264;0.005;0.063;6684;0.179164286
265;0.01;0.063;9068;0.516257143
266;0.01;0.063;9546;0.458742857
267;0.01;0.063;9856;0.4093
268;0.01;0.063;10091;0.366992857
269;0.01;0.063;10284;0.330592857
270;0.01;0.063;10366;0.314842857
271;0.01;0.063;10443;0.300428571
272;0.01;0.063;10566;0.274628571
273;0.01;0.063;10662;0.252464286
274;0.01;0.063;10732;0.217085714
275;0.01;0.063;10194;0.190264286
276;0.01;0.063;9873;0.179164286
277;0.015;0.063;11393;0.516257143
278;0.015;0.063;12082;0.458742857
279;0.015;0.063;12530;0.4093
280;0.015;0.063;12872;0.366992857
281;0.015;0.063;13159;0.330592857
282;0.015;0.063;13355;0.314842857
283;0.015;0.063;13411;0.300428571
284;0.015;0.063;13620;0.274628571
285;0.015;0.063;13795;0.252464286
286;0.015;0.063;14241;0.217085714
287;0.015;0.063;12249;0.190264286
288;0.015;0.063;11871;0.179164286
289;0.02;0.063;10408;0.516257143
290;0.02;0.063;11558;0.458742857
291;0.02;0.063;12349;0.4093
292;0.02;0.063;13025;0.366992857
293;0.02;0.063;13487;0.330592857
294;0.02;0.063;13655;0.314842857
295;0.02;0.063;13674;0.300428571
296;0.02;0.063;13932;0.274628571
297;0.02;0.063;14243;0.252464286
298;0.02;0.063;17099;0.217085714
300;0.02;0.063;13433;0.179164286
301;0.025;0.063;11243;0.516257143
302;0.025;0.063;12518;0.458742857
303;0.025;0.063;13367;0.4093
304;0.025;0.063;14140;0.366992857
305;0.025;0.063;14714;0.330592857
306;0.025;0.063;14920;0.314842857
307;0.025;0.063;14985;0.300428571
308;0.025;0.063;15469;0.274628571
309;0.025;0.063;15784;0.252464286
310;0.025;0.063;19383;0.217085714
311;0.025;0.063;16476;0.190264286
312;0.025;0.063;14614;0.179164286
313;0.03;0.063;11870;0.516257143
314;0.03;0.063;13233;0.458742857
315;0.03;0.063;14166;0.4093
316;0.03;0.063;15006;0.366992857
317;0.03;0.063;15711;0.330592857
318;0.03;0.063;16018;0.314842857
319;0.03;0.063;16200;0.300428571
320;0.03;0.063;16718;0.274628571
321;0.03;0.063;17118;0.252464286
322;0.03;0.063;17319;0.217085714
323;0.03;0.063;17920;0.190264286
324;0.03;0.063;15506;0.179164286
325;0.035;0.063;12405;0.516257143
326;0.035;0.063;13787;0.458742857
327;0.035;0.063;14802;0.4093
328;0.035;0.063;15722;0.366992857
329;0.035;0.063;16541;0.330592857
330;0.035;0.063;16880;0.314842857
331;0.035;0.063;17117;0.300428571
332;0.035;0.063;17448;0.274628571
333;0.035;0.063;18025;0.252464286
334;0.035;0.063;18375;0.217085714
335;0.035;0.063;19091;0.190264286
336;0.035;0.063;16344;0.179164286
