ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Approximated View Factor Per Tube (-)
589;0.005;0.04;5643;0.542877854
590;0.005;0.04;5807;0.487353169
591;0.005;0.04;5884;0.438673474
592;0.005;0.04;5933;0.395904831
593;0.005;0.04;5966;0.358759177
594;0.005;0.04;5978;0.341926404
595;0.005;0.04;5987;0.326509006
596;0.005;0.04;6001;0.299390456
597;0.005;0.04;6007;0.27582857
598;0.005;0.04;6019;0.237501888
599;0.005;0.04;6038;0.208293345
600;0.005;0.04;6016;0.196185441
602;0.01;0.04;8338;0.487353169
603;0.01;0.04;8488;0.438673474
604;0.01;0.04;8595;0.395904831
605;0.01;0.04;8670;0.358759177
606;0.01;0.04;8700;0.341926404
607;0.01;0.04;8724;0.326509006
608;0.01;0.04;8764;0.299390456
609;0.01;0.04;8864;0.27582857
610;0.01;0.04;8811;0.237501888
611;0.01;0.04;8779;0.208293345
612;0.01;0.04;8437;0.196185441
615;0.015;0.04;5346;0.438673474
616;0.015;0.04;8468;0.395904831
617;0.015;0.04;8670;0.358759177
618;0.015;0.04;10776;0.341926404
619;0.015;0.04;10874;0.326509006
620;0.015;0.04;10882;0.299390456
621;0.015;0.04;11012;0.27582857
622;0.015;0.04;10954;0.237501888
623;0.015;0.04;10888;0.208293345
624;0.015;0.04;9500;0.196185441
626;0.02;0.04;5288;0.487353169
627;0.02;0.04;9021;0.438673474
628;0.02;0.04;9309;0.395904831
629;0.02;0.04;9571;0.358759177
630;0.02;0.04;9707;0.341926404
631;0.02;0.04;9777;0.326509006
632;0.02;0.04;12500;0.299390456
633;0.02;0.04;5711;0.27582857
634;0.02;0.04;10223;0.237501888
635;0.02;0.04;10617;0.208293345
636;0.02;0.04;10367;0.196185441
637;0.025;0.04;8855;0.542877854
638;0.025;0.04;9307;0.487353169
639;0.025;0.04;9578;0.438673474
640;0.025;0.04;9941;0.395904831
641;0.025;0.04;10247;0.358759177
642;0.025;0.04;10377;0.341926404
643;0.025;0.04;10486;0.326509006
644;0.025;0.04;10492;0.299390456
645;0.025;0.04;10759;0.27582857
646;0.025;0.04;10965;0.237501888
647;0.025;0.04;11427;0.208293345
648;0.025;0.04;11407;0.196185441
649;0.03;0.04;9287;0.542877854
650;0.03;0.04;9796;0.487353169
651;0.03;0.04;10044;0.438673474
652;0.03;0.04;10524;0.395904831
653;0.03;0.04;10763;0.358759177
654;0.03;0.04;10894;0.341926404
655;0.03;0.04;11077;0.326509006
656;0.03;0.04;11100;0.299390456
657;0.03;0.04;11321;0.27582857
658;0.03;0.04;11548;0.237501888
659;0.03;0.04;12031;0.208293345
660;0.03;0.04;12029;0.196185441
661;0.035;0.04;9561;0.542877854
662;0.035;0.04;10088;0.487353169
663;0.035;0.04;10486;0.438673474
664;0.035;0.04;10957;0.395904831
665;0.035;0.04;11147;0.358759177
666;0.035;0.04;11278;0.341926404
667;0.035;0.04;11468;0.326509006
668;0.035;0.04;11507;0.299390456
669;0.035;0.04;11806;0.27582857
670;0.035;0.04;12078;0.237501888
671;0.035;0.04;12440;0.208293345
672;0.035;0.04;12527;0.196185441
