ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Approximated View Factor Per Tube (-)
1;0.005;0.063;9801;0.1938
2;0.005;0.063;9899;0.16386
3;0.005;0.063;9958;0.14174
4;0.005;0.063;10012;0.12476
5;0.005;0.063;10061;0.11136
6;0.005;0.063;10082;0.10568
7;0.005;0.063;10099;0.10054
8;0.005;0.063;10133;0.0916
10;0.005;0.063;10215;0.07226
11;0.005;0.063;10260;0.06334
12;0.005;0.063;10246;0.05964
13;0.01;0.063;12373;0.1938
14;0.01;0.063;12522;0.16386
15;0.01;0.063;12619;0.14174
16;0.01;0.063;12680;0.12476
17;0.01;0.063;12759;0.11136
18;0.01;0.063;12788;0.10568
19;0.01;0.063;12811;0.10054
20;0.01;0.063;12855;0.0916
23;0.01;0.063;13000;0.06334
24;0.01;0.063;12968;0.05964
25;0.015;0.063;14735;0.1938
26;0.015;0.063;14933;0.16386
27;0.015;0.063;15022;0.14174
28;0.015;0.063;15126;0.12476
29;0.015;0.063;15243;0.11136
30;0.015;0.063;15279;0.10568
31;0.015;0.063;15310;0.10054
32;0.015;0.063;15365;0.0916
34;0.015;0.063;15470;0.07226
35;0.015;0.063;15523;0.06334
36;0.015;0.063;15476;0.05964
37;0.02;0.063;16840;0.1938
38;0.02;0.063;17085;0.16386
39;0.02;0.063;17166;0.14174
40;0.02;0.063;17288;0.12476
41;0.02;0.063;17467;0.11136
42;0.02;0.063;17513;0.10568
43;0.02;0.063;17551;0.10054
44;0.02;0.063;17618;0.0916
46;0.02;0.063;17733;0.07226
47;0.02;0.063;17801;0.06334
48;0.02;0.063;17745;0.05964
49;0.025;0.063;18712;0.1938
50;0.025;0.063;19001;0.16386
51;0.025;0.063;19075;0.14174
52;0.025;0.063;19229;0.12476
53;0.025;0.063;19450;0.11136
54;0.025;0.063;19504;0.10568
55;0.025;0.063;19549;0.10054
56;0.025;0.063;19629;0.0916
58;0.025;0.063;19766;0.07226
59;0.025;0.063;19843;0.06334
60;0.025;0.063;19785;0.05964
61;0.03;0.063;20380;0.1938
62;0.03;0.063;20708;0.16386
63;0.03;0.063;20812;0.14174
65;0.03;0.063;21219;0.11136
66;0.03;0.063;21280;0.10568
67;0.03;0.063;21331;0.10054
68;0.03;0.063;21423;0.0916
70;0.03;0.063;21636;0.07226
71;0.03;0.063;21672;0.06334
72;0.03;0.063;21615;0.05964
73;0.035;0.063;21869;0.1938
74;0.035;0.063;22234;0.16386
75;0.035;0.063;22374;0.14174
76;0.035;0.063;22560;0.12476
77;0.035;0.063;22797;0.11136
78;0.035;0.063;22865;0.10568
79;0.035;0.063;22921;0.10054
80;0.035;0.063;23023;0.0916
82;0.035;0.063;23271;0.07226
83;0.035;0.063;23308;0.06334
84;0.035;0.063;23255;0.05964
