ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatTransferPerMassFlow( W / kg/s)
673;0.005;0.08;9637;1927345
674;0.005;0.08;10393;2078567
675;0.005;0.08;10481;2096190
676;0.005;0.08;10538;2107688
677;0.005;0.08;10597;2119417
678;0.005;0.08;10621;2124101
679;0.005;0.08;10642;2128410
680;0.005;0.08;10684;2136746
681;0.005;0.08;10721;2144127
682;0.005;0.08;10792;2158399
683;0.005;0.08;10839;2167853
684;0.005;0.08;10825;2164945
685;0.01;0.08;11757;1175691
686;0.01;0.08;13378;1337789
687;0.01;0.08;13518;1351829
688;0.01;0.08;13595;1359458
689;0.01;0.08;13693;1369264
690;0.01;0.08;13726;1372616
691;0.01;0.08;13756;1375614
692;0.01;0.08;13814;1381366
693;0.01;0.08;13862;1386231
694;0.01;0.08;13951;1395109
695;0.01;0.08;13993;1399326
696;0.01;0.08;13957;1395667
697;0.015;0.08;13685;912362
698;0.015;0.08;16154;1076928
699;0.015;0.08;16347;1089802
700;0.015;0.08;16434;1095580
701;0.015;0.08;16584;1105615
702;0.015;0.08;16630;1108653
703;0.015;0.08;16669;1111261
704;0.015;0.08;16746;1116408
705;0.015;0.08;16810;1120682
706;0.015;0.08;16919;1127964
707;0.015;0.08;16961;1130738
708;0.015;0.08;16907;1127132
709;0.02;0.08;15360;768014
710;0.02;0.08;18660;932983
711;0.02;0.08;18904;945208
712;0.02;0.08;19011;950530
713;0.02;0.08;19208;960412
714;0.02;0.08;19265;963266
715;0.02;0.08;19319;965927
716;0.02;0.08;19417;970854
717;0.02;0.08;19499;974926
718;0.02;0.08;19637;981843
719;0.02;0.08;19690;984476
720;0.02;0.08;19627;981352
721;0.025;0.08;16790;671601
722;0.025;0.08;20921;836851
723;0.025;0.08;21215;848613
724;0.025;0.08;11709;468364
725;0.025;0.08;21586;863444
726;0.025;0.08;21654;866173
727;0.025;0.08;21719;868760
728;0.025;0.08;21840;873593
729;0.025;0.08;21942;877670
730;0.025;0.08;22114;884541
731;0.025;0.08;22186;887427
732;0.025;0.08;22122;884897
733;0.03;0.08;17890;596319
734;0.03;0.08;22981;766027
735;0.03;0.08;23315;777178
736;0.03;0.08;12997;433219
737;0.03;0.08;23749;791629
738;0.03;0.08;23827;794225
739;0.03;0.08;23904;796801
740;0.03;0.08;24045;801506
741;0.03;0.08;24165;805516
742;0.03;0.08;24373;812447
743;0.03;0.08;24470;815656
744;0.03;0.08;24411;813705
745;0.035;0.08;18762;536060
746;0.035;0.08;24857;710205
747;0.035;0.08;25234;720967
748;0.035;0.08;12278;350804
749;0.035;0.08;25724;734969
750;0.035;0.08;25811;737470
751;0.035;0.08;25903;740077
752;0.035;0.08;26061;744601
753;0.035;0.08;26199;748540
754;0.035;0.08;26440;755438
755;0.035;0.08;26563;758941
756;0.035;0.08;26512;757496
