ID;Valid;Case;TubeCount;DistanceFactor;TotalMassFlow(kg/s);MassFlowPerTube (kg/s);InnerTubeRadius(m);PressureDrop(Pa);OutletTemperature(K);MeanTubeTemps(K);MaxTubeTemp(K);MinTubeTemp(K);HeatTransferBalance_Inlet/Outlet(W);HeatTransferPerAreaMean(W/m2);HeatTransferPerAreaSTD(W/m2);HeatTransferPerAreaVAR(W/m2);HeatTransferMean(W);HeatTransferSTD(W);HeatTransferVAR(W);TotalHeatTransfer(W);Total Heat Transfer averaged over all Tubes according to correlation Q(T_wall) (kW);HeatTransferPerMassFlow( W / kg/s);TotalHeatFlux by Radition (W);TotalHeatFlux by Conduction (W);HeatFluxRatio (Rad/Total);HeatFluxRatio (Cond/Total);TotalHeatInHotGas(1800K to 800K);;;ResidenceTimeTOTALFlueGas (s/kg);ResidenceTimeFlueGas (s/kg);Total view factor (-);Approximated View Factor Per Tube (-);Average Yield of CO (-);Average Space Time Yield of CO (mol/m3/s);Average Space Time Yield of H2 (mol/m3/s)
188;1;c-aligned;15;2.75;0.15;0.01;0.063;1.325766254;1089;929;1051;188;-96696;22417;4655;21664552;10282;2135;4557647;154225;-61.251;1028168;146176;8050;94.78%;5.22%;;;;6.666666667;100;5.3338;0.355586667;0.14965;2.2551;24.533
189;1;c-aligned;15;3;0.15;0.01;0.063;0.961440601;1087;930;1031;189;-154886;22513;3819;14586822;10326;1752;3068675;154888;-62.152;1032587;146096;8792;94.32%;5.68%;;;;6.666666667;100;4.9159;0.327726667;0.1505;2.2677;24.648
190;1;c-aligned;15;3.5;0.15;0.01;0.063;0.986813359;1073;933;1046;190;-157915;22953;4567;20857594;10528;2095;4387877;157918;-63.801;1052788;148859;9059;94.26%;5.74%;;;;6.666666667;100;4.2352;0.282346667;0.15659;2.3599;24.969
191;1;c-aligned;15;4;0.15;0.01;0.063;1.899243747;1056;926;1075;191;-147995;21986;6338;40166253;10084;2907;8449666;151260;-65.989;1008400;141449;9812;93.51%;6.49%;;;;6.666666667;100;3.7145;0.247633333;0.14889;2.2448;24.186
192;1;c-aligned;15;4.25;0.15;0.01;0.063;1.131329788;1060;935;1085;192;-160047;23263;6415;41149362;10670;2942;8656719;160051;-68.243;1067006;150354;9697;93.94%;6.06%;;;;6.666666667;100;3.4984;0.233226667;0.16362;2.4673;25.156
193;1;c-aligned;15;1.25;0.225;0.015;0.063;2.690627751;1267;922;1066;193;-92969;22070;8880;78846426;10123;4073;16587242;151843;-54.429;674857;145391;6452;95.75%;4.25%;;;;4.444444444;66.66666667;8.9597;0.597313333;0.146;2.2019;23.416
194;1;c-aligned;15;1.5;0.225;0.015;0.063;5.03237388;1135;913;1029;194;-125525;20280;5709;32591085;9302;2618;6856098;139526;-58.607;620116;133105;6423;95.40%;4.60%;;;;4.444444444;66.66666667;8.3324;0.555493333;0.12494;1.8827;22.618
195;1;c-aligned;15;1.75;0.225;0.015;0.063;4.854676582;1124;927;1034;195;-139023;22091;4925;24255463;10132;2259;5102556;151987;-61.76;675496;144778;7210;95.26%;4.74%;;;;4.444444444;66.66666667;7.6496;0.509973333;0.14486;2.1829;24.163
196;1;c-aligned;15;2;0.225;0.015;0.063;4.6968229;1113;936;1040;196;-151099;23311;4589;21062942;10692;2105;4430954;160373;-64.318;712770;152765;7609;95.26%;4.74%;;;;4.444444444;66.66666667;6.9441;0.46294;0.15954;2.4045;25.16
197;1;c-aligned;15;2.25;0.225;0.015;0.063;4.475748771;1106;943;1048;197;-157152;24311;4511;20345061;11150;2069;4279935;167254;-66.367;743351;159462;7794;95.34%;4.66%;;;;4.444444444;66.66666667;6.3252;0.42168;0.17276;2.6041;25.958
198;1;c-aligned;15;2.375;0.225;0.015;0.063;4.373182683;1103;946;1052;198;-158912;24748;4544;20650125;11351;2084;4344111;170264;-67.203;756728;162349;7917;95.35%;4.65%;;;;4.444444444;66.66666667;6.0561;0.40374;0.17851;2.691;26.298
199;1;c-aligned;15;2.5;0.225;0.015;0.063;4.252362995;1099;948;1056;199;-159746;25117;4631;21442405;11520;2124;4510781;172802;-67.812;768011;164738;8066;95.33%;4.67%;;;;4.444444444;66.66666667;5.8042;0.386946667;0.18343;2.7653;26.579
200;1;c-aligned;15;2.75;0.225;0.015;0.063;4.119067386;1092;952;1063;200;-166351;25691;4816;23191274;11783;2209;4878685;176749;-69.137;785551;168286;8465;95.21%;4.79%;;;;4.444444444;66.66666667;5.3338;0.355586667;0.19106;2.8808;27.011
201;1;c-aligned;15;3;0.225;0.015;0.063;4.015127134;1087;956;1073;201;-170570;26276;5091;25921119;12052;2335;5452955;180774;-70.181;803441;171934;8842;95.11%;4.89%;;;;4.444444444;66.66666667;4.9159;0.327726667;0.19927;3.0052;27.443
202;1;c-aligned;15;3.5;0.225;0.015;0.063;4.060414378;1142;988;1125;202;-17368;31151;5562;30934026;14288;2551;6507698;214317;-71.859;952519;203925;10392;95.15%;4.85%;;;;4.444444444;66.66666667;4.2352;0.282346667;0.26881;4.0592;31.003
203;1;c-aligned;15;4;0.225;0.015;0.063;4.215186436;1083;965;1098;203;-179125;27735;6081;36980906;12721;2789;7779573;190813;-74.237;848057;178473;12341;93.53%;6.47%;;;;4.444444444;66.66666667;3.7145;0.247633333;0.22096;3.334;28.515
204;1;c-aligned;15;4.25;0.225;0.015;0.063;4.209316711;1087;965;1102;204;-181765;27733;6325;40009925;12720;2901;8416779;190802;-76.944;848011;178650;12155;93.63%;6.37%;;;;4.444444444;66.66666667;3.4984;0.233226667;0.22134;3.3401;28.51
205;1;c-aligned;15;1.25;0.3;0.02;0.063;9.509323954;1163;906;1046;205;-121523;19730;7921;62746879;9050;3633;13199891;135743;-59.054;452478;129482;6262;95.39%;4.61%;;;;3.333333333;50;8.9597;0.597313333;0.12068;1.8193;21.806
