ID,Source,Tubes,MassFlowCoefficient,DistanceFactor,Radius,Location
ID841,c-aligned,15,0.005,1.25,0.08,./IDs/ID841
ID842,c-aligned,15,0.005,1.5,0.08,./IDs/ID842
ID843,c-aligned,15,0.005,1.75,0.08,./IDs/ID843
ID844,c-aligned,15,0.005,2,0.08,./IDs/ID844
ID845,c-aligned,15,0.005,2.25,0.08,./IDs/ID845
ID846,c-aligned,15,0.005,2.375,0.08,./IDs/ID846
ID847,c-aligned,15,0.005,2.5,0.08,./IDs/ID847
ID848,c-aligned,15,0.005,2.75,0.08,./IDs/ID848
ID849,c-aligned,15,0.005,3,0.08,./IDs/ID849
ID850,c-aligned,15,0.005,3.5,0.08,./IDs/ID850
ID851,c-aligned,15,0.005,4,0.08,./IDs/ID851
ID852,c-aligned,15,0.005,4.25,0.08,./IDs/ID852
ID853,c-aligned,15,0.010,1.25,0.08,./IDs/ID853
ID854,c-aligned,15,0.010,1.5,0.08,./IDs/ID854
ID855,c-aligned,15,0.010,1.75,0.08,./IDs/ID855
ID856,c-aligned,15,0.010,2,0.08,./IDs/ID856
ID857,c-aligned,15,0.010,2.25,0.08,./IDs/ID857
ID858,c-aligned,15,0.010,2.375,0.08,./IDs/ID858
ID859,c-aligned,15,0.010,2.5,0.08,./IDs/ID859
ID860,c-aligned,15,0.010,2.75,0.08,./IDs/ID860
ID861,c-aligned,15,0.010,3,0.08,./IDs/ID861
ID862,c-aligned,15,0.010,3.5,0.08,./IDs/ID862
ID863,c-aligned,15,0.010,4,0.08,./IDs/ID863
ID864,c-aligned,15,0.010,4.25,0.08,./IDs/ID864
ID865,c-aligned,15,0.015,1.25,0.08,./IDs/ID865
ID866,c-aligned,15,0.015,1.5,0.08,./IDs/ID866
ID867,c-aligned,15,0.015,1.75,0.08,./IDs/ID867
ID868,c-aligned,15,0.015,2,0.08,./IDs/ID868
ID869,c-aligned,15,0.015,2.25,0.08,./IDs/ID869
ID870,c-aligned,15,0.015,2.375,0.08,./IDs/ID870
ID871,c-aligned,15,0.015,2.5,0.08,./IDs/ID871
ID872,c-aligned,15,0.015,2.75,0.08,./IDs/ID872
ID873,c-aligned,15,0.015,3,0.08,./IDs/ID873
ID874,c-aligned,15,0.015,3.5,0.08,./IDs/ID874
ID875,c-aligned,15,0.015,4,0.08,./IDs/ID875
ID876,c-aligned,15,0.015,4.25,0.08,./IDs/ID876
ID877,c-aligned,15,0.020,1.25,0.08,./IDs/ID877
ID878,c-aligned,15,0.020,1.5,0.08,./IDs/ID878
ID879,c-aligned,15,0.020,1.75,0.08,./IDs/ID879
ID880,c-aligned,15,0.020,2,0.08,./IDs/ID880
ID881,c-aligned,15,0.020,2.25,0.08,./IDs/ID881
ID882,c-aligned,15,0.020,2.375,0.08,./IDs/ID882
ID883,c-aligned,15,0.020,2.5,0.08,./IDs/ID883
ID884,c-aligned,15,0.020,2.75,0.08,./IDs/ID884
ID885,c-aligned,15,0.020,3,0.08,./IDs/ID885
ID886,c-aligned,15,0.020,3.5,0.08,./IDs/ID886
ID887,c-aligned,15,0.020,4,0.08,./IDs/ID887
ID888,c-aligned,15,0.020,4.25,0.08,./IDs/ID888
ID889,c-aligned,15,0.025,1.25,0.08,./IDs/ID889
ID890,c-aligned,15,0.025,1.5,0.08,./IDs/ID890
ID891,c-aligned,15,0.025,1.75,0.08,./IDs/ID891
ID892,c-aligned,15,0.025,2,0.08,./IDs/ID892
ID893,c-aligned,15,0.025,2.25,0.08,./IDs/ID893
ID894,c-aligned,15,0.025,2.375,0.08,./IDs/ID894
ID895,c-aligned,15,0.025,2.5,0.08,./IDs/ID895
ID896,c-aligned,15,0.025,2.75,0.08,./IDs/ID896
ID897,c-aligned,15,0.025,3,0.08,./IDs/ID897
ID898,c-aligned,15,0.025,3.5,0.08,./IDs/ID898
ID899,c-aligned,15,0.025,4,0.08,./IDs/ID899
ID900,c-aligned,15,0.025,4.25,0.08,./IDs/ID900
ID901,c-aligned,15,0.030,1.25,0.08,./IDs/ID901
ID902,c-aligned,15,0.030,1.5,0.08,./IDs/ID902
ID903,c-aligned,15,0.030,1.75,0.08,./IDs/ID903
ID904,c-aligned,15,0.030,2,0.08,./IDs/ID904
ID905,c-aligned,15,0.030,2.25,0.08,./IDs/ID905
ID906,c-aligned,15,0.030,2.375,0.08,./IDs/ID906
ID907,c-aligned,15,0.030,2.5,0.08,./IDs/ID907
ID908,c-aligned,15,0.030,2.75,0.08,./IDs/ID908
ID909,c-aligned,15,0.030,3,0.08,./IDs/ID909
ID910,c-aligned,15,0.030,3.5,0.08,./IDs/ID910
ID911,c-aligned,15,0.030,4,0.08,./IDs/ID911
ID912,c-aligned,15,0.030,4.25,0.08,./IDs/ID912
ID913,c-aligned,15,0.035,1.25,0.08,./IDs/ID913
ID914,c-aligned,15,0.035,1.5,0.08,./IDs/ID914
ID915,c-aligned,15,0.035,1.75,0.08,./IDs/ID915
ID916,c-aligned,15,0.035,2,0.08,./IDs/ID916
ID917,c-aligned,15,0.035,2.25,0.08,./IDs/ID917
ID918,c-aligned,15,0.035,2.375,0.08,./IDs/ID918
ID919,c-aligned,15,0.035,2.5,0.08,./IDs/ID919
ID920,c-aligned,15,0.035,2.75,0.08,./IDs/ID920
ID921,c-aligned,15,0.035,3,0.08,./IDs/ID921
ID922,c-aligned,15,0.035,3.5,0.08,./IDs/ID922
ID923,c-aligned,15,0.035,4,0.08,./IDs/ID923
ID924,c-aligned,15,0.035,4.25,0.08,./IDs/ID924
ID925,d-rectangle,14,0.005,1.25,0.08,./IDs/ID925
ID926,d-rectangle,14,0.005,1.5,0.08,./IDs/ID926
ID927,d-rectangle,14,0.005,1.75,0.08,./IDs/ID927
ID928,d-rectangle,14,0.005,2,0.08,./IDs/ID928
ID929,d-rectangle,14,0.005,2.25,0.08,./IDs/ID929
ID930,d-rectangle,14,0.005,2.375,0.08,./IDs/ID930
ID931,d-rectangle,14,0.005,2.5,0.08,./IDs/ID931
ID932,d-rectangle,14,0.005,2.75,0.08,./IDs/ID932
ID933,d-rectangle,14,0.005,3,0.08,./IDs/ID933
ID934,d-rectangle,14,0.005,3.5,0.08,./IDs/ID934
ID935,d-rectangle,14,0.005,4,0.08,./IDs/ID935
ID936,d-rectangle,14,0.005,4.25,0.08,./IDs/ID936
ID937,d-rectangle,14,0.010,1.25,0.08,./IDs/ID937
ID938,d-rectangle,14,0.010,1.5,0.08,./IDs/ID938
ID939,d-rectangle,14,0.010,1.75,0.08,./IDs/ID939
ID940,d-rectangle,14,0.010,2,0.08,./IDs/ID940
ID941,d-rectangle,14,0.010,2.25,0.08,./IDs/ID941
ID942,d-rectangle,14,0.010,2.375,0.08,./IDs/ID942
ID943,d-rectangle,14,0.010,2.5,0.08,./IDs/ID943
ID944,d-rectangle,14,0.010,2.75,0.08,./IDs/ID944
ID945,d-rectangle,14,0.010,3,0.08,./IDs/ID945
ID946,d-rectangle,14,0.010,3.5,0.08,./IDs/ID946
ID947,d-rectangle,14,0.010,4,0.08,./IDs/ID947
ID948,d-rectangle,14,0.010,4.25,0.08,./IDs/ID948
ID949,d-rectangle,14,0.015,1.25,0.08,./IDs/ID949
ID950,d-rectangle,14,0.015,1.5,0.08,./IDs/ID950
ID951,d-rectangle,14,0.015,1.75,0.08,./IDs/ID951
ID952,d-rectangle,14,0.015,2,0.08,./IDs/ID952
ID953,d-rectangle,14,0.015,2.25,0.08,./IDs/ID953
ID954,d-rectangle,14,0.015,2.375,0.08,./IDs/ID954
ID955,d-rectangle,14,0.015,2.5,0.08,./IDs/ID955
ID956,d-rectangle,14,0.015,2.75,0.08,./IDs/ID956
ID957,d-rectangle,14,0.015,3,0.08,./IDs/ID957
ID958,d-rectangle,14,0.015,3.5,0.08,./IDs/ID958
ID959,d-rectangle,14,0.015,4,0.08,./IDs/ID959
ID960,d-rectangle,14,0.015,4.25,0.08,./IDs/ID960
ID961,d-rectangle,14,0.020,1.25,0.08,./IDs/ID961
ID962,d-rectangle,14,0.020,1.5,0.08,./IDs/ID962
ID963,d-rectangle,14,0.020,1.75,0.08,./IDs/ID963
ID964,d-rectangle,14,0.020,2,0.08,./IDs/ID964
ID965,d-rectangle,14,0.020,2.25,0.08,./IDs/ID965
ID966,d-rectangle,14,0.020,2.375,0.08,./IDs/ID966
ID967,d-rectangle,14,0.020,2.5,0.08,./IDs/ID967
ID968,d-rectangle,14,0.020,2.75,0.08,./IDs/ID968
ID969,d-rectangle,14,0.020,3,0.08,./IDs/ID969
ID970,d-rectangle,14,0.020,3.5,0.08,./IDs/ID970
ID971,d-rectangle,14,0.020,4,0.08,./IDs/ID971
ID972,d-rectangle,14,0.020,4.25,0.08,./IDs/ID972
ID973,d-rectangle,14,0.025,1.25,0.08,./IDs/ID973
ID974,d-rectangle,14,0.025,1.5,0.08,./IDs/ID974
ID975,d-rectangle,14,0.025,1.75,0.08,./IDs/ID975
ID976,d-rectangle,14,0.025,2,0.08,./IDs/ID976
ID977,d-rectangle,14,0.025,2.25,0.08,./IDs/ID977
ID978,d-rectangle,14,0.025,2.375,0.08,./IDs/ID978
ID979,d-rectangle,14,0.025,2.5,0.08,./IDs/ID979
ID980,d-rectangle,14,0.025,2.75,0.08,./IDs/ID980
ID981,d-rectangle,14,0.025,3,0.08,./IDs/ID981
ID982,d-rectangle,14,0.025,3.5,0.08,./IDs/ID982
ID983,d-rectangle,14,0.025,4,0.08,./IDs/ID983
ID984,d-rectangle,14,0.025,4.25,0.08,./IDs/ID984
ID985,d-rectangle,14,0.030,1.25,0.08,./IDs/ID985
ID986,d-rectangle,14,0.030,1.5,0.08,./IDs/ID986
ID987,d-rectangle,14,0.030,1.75,0.08,./IDs/ID987
ID988,d-rectangle,14,0.030,2,0.08,./IDs/ID988
ID989,d-rectangle,14,0.030,2.25,0.08,./IDs/ID989
ID990,d-rectangle,14,0.030,2.375,0.08,./IDs/ID990
ID991,d-rectangle,14,0.030,2.5,0.08,./IDs/ID991
ID992,d-rectangle,14,0.030,2.75,0.08,./IDs/ID992
ID993,d-rectangle,14,0.030,3,0.08,./IDs/ID993
ID994,d-rectangle,14,0.030,3.5,0.08,./IDs/ID994
ID995,d-rectangle,14,0.030,4,0.08,./IDs/ID995
ID996,d-rectangle,14,0.030,4.25,0.08,./IDs/ID996
ID997,d-rectangle,14,0.035,1.25,0.08,./IDs/ID997
ID998,d-rectangle,14,0.035,1.5,0.08,./IDs/ID998
ID999,d-rectangle,14,0.035,1.75,0.08,./IDs/ID999
ID1000,d-rectangle,14,0.035,2,0.08,./IDs/ID1000
ID1001,d-rectangle,14,0.035,2.25,0.08,./IDs/ID1001
ID1002,d-rectangle,14,0.035,2.375,0.08,./IDs/ID1002
ID1003,d-rectangle,14,0.035,2.5,0.08,./IDs/ID1003
ID1004,d-rectangle,14,0.035,2.75,0.08,./IDs/ID1004
ID1005,d-rectangle,14,0.035,3,0.08,./IDs/ID1005
ID1006,d-rectangle,14,0.035,3.5,0.08,./IDs/ID1006
ID1007,d-rectangle,14,0.035,4,0.08,./IDs/ID1007
ID1008,d-rectangle,14,0.035,4.25,0.08,./IDs/ID1008
