"Temperature (K)","Heat Flux (W/m^2)"
489.8141871,12851.3
541.2963305,10981.3
592.6976219,9213.31
643.5849106,8093.83
695.2365415,6009.99
748.2265084,2237.59
801.7281872,-2180.43
855.7925099,-7308.33
910.5012638,-13249.3
965.9323288,-20101.6
1022.104386,-27888.8
1078.892286,-36453
1135.963696,-45374.9
1192.791146,-53989
1248.791528,-61559.6
1303.592405,-67616.8
1357.261305,-72245.8
1410.285194,-76061
1463.01107,-79500.2
1515.620673,-82792.7
1568.182641,-86025.1
1620.746908,-89260.4
1673.370777,-92570.9
1725.992348,-95878.5
1778.626601,-99202.1
1831.27932,-102549
1883.988393,-105967
