"Temperature (K)","Heat Flux (W/m^2)"
489.6973628,8582.05
541.1748739,7351.29
592.6222047,6145.67
643.6288969,5307.1
695.303912,3911.82
748.2226314,1480.54
801.6238864,-1352.69
855.5791661,-4647.42
910.1873904,-8486.05
965.5559071,-12958
1021.734812,-18105
1078.595714,-23820.1
1135.708838,-29745.3
1192.37226,-35295.9
1247.940477,-39934.2
1302.26235,-43534.3
1355.66753,-46370.8
1408.559743,-48780
1461.206576,-50984.8
1513.746086,-53100.2
1566.243458,-55180.5
1618.732187,-57253.6
1671.224878,-59330
1723.727413,-61414.6
1776.242912,-63510
1828.775699,-65619.8
1881.326133,-67744.3
