Design, Name, Performance, WallTemperature, tubeRadius, Conversion_CH4_outlet, Delta_Energy_Balance, Delta_Mass_Balance, Delta_p_abs, Density_inlet, Dynamic_Viscosity_inlet, Mach_Number_tube_inlet, p_abs_avg_inlet, p_abs_avg_outlet, Re_Particle_Number_inlet, Re_Tuble_Number_inlet, Selectivity_CO_outlet, Stoich_Number_outlet, T_avg_outlet, v_avg_outlet, v_inlet, Wall_Heat_Flux_avg, x_avg_CH4_outlet, x_avg_CO2_outlet, x_avg_CO_outlet, x_avg_H2_outlet, x_avg_H2O_outlet, Yield_CO_outlet,TotalHeatFlux, TotalHeatFlux(1rad), MassFlowAtInlet, MassFlowAtOutlet
1, Design 1,1,500,0.008,0.0376809,-0.0510753,-7.09E-10,40336.8,6.95911,1.23E-05,0.00138002,2.88E+06,2.84E+06,1885.71,67885.5,0.140331,0.770746,500.015,0.553949,0.952677,2284.48,0.235313,0.0194735,0.00139929,0.0355611,0.708253,0.00528778,1435.381117,228.448,-0.000212154,0.000212153
12, Design 12,1,550,0.008,0.0383365,-0.270095,4.08E-10,44480.5,6.96911,1.23E-05,0.00138202,2.89E+06,2.84E+06,1888.42,67983,0.0533445,0.775554,549.974,0.610233,0.952677,1994.12,0.23513,0.0204367,0.000601752,0.0367531,0.707078,0.00204504,1252.942548,199.412,-0.000212458,0.000212459
23, Design 23,1,600,0.008,0.0392374,-0.684337,-4.99E-11,48645.8,6.97916,1.23E-05,0.00138443,2.89E+06,2.84E+06,1891.14,68081.1,-0.0065511,0.8318,599.886,0.667286,0.952677,1689.65,0.234661,0.0211797,3.51E-05,0.0388261,0.705298,-0.000257048,1061.638405,168.965,-0.000212765,0.000212765
34, Design 34,1,650,0.008,0.0403096,-1.01037,-2.19E-11,52854.4,6.98932,1.23E-05,0.00138686,2.90E+06,2.84E+06,1893.89,68180.2,-0.00235182,0.961695,649.82,0.725679,0.952677,1370.04,0.23382,0.0212826,7.49E-05,0.041822,0.703001,-9.48E-05,860.8215198,137.004,-0.000213075,0.000213075
45, Design 45,1,700,0.008,0.0651791,-0.232755,1.30E-12,57634.9,7.00086,1.23E-05,0.00138923,2.90E+06,2.84E+06,1897.02,68292.8,0.00964246,1.37836,699.985,0.791843,0.952677,933.811,0.225212,0.0268898,0.000248329,0.0642958,0.683354,0.000628487,586.7307555,93.3811,-0.000213426,0.000213426
56, Design 56,1,750,0.008,0.103289,-0.171899,-2.95E-13,63051.3,7.01394,1.23E-05,0.00139167,2.91E+06,2.84E+06,1900.56,68420.3,0.0279274,1.78454,749.999,0.865512,0.952677,403.79,0.21216,0.0348945,0.000777862,0.0985532,0.653614,0.00288458,253.7087395,40.379,-0.000213825,0.000213825
67, Design 67,1,800,0.008,0.152791,-0.182659,5.47E-13,69016.8,7.02833,1.23E-05,0.00139414,2.91E+06,2.84E+06,1904.47,68560.8,0.0576491,2.08476,799.999,0.94677,0.952677,-206.627,0.195862,0.044171,0.00212981,0.140697,0.617141,0.00880829,-129.827573,-20.6627,-0.000214264,0.000214264
78, Design 78,1,850,0.008,0.21494,-0.194312,2.78E-13,75649.8,7.04435,1.23E-05,0.00139661,2.92E+06,2.84E+06,1908.8,68716.9,0.104669,2.30139,849.998,1.0372,0.952677,-909.335,0.176425,0.0538274,0.00514709,0.189551,0.57505,0.0224974,-571.3520311,-90.9335,-0.000214752,0.000214752
89, Design 89,1,900,0.008,0.291161,-0.207646,4.59E-12,83098.1,7.06232,1.23E-05,0.00139895,2.93E+06,2.84E+06,1913.68,68892.3,0.173351,2.45883,899.997,1.13875,0.952677,-1721.55,0.154018,0.0625257,0.0110556,0.24345,0.528951,0.050473,-1081.681767,-172.155,-0.0002153,0.0002153
100, Design 100,1,950,0.008,0.382807,-0.22296,-1.96E-12,91522.5,7.08266,1.23E-05,0.00140131,2.93E+06,2.84E+06,1919.19,69090.7,0.263833,2.5748,949.995,1.25354,0.952677,-2661.27,0.128962,0.068718,0.0211888,0.30021,0.480922,0.100997,-1672.125256,-266.127,-0.00021592,0.00021592
111, Design 111,1,1000,0.008,0.489858,-0.24061,-1.17E-11,101046,7.10564,1.23E-05,0.00140364,2.94E+06,2.84E+06,1925.41,69314.9,0.369707,2.66069,999.993,1.38317,0.952677,-3737.44,0.102018,0.0711542,0.0362985,0.357053,0.433476,0.181104,-2348.302809,-373.744,-0.000216621,0.000216621
122, Design 122,1,1050,0.008,0.608373,-0.260372,7.76E-12,111629,7.13119,1.23E-05,0.00140594,2.95E+06,2.84E+06,1932.34,69564.1,0.478707,2.7233,1049.99,1.52685,0.952677,-4929.04,0.0747628,0.0695244,0.0556741,0.410477,0.389561,0.291232,-3097.007171,-492.904,-0.0002174,0.0002174
133, Design 133,1,1100,0.008,0.728006,-0.298818,-1.83E-11,122899,7.15839,1.23E-05,0.00140821,2.97E+06,2.84E+06,1939.71,69829.5,0.577198,2.76546,1099.98,1.67891,0.952677,-6162.72,0.0496587,0.0647898,0.076797,0.456342,0.352413,0.420203,-3872.151176,-616.272,-0.000218229,0.000218229
144, Design 144,1,1150,0.008,0.832536,-0.268253,-1.12E-10,134124,7.18549,1.23E-05,0.00141056,2.98E+06,2.84E+06,1947.05,70093.8,0.65621,2.79528,1149.99,1.82961,0.952677,-7320.85,0.0294424,0.0585946,0.0961258,0.491082,0.324755,0.546319,-4599.825716,-732.085,-0.000219055,0.000219055
155, Design 155,1,1200,0.008,0.90895,1.36372,-7.39E-11,144480,7.21048,1.23E-05,0.00141291,2.99E+06,2.84E+06,1953.82,70337.6,0.713943,2.81024,1200.26,1.96739,0.952677,-8280.81,0.0155916,0.0525883,0.111213,0.512909,0.307698,0.648938,-5202.986372,-828.081,-0.000219817,0.000219817
166, Design 166,1,1250,0.008,0.956289,11.4045,-4.86E-12,153606,7.23251,1.23E-05,0.00141522,3.00E+06,2.84E+06,1959.79,70552.5,0.753475,2.78009,1252.25,2.08063,0.952677,-8919.86,0.00740673,0.0479698,0.122318,0.521386,0.300919,0.720539,-5604.513329,-891.986,-0.000220488,0.000220488
177, Design 177,1,1300,0.008,0.981591,29.3138,-1.25E-08,161679,7.252,1.23E-05,0.00141751,3.00E+06,2.84E+06,1965.07,70742.6,0.775373,2.6257,1306.16,2.14277,0.952677,-9153.78,0.00316735,0.0462134,0.13165,0.51323,0.305739,0.761099,-5751.4896,-915.378,-0.000221082,0.00022107
