Design, Name, Performance, WallTemperature, tubeRadius, Conversion_CH4_outlet, Delta_Energy_Balance, Delta_Mass_Balance, Delta_p_abs, Density_inlet, Dynamic_Viscosity_inlet, Mach_Number_tube_inlet, p_abs_avg_inlet, p_abs_avg_outlet, Re_Particle_Number_inlet, Re_Tuble_Number_inlet, Selectivity_CO_outlet, Stoich_Number_outlet, T_avg_outlet, v_avg_outlet, v_inlet, Wall_Heat_Flux_avg, x_avg_CH4_outlet, x_avg_CO2_outlet, x_avg_CO_outlet, x_avg_H2_outlet, x_avg_H2O_outlet, Yield_CO_outlet,TotalHeatFlux, TotalHeatFlux(1rad), MassFlowAtInlet, MassFlowAtOutlet
188, Design 188,1,1350,0.008,0.992735,38.6826,4.61E-09,169060,7.26981,1.23E-05,0.00141978,3.01E+06,2.84E+06,1969.9,70916.4,0.782605,2.35797,1358.41,2.14871,0.952677,-9159.75,0.00129942,0.0474151,0.14047,0.490444,0.320371,0.776919,-5755.240662,-915.975,-0.000221624,0.000221629
199, Design 199,1,1400,0.008,0.997181,36.9861,-2.10E-08,175991,7.28654,1.23E-05,0.0014221,3.02E+06,2.84E+06,1974.43,71079.5,0.78063,2.03886,1408.11,2.1188,0.952677,-9097.24,0.000531219,0.0507828,0.149238,0.458598,0.34085,0.778429,-5715.96447,-909.724,-0.000222135,0.000222114
210, Design 210,1,1450,0.008,0.998861,29.1811,-2.31E-08,182604,7.3025,1.23E-05,0.00142438,3.03E+06,2.84E+06,1978.76,71235.3,0.776678,1.75881,1456.37,2.08669,0.952677,-9096.9,0.000225462,0.0544852,0.15717,0.426747,0.361372,0.775794,-5715.750842,-909.69,-0.000222621,0.000222598
221, Design 221,1,1500,0.008,0.999498,21.4951,5.48E-09,188977,7.31789,1.23E-05,0.00142659,3.03E+06,2.84E+06,1982.93,71385.3,0.776023,1.56306,1504.66,2.08539,0.952677,-9208.36,0.000103197,0.056872,0.163644,0.401552,0.377829,0.775634,-5785.783226,-920.836,-0.000223081,0.000223086
232, Design 232,1,1550,0.008,0.999756,16.1985,5.09E-09,195299,7.33315,1.23E-05,0.00142879,3.04E+06,2.84E+06,1987.06,71534.2,0.779462,1.4396,1553.46,2.10706,0.952677,-9415.12,5.14E-05,0.0576405,0.168816,0.383649,0.389843,0.779272,-5915.694365,-941.512,-0.000223547,0.000223553
243, Design 243,1,1600,0.008,0.999873,12.7553,-1.11E-08,201495,7.3481,1.23E-05,0.00143103,3.04E+06,2.84E+06,1991.11,71680.1,0.785166,1.35619,1602.69,2.14221,0.952677,-9672.92,2.73E-05,0.0574348,0.173205,0.370225,0.399108,0.785066,-6077.674882,-967.292,-0.000224011,0.000224
254, Design 254,1,1650,0.008,0.999928,10.8561,-5.18E-09,207643,7.36294,1.23E-05,0.00143324,3.05E+06,2.84E+06,1995.13,71824.8,0.793877,1.31152,1652.32,2.19281,0.952677,-9987.18,1.55E-05,0.0560612,0.17688,0.361569,0.405475,0.79382,-6275.130264,-998.718,-0.000224463,0.000224457
265, Design 265,1,1700,0.008,0.999958,9.63631,-1.66E-08,213740,7.37766,1.23E-05,0.00143528,3.06E+06,2.84E+06,1999.12,71968.4,0.802702,1.27548,1702.08,2.24697,0.952677,-10312.8,9.12E-06,0.0545305,0.180308,0.354061,0.411092,0.802668,-6479.723344,-1031.28,-0.000224911,0.000224894
276, Design 276,1,1750,0.008,0.999975,8.67408,-7.04E-09,219856,7.39242,1.23E-05,0.00143731,3.06E+06,2.84E+06,2003.12,72112.4,0.811518,1.24583,1751.91,2.30328,0.952677,-10647.6,5.55E-06,0.0529022,0.183529,0.347456,0.416107,0.811498,-6690.084388,-1064.76,-0.000225361,0.000225354
287, Design 287,1,1800,0.008,0.999984,-327.386,-1.31E-08,225888,7.40698,1.23E-05,0.00143931,3.07E+06,2.84E+06,2007.07,72254.4,0.82041,1.22471,1800,2.36081,0.952677,-14341.3,3.54E-06,0.051137,0.18645,0.342113,0.420296,0.820396,-9010.904545,-1434.13,-0.000225804,0.000225791
