Design, Name, Performance, WallTemperature, tubeRadius, Conversion_CH4_outlet, Delta_Energy_Balance, Delta_Mass_Balance, Delta_p_abs, Density_inlet, Dynamic_Viscosity_inlet, Mach_Number_tube_inlet, p_abs_avg_inlet, p_abs_avg_outlet, Re_Particle_Number_inlet, Re_Tuble_Number_inlet, Selectivity_CO_outlet, Stoich_Number_outlet, T_avg_outlet, v_avg_outlet, v_inlet, Wall_Heat_Flux_avg, x_avg_CH4_outlet, x_avg_CO2_outlet, x_avg_CO_outlet, x_avg_H2_outlet, x_avg_H2O_outlet, Yield_CO_outlet,TotalHeatFlux, TotalHeatFlux(1rad), MassFlowAtInlet, MassFlowAtOutlet
8, Design 8,1,500,0.06,0.0927201,-9.06731,3.39E-11,42321.2,6.9639,1.23E-05,0.00142534,2.89E+06,2.84E+06,1886.05,67897.8,0.0209798,1.69214,500.008,0.569747,0.952195,12293.3,0.215744,0.0327819,0.000558382,0.0891982,0.661717,0.00194525,57930.84287,9219.98,-0.011936,0.011936
19, Design 19,1,550,0.06,0.0917026,-9.19462,8.91E-11,46395,6.97373,1.23E-05,0.00142406,2.89E+06,2.84E+06,1888.71,67993.7,0.00468852,1.68251,550.038,0.627335,0.952195,10504.1,0.216091,0.0329165,0.000197995,0.0886319,0.662162,0.00042995,49499.24801,7878.05,-0.0119528,0.0119528
30, Design 30,1,600,0.06,0.0868507,-9.21079,2.88E-11,50434.8,6.98348,1.23E-05,0.00142286,2.89E+06,2.84E+06,1891.35,68088.7,-0.000261774,1.6348,600.219,0.683939,0.952195,8804.7,0.217749,0.0319439,9.05E-05,0.0843136,0.665903,-2.27E-05,41491.20267,6603.53,-0.0119695,0.0119695
41, Design 41,1,650,0.06,0.0649222,-9.31027,1.16E-10,54295.8,6.9928,1.23E-05,0.00142175,2.90E+06,2.84E+06,1893.88,68179.6,0.00243606,1.36825,650.969,0.734985,0.952195,7722,0.225336,0.0269539,0.000135033,0.0640183,0.683557,0.000158154,36389.06771,5791.5,-0.0119855,0.0119855
52, Design 52,1,700,0.06,0.0656466,-10.7101,-1.33E-11,58275.3,7.00241,1.23E-05,0.00142071,2.90E+06,2.84E+06,1896.48,68273.3,0.00971101,1.37875,700.122,0.791845,0.952195,5738.96,0.225083,0.0270034,0.000250531,0.0645797,0.683084,0.000637495,27044.21186,4304.22,-0.012002,0.012002
63, Design 63,1,750,0.06,0.103292,-10.9122,3.87E-11,63124.1,7.01411,1.23E-05,0.00141973,2.91E+06,2.84E+06,1899.65,68387.4,0.0279081,1.78346,749.965,0.865043,0.952195,2139.44,0.212166,0.0348982,0.000777477,0.0985246,0.653634,0.00288269,10081.87348,1604.58,-0.012022,0.012022
74, Design 74,1,800,0.06,0.152692,-12.8593,-1.80E-09,68470.2,7.02702,1.23E-05,0.00141879,2.91E+06,2.84E+06,1903.14,68513.2,0.0575625,2.08354,799.89,0.94593,0.952195,-2073.51,0.195899,0.0441569,0.00212565,0.140588,0.61723,0.00878935,-9771.232799,-1555.14,-0.0120441,0.0120441
85, Design 85,1,850,0.06,0.214586,-16.2473,-4.42E-10,74286.8,7.04106,1.23E-05,0.00141788,2.92E+06,2.84E+06,1906.95,68650.1,0.104351,2.29978,849.729,1.03568,0.952195,-6968.8,0.176539,0.0537829,0.00512455,0.189257,0.575297,0.0223922,-32839.69633,-5226.6,-0.0120682,0.0120682
96, Design 96,1,900,0.06,0.29019,-17.3341,-1.61E-10,80623.5,7.05635,1.23E-05,0.001417,2.92E+06,2.84E+06,1911.09,68799.2,0.172384,2.45641,899.403,1.13594,0.952195,-12650.5,0.154302,0.0624434,0.0109636,0.242761,0.529529,0.0500242,-59613.91972,-9487.85,-0.0120944,0.0120944
107, Design 107,1,950,0.06,0.380459,-14.311,-2.06E-08,87531.5,7.07302,1.23E-05,0.00141616,2.93E+06,2.84E+06,1915.6,68961.8,0.2614,2.57104,948.792,1.24829,0.952195,-19221.8,0.129593,0.0686276,0.0208896,0.29878,0.48211,0.0994521,-90580.28434,-14416.3,-0.012123,0.012123
118, Design 118,1,1000,0.06,0.484884,-10.581,-3.60E-10,95036.7,7.09114,1.23E-05,0.00141535,2.94E+06,2.84E+06,1920.51,69138.4,0.364761,2.65518,997.769,1.37358,0.952195,-26711.9,0.10324,0.0711676,0.0355316,0.354473,0.435588,0.176867,-125877.3344,-20034,-0.012154,0.012154
129, Design 129,1,1050,0.06,0.599703,-9.5352,3.28E-10,103103,7.11061,1.23E-05,0.00141457,2.95E+06,2.84E+06,1925.78,69328.2,0.470898,2.71628,1046.37,1.51091,0.952195,-34967.1,0.0766985,0.0698152,0.0541899,0.406648,0.392649,0.282399,-164778.4196,-26225.3,-0.0121874,0.0121874
140, Design 140,1,1100,0.06,0.716454,-10.1878,2.38E-10,111589,7.13109,1.23E-05,0.00141382,2.95E+06,2.84E+06,1931.33,69527.9,0.56801,2.75953,1095.01,1.65662,0.952195,-43562.4,0.0520025,0.0653944,0.0747142,0.452029,0.35586,0.406954,-205282.9737,-32671.8,-0.0122225,0.0122225
151, Design 151,1,1150,0.06,0.822154,-10.2395,2.43E-10,120242,7.15198,1.23E-05,0.00141309,2.96E+06,2.84E+06,1936.99,69731.6,0.648235,2.78868,1144.46,1.80382,0.952195,-51816.8,0.0314001,0.0593703,0.0941724,0.487552,0.327505,0.532949,-244180.9173,-38862.6,-0.0122583,0.0122583
