Design, Name, Performance, WallTemperature, tubeRadius, Conversion_CH4_outlet, Delta_Energy_Balance, Delta_Mass_Balance, Delta_p_abs, Density_inlet, Dynamic_Viscosity_inlet, Mach_Number_tube_inlet, p_abs_avg_inlet, p_abs_avg_outlet, Re_Particle_Number_inlet, Re_Tuble_Number_inlet, Selectivity_CO_outlet, Stoich_Number_outlet, T_avg_outlet, v_avg_outlet, v_inlet, Wall_Heat_Flux_avg, x_avg_CH4_outlet, x_avg_CO2_outlet, x_avg_CO_outlet, x_avg_H2_outlet, x_avg_H2O_outlet, Yield_CO_outlet,TotalHeatFlux, TotalHeatFlux(1rad), MassFlowAtInlet, MassFlowAtOutlet
4, Design 4,1,500,0.02,0.0642975,-1.06024,8.62E-13,40880.4,6.96042,1.23E-05,0.00140263,2.88E+06,2.84E+06,1885.43,67875.4,0.06743,1.36078,500.001,0.56186,0.952357,4767.16,0.225546,0.0258014,0.00114258,0.0624664,0.685044,0.00433558,7488.237417,1191.79,-0.00132577,0.00132577
15, Design 15,1,550,0.02,0.0645944,-1.08046,1.11E-12,45052.7,6.97049,1.23E-05,0.00140227,2.89E+06,2.84E+06,1888.16,67973.6,0.0230425,1.36499,550.007,0.619034,0.952357,4121.52,0.225443,0.0265561,0.000455836,0.0634271,0.684118,0.00148842,6474.068477,1030.38,-0.00132769,0.00132769
26, Design 26,1,600,0.02,0.0640036,-1.10413,8.50E-13,49233.9,6.98058,1.23E-05,0.001402,2.89E+06,2.84E+06,1890.89,68072.1,-0.00213353,1.35617,600.015,0.676101,0.952357,3467.28,0.22565,0.0268134,6.40E-05,0.0632638,0.684209,-0.000136554,5446.396971,866.821,-0.00132961,0.00132961
37, Design 37,1,650,0.02,0.0537034,-1.13275,4.29E-13,53315.5,6.99044,1.23E-05,0.00140178,2.90E+06,2.84E+06,1893.56,68168.1,0.000565681,1.18863,650.065,0.729886,0.952357,2921.16,0.229273,0.0244115,0.000104786,0.0535522,0.692659,3.04E-05,4588.553681,730.291,-0.00133148,0.00133148
48, Design 48,1,700,0.02,0.0652618,-1.16676,-1.40E-13,57679,7.00097,1.23E-05,0.00140161,2.90E+06,2.84E+06,1896.41,68270.8,0.00963472,1.3741,700,0.791539,0.952357,2063.82,0.225212,0.0269165,0.000248464,0.0642437,0.683379,0.000628779,3241.834592,515.954,-0.00133349,0.00133349
59, Design 59,1,750,0.02,0.103301,-1.20544,7.17E-13,62954.2,7.0137,1.23E-05,0.00140149,2.91E+06,2.84E+06,1899.86,68395,0.0279234,1.78405,749.995,0.865183,0.952357,815.455,0.21216,0.0348985,0.000777875,0.0985472,0.653617,0.0028845,1280.915289,203.864,-0.00133592,0.00133592
70, Design 70,1,800,0.02,0.152797,-1.24772,7.11E-13,68834.5,7.02789,1.23E-05,0.0014014,2.91E+06,2.84E+06,1903.71,68533.4,0.0576412,2.08438,799.991,0.946377,0.952357,-631.87,0.195863,0.0441736,0.00212966,0.140687,0.617147,0.00880738,-992.5422166,-157.968,-0.00133862,0.00133862
81, Design 81,1,850,0.02,0.214937,-1.29304,5.79E-13,75371.6,7.04367,1.23E-05,0.00140135,2.92E+06,2.84E+06,1907.98,68687.3,0.104652,2.30106,849.987,1.03673,0.952357,-2310.57,0.176429,0.0538291,0.00514639,0.189535,0.57506,0.0224936,-3629.431727,-577.642,-0.00134163,0.00134163
92, Design 92,1,900,0.02,0.291159,-1.34193,4.18E-13,82696.1,7.06135,1.23E-05,0.0014013,2.93E+06,2.84E+06,1912.77,68859.7,0.173315,2.45827,899.98,1.13815,0.952357,-4262.29,0.154024,0.0625309,0.0110539,0.243422,0.528969,0.0504624,-6695.173768,-1065.57,-0.00134499,0.00134499
103, Design 103,1,950,0.02,0.382828,-1.39468,4.30E-13,90954.8,7.08129,1.23E-05,0.00140127,2.93E+06,2.84E+06,1918.17,69054.1,0.263758,2.57358,949.97,1.25275,0.952357,-6532.4,0.128968,0.0687355,0.0211867,0.300158,0.480952,0.100974,-10261.06993,-1633.1,-0.00134879,0.00134879
