Design, Name, Performance, WallTemperature, tubeRadius, Conversion_CH4_outlet, Delta_Energy_Balance, Delta_Mass_Balance, Delta_p_abs, Density_inlet, Dynamic_Viscosity_inlet, Mach_Number_tube_inlet, p_abs_avg_inlet, p_abs_avg_outlet, Re_Particle_Number_inlet, Re_Tuble_Number_inlet, Selectivity_CO_outlet, Stoich_Number_outlet, T_avg_outlet, v_avg_outlet, v_inlet, Wall_Heat_Flux_avg, x_avg_CH4_outlet, x_avg_CO2_outlet, x_avg_CO_outlet, x_avg_H2_outlet, x_avg_H2O_outlet, Yield_CO_outlet,TotalHeatFlux, TotalHeatFlux(1rad), MassFlowAtInlet, MassFlowAtOutlet
9, Design 9,1,500,0.063,0.0935243,-9.51,-8.67E-13,42441.6,6.96419,1.23E-05,0.00142617,2.89E+06,2.84E+06,1886.12,67900.5,0.0198373,1.69955,500.01,0.56999,0.952193,12851.3,0.215471,0.032982,0.000536771,0.0899489,0.661061,0.00185527,63588.34858,10120.4,-0.0131599,0.0131599
20, Design 20,1,550,0.063,0.0923501,-9.64041,1.12E-10,46500.2,6.97399,1.23E-05,0.00142488,2.89E+06,2.84E+06,1888.78,67996,0.00428198,1.68857,550.043,0.627554,0.952193,10981.3,0.215871,0.0330686,0.000189723,0.0892275,0.661643,0.000395441,54335.7299,8647.8,-0.0131784,0.0131784
31, Design 31,1,600,0.063,0.0871543,-9.62588,1.27E-10,50522.4,6.98369,1.23E-05,0.00142368,2.89E+06,2.84E+06,1891.41,68090.6,-0.000242066,1.63783,600.243,0.684084,0.952193,9213.31,0.217645,0.0320114,9.08E-05,0.0845893,0.665663,-2.11E-05,45587.52533,7255.48,-0.0131968,0.0131968
42, Design 42,1,650,0.063,0.0648211,-9.73889,2.30E-11,54368.8,6.99298,1.23E-05,0.00142256,2.90E+06,2.84E+06,1893.92,68181.2,0.00243179,1.36672,651.069,0.735078,0.952193,8093.83,0.225372,0.0269311,0.000134914,0.0639228,0.68364,0.000157631,40048.332,6373.89,-0.0132143,0.0132143
53, Design 53,1,700,0.063,0.0657104,-11.5729,8.57E-11,58338.5,7.00256,1.23E-05,0.00142151,2.90E+06,2.84E+06,1896.52,68274.6,0.00972768,1.37964,700.16,0.791927,0.952193,6009.99,0.22506,0.0270176,0.000250937,0.0646384,0.683033,0.00063921,29737.43641,4732.86,-0.0132324,0.0132324
64, Design 64,1,750,0.063,0.103298,-11.8853,4.28E-11,63147.3,7.01417,1.23E-05,0.00142052,2.91E+06,2.84E+06,1899.66,68387.7,0.0279099,1.7835,749.968,0.865055,0.952193,2237.59,0.212164,0.0348994,0.000777557,0.0985291,0.65363,0.00288303,11071.60083,1762.1,-0.0132544,0.0132544
75, Design 75,1,800,0.063,0.152651,-15.4207,1.52E-10,68434.7,7.02693,1.23E-05,0.00141957,2.91E+06,2.84E+06,1903.12,68512.2,0.0575349,2.0833,799.855,0.945854,0.952193,-2180.43,0.195913,0.0441499,0.00212419,0.140553,0.61726,0.00878279,-10788.79466,-1717.09,-0.0132785,0.0132785
86, Design 86,1,850,0.063,0.214433,-19.2782,2.24E-10,74171.9,7.04078,1.23E-05,0.00141865,2.92E+06,2.84E+06,1906.87,68647.2,0.104226,2.29932,849.621,1.03543,0.952193,-7308.33,0.176586,0.0537621,0.00511531,0.18914,0.575397,0.0223495,-36161.67923,-5755.31,-0.0133046,0.0133046
97, Design 97,1,900,0.063,0.289757,-20.6494,-7.80E-11,80401.9,7.05582,1.23E-05,0.00141776,2.92E+06,2.84E+06,1910.94,68793.8,0.171978,2.45566,899.149,1.13531,0.952193,-13249.3,0.154426,0.0624032,0.0109239,0.24247,0.529777,0.0498318,-65557.49886,-10433.8,-0.0133331,0.0133331
108, Design 108,1,950,0.063,0.379458,-16.5223,1.23E-09,87169.3,7.07215,1.23E-05,0.00141691,2.93E+06,2.84E+06,1915.36,68953.1,0.260417,2.57001,948.295,1.24695,0.952193,-20101.6,0.129857,0.06858,0.0207656,0.298199,0.482598,0.0988175,-99462.82341,-15830,-0.0133639,0.0133639
