Design, Name, Performance, WallTemperature, tubeRadius, Conversion_CH4_outlet, Delta_Energy_Balance, Delta_Mass_Balance, Delta_p_abs, Density_inlet, Dynamic_Viscosity_inlet, Mach_Number_tube_inlet, p_abs_avg_inlet, p_abs_avg_outlet, Re_Particle_Number_inlet, Re_Tuble_Number_inlet, Selectivity_CO_outlet, Stoich_Number_outlet, T_avg_outlet, v_avg_outlet, v_inlet, Wall_Heat_Flux_avg, x_avg_CH4_outlet, x_avg_CO2_outlet, x_avg_CO_outlet, x_avg_H2_outlet, x_avg_H2O_outlet, Yield_CO_outlet,TotalHeatFlux, TotalHeatFlux(1rad), MassFlowAtInlet, MassFlowAtOutlet
10, Design 10,1,500,0.07,0.0950164,-9.86825,-2.97E-10,42736.5,6.9649,1.23E-05,0.00142787,2.89E+06,2.84E+06,1886.31,67907.1,0.0175314,1.71308,500.018,0.570458,0.952188,14158.9,0.214964,0.0333583,0.000491359,0.0913454,0.659841,0.00166577,77843.01109,12389.1,-0.0162484,0.0162484
21, Design 21,1,550,0.07,0.0934545,-10.0558,2.61E-10,46756.7,6.9746,1.23E-05,0.00142657,2.89E+06,2.84E+06,1888.94,68001.7,0.00346886,1.69875,550.055,0.62795,0.952188,12104,0.215496,0.0333309,0.000172677,0.0902451,0.660756,0.00032418,66545.21559,10591,-0.0162711,0.0162711
32, Design 32,1,600,0.07,0.0874482,-9.94697,-1.58E-10,50735.6,6.98421,1.23E-05,0.00142536,2.89E+06,2.84E+06,1891.54,68095.3,-0.000220126,1.64068,600.304,0.684295,0.952188,10181.2,0.217546,0.0320767,9.13E-05,0.0848542,0.665432,-1.92E-05,55973.9448,8908.53,-0.0162935,0.0162935
43, Design 43,1,650,0.07,0.0643587,-10.2213,8.66E-11,54549.3,6.99341,1.23E-05,0.00142424,2.90E+06,2.84E+06,1894.03,68185.1,0.0023915,1.35986,651.313,0.735231,0.952188,8972.02,0.225534,0.0268267,0.000134048,0.0634894,0.684016,0.000153914,49326.27192,7850.52,-0.0163149,0.0163149
54, Design 54,1,700,0.07,0.0659097,-13.1185,-8.50E-11,58496.7,7.00294,1.23E-05,0.00142317,2.90E+06,2.84E+06,1896.61,68278,0.00978364,1.38247,700.295,0.792197,0.952188,6636.59,0.224991,0.0270617,0.000252269,0.0648222,0.682873,0.000644837,36486.58274,5807.02,-0.0163372,0.0163372
65, Design 65,1,750,0.07,0.10333,-14.1171,1.45E-11,63205.5,7.01431,1.23E-05,0.00142217,2.91E+06,2.84E+06,1899.69,68388.8,0.0279231,1.78374,749.995,0.865112,0.952188,2464.62,0.212154,0.034906,0.000778083,0.0985571,0.653605,0.0028853,13550.00327,2156.55,-0.0163637,0.0163637
76, Design 76,1,800,0.07,0.152518,-19.715,-4.95E-10,68347.6,7.02672,1.23E-05,0.00142121,2.91E+06,2.84E+06,1903.05,68509.8,0.0574485,2.08265,799.741,0.945629,0.952188,-2422.89,0.195956,0.0441267,0.00211949,0.140441,0.617356,0.00876191,-13320.54135,-2120.03,-0.0163926,0.0163926
87, Design 87,1,850,0.07,0.213851,-28.4406,6.23E-09,73889.3,7.0401,1.23E-05,0.00142028,2.92E+06,2.84E+06,1906.67,68640.2,0.103751,2.29764,849.207,1.03455,0.952188,-8077.65,0.176764,0.0536821,0.00508021,0.188697,0.575777,0.0221872,-44409.23959,-7067.95,-0.0164238,0.0164239
98, Design 98,1,900,0.07,0.288205,-30.719,2.17E-09,79861.9,7.05451,1.23E-05,0.00141937,2.92E+06,2.84E+06,1910.58,68780.8,0.170527,2.45301,898.231,1.13316,0.952188,-14589.8,0.154869,0.0622574,0.0107823,0.241425,0.530666,0.0491468,-80211.77195,-12766.1,-0.0164575,0.0164575
109, Design 109,1,950,0.07,0.376102,-23.5739,-1.14E-09,86297.3,7.07005,1.23E-05,0.00141851,2.93E+06,2.84E+06,1914.78,68932.2,0.257132,2.5665,946.613,1.2426,0.952188,-22043.4,0.130744,0.0684158,0.0203529,0.29624,0.484247,0.0967079,-121190.0782,-19288,-0.0164937,0.0164937
