Design, Name, Performance, WallTemperature, tubeRadius, Conversion_CH4_outlet, Delta_Energy_Balance, Delta_Mass_Balance, Delta_p_abs, Density_inlet, Dynamic_Viscosity_inlet, Mach_Number_tube_inlet, p_abs_avg_inlet, p_abs_avg_outlet, Re_Particle_Number_inlet, Re_Tuble_Number_inlet, Selectivity_CO_outlet, Stoich_Number_outlet, T_avg_outlet, v_avg_outlet, v_inlet, Wall_Heat_Flux_avg, x_avg_CH4_outlet, x_avg_CO2_outlet, x_avg_CO_outlet, x_avg_H2_outlet, x_avg_H2O_outlet, Yield_CO_outlet,TotalHeatFlux, TotalHeatFlux(1rad), MassFlowAtInlet, MassFlowAtOutlet
5, Design 5,1,500,0.03,0.0761393,-2.55238,1.99E-13,41241.3,6.96129,1.23E-05,0.00141148,2.88E+06,2.84E+06,1885.48,67877.3,0.0441779,1.51727,500.001,0.565078,0.952264,6702.42,0.22143,0.0287272,0.000902983,0.0736842,0.675255,0.00336368,15792.22078,2513.41,-0.00298307,0.00298307
16, Design 16,1,550,0.03,0.0762622,-2.58758,1.55E-12,45411.6,6.97136,1.23E-05,0.00141057,2.89E+06,2.84E+06,1888.21,67975.5,0.0134227,1.51864,550.013,0.622532,0.952264,5761.82,0.221388,0.0293163,0.000341826,0.0743561,0.674597,0.00102365,13575.95283,2160.68,-0.00298738,0.00298738
27, Design 27,1,600,0.03,0.0746458,-2.62902,-7.95E-13,49579.4,6.98142,1.23E-05,0.00140976,2.89E+06,2.84E+06,1890.93,68073.5,-0.00112273,1.49891,600.043,0.67961,0.952264,4825.09,0.221948,0.0292173,7.63E-05,0.0731256,0.675632,-8.38E-05,11368.85833,1809.41,-0.00299169,0.00299169
38, Design 38,1,650,0.03,0.0598412,-2.6795,3.92E-13,53598.9,6.99112,1.23E-05,0.00140903,2.90E+06,2.84E+06,1893.56,68168.1,0.00160988,1.29168,650.195,0.732196,0.952264,4122,0.227113,0.0258066,0.00012042,0.0592961,0.687664,9.63E-05,9712.233689,1545.75,-0.00299585,0.00299585
49, Design 49,1,700,0.03,0.0653339,-2.74229,7.42E-14,57789.6,7.00124,1.23E-05,0.00140835,2.90E+06,2.84E+06,1896.3,68266.8,0.00964401,1.37473,700.004,0.791519,0.952264,2990.61,0.225189,0.0269332,0.000248775,0.0643012,0.683328,0.00063008,7046.466658,1121.48,-0.00300018,0.00300018
60, Design 60,1,750,0.03,0.103302,-2.80936,9.71E-13,62964.2,7.01373,1.23E-05,0.00140773,2.91E+06,2.84E+06,1899.68,68388.6,0.0279196,1.78381,749.989,0.86509,0.952264,1149.45,0.212161,0.0348995,0.000777805,0.098541,0.653621,0.00288415,2708.316761,431.042,-0.00300554,0.00300554
71, Design 71,1,800,0.03,0.15279,-2.8851,2.78E-13,68752.3,7.0277,1.23E-05,0.00140714,2.91E+06,2.84E+06,1903.47,68524.8,0.057632,2.0842,799.981,0.94624,0.952264,-991.622,0.195866,0.044173,0.00212927,0.140676,0.617155,0.00880557,-2336.452722,-371.858,-0.00301152,0.00301152
82, Design 82,1,850,0.03,0.214917,-2.96711,9.37E-14,75171.2,7.04319,1.23E-05,0.0014066,2.92E+06,2.84E+06,1907.66,68675.9,0.104631,2.30092,849.969,1.03652,0.952264,-3479.26,0.176436,0.0538269,0.00514498,0.189516,0.575076,0.0224869,-8197.797534,-1304.72,-0.00301816,0.00301816
93, Design 93,1,900,0.03,0.291117,-3.05324,-1.36E-12,82335,7.06048,1.23E-05,0.00140605,2.93E+06,2.84E+06,1912.35,68844.5,0.173271,2.45815,899.953,1.13785,0.952264,-6375.76,0.154036,0.0625275,0.0110498,0.243392,0.528995,0.0504422,-15022.53058,-2390.91,-0.00302557,0.00302557
104, Design 104,1,950,0.03,0.382751,-3.14706,1.22E-12,90372.9,7.07988,1.23E-05,0.00140556,2.93E+06,2.84E+06,1917.6,69033.6,0.263678,2.57348,949.931,1.25229,0.952264,-9748.94,0.128989,0.0687325,0.0211767,0.300112,0.48099,0.100923,-22970.38301,-3655.85,-0.00303389,0.00303389
