Design#, Name, Performance, WallTemperature, tubeRadius, Conversion_CH4_outlet, Delta_Energy_Balance, Delta_Mass_Balance, Delta_p_abs, Density_inlet, Dynamic_Viscosity_inlet, Mach_Number_tube_inlet, p_abs_avg_inlet, p_abs_avg_outlet, Re_Particle_Number_inlet, Re_Tuble_Number_inlet, Selectivity_CO_outlet, Stoich_Number_outlet, T_avg_outlet, v_avg_outlet, v_inlet, Wall_Heat_Flux_avg, x_avg_CH4_outlet, x_avg_CO2_outlet, x_avg_CO_outlet, x_avg_H2_outlet, x_avg_H2O_outlet, Yield_CO_outlet,TotalHeatFlux, TotalHeatFlux(1rad), MassFlowAtInlet, MassFlowAtOutlet
159, Design 159,1,1200,0.03,0.908691,-3.72356,-2.47E-14,140365,7.20055,1.23E-05,0.00140341,2.98E+06,2.84E+06,1950.28,70210.2,0.713447,2.80791,1199.9,1.96236,0.952264,-30089.4,0.0156431,0.0526716,0.111142,0.512645,0.307899,0.648303,-70896.32141,-11283.5,-0.00308559,0.00308559
160, Design 160,1,1200,0.04,0.908581,-6.24617,-5.03E-10,137265,7.19307,1.23E-05,0.00140668,2.98E+06,2.84E+06,1948.18,70134.5,0.713352,2.80787,1199.81,1.96004,0.952226,-39934.2,0.0156626,0.0526832,0.111118,0.512615,0.307921,0.648138,-125456.9893,-19967.1,-0.00547959,0.00547959
161, Design 161,1,1200,0.05,0.907911,-8.71158,-2.09E-11,133350,7.18362,1.23E-05,0.00140975,2.98E+06,2.84E+06,1945.58,70040.9,0.712812,2.80769,1199.27,1.9561,0.952206,-49691,0.0157811,0.0527467,0.110978,0.512435,0.308059,0.64717,-195136.2578,-31056.9,-0.00855046,0.00855046
162, Design 162,1,1200,0.06,0.903017,-9.53795,1.15E-10,128750,7.17252,1.23E-05,0.00141238,2.97E+06,2.84E+06,1942.55,69931.8,0.709007,2.80662,1195.46,1.94357,0.952195,-58983.8,0.0166479,0.0531845,0.109977,0.511118,0.309073,0.640245,-277954.9233,-44237.9,-0.0122935,0.0122935
163, Design 163,1,1200,0.063,0.899739,-8.79502,-9.81E-10,127288,7.16899,1.23E-05,0.00141309,2.97E+06,2.84E+06,1941.59,69897.2,0.706509,2.80593,1193.02,1.93644,0.952193,-61559.6,0.01723,0.053467,0.109316,0.510224,0.309764,0.635673,-304597.514,-48478.2,-0.0135469,0.0135469
164, Design 164,1,1200,0.07,0.887698,-7.39498,1.07E-09,123844,7.16067,1.23E-05,0.00141461,2.97E+06,2.84E+06,1939.33,69815.8,0.697586,2.80335,1184.7,1.91265,0.952188,-67006.9,0.0193796,0.0544468,0.106936,0.506861,0.312376,0.619246,-368389.4377,-58631,-0.0167051,0.0167051
165, Design 165,1,1200,0.08,0.860239,-3.95692,-2.86E-11,119078,7.14917,1.23E-05,0.00141649,2.96E+06,2.84E+06,1936.2,69703.3,0.678247,2.79731,1168.43,1.86525,0.952183,-73298.4,0.0243493,0.0564202,0.101725,0.498802,0.318703,0.583454,-460547.4299,-73298.4,-0.0217838,0.0217838
166, Design 166,1,1250,0.008,0.956289,11.4045,-4.86E-12,153606,7.23251,1.23E-05,0.00141522,3.00E+06,2.84E+06,1959.79,70552.5,0.753475,2.78009,1252.25,2.08063,0.952677,-8919.86,0.00740673,0.0479698,0.122318,0.521386,0.300919,0.720539,-5604.513329,-891.986,-0.000220488,0.000220488
167, Design 167,1,1250,0.01,0.954311,-0.496069,-1.06E-10,153317,7.23181,1.23E-05,0.00140942,3.00E+06,2.84E+06,1959.43,70539.4,0.754021,2.81697,1249.99,2.08605,0.952593,-11224.6,0.00770663,0.047532,0.121447,0.523541,0.299773,0.71957,-8815.748809,-1403.07,-0.00034445,0.000344449
168, Design 168,1,1250,0.012,0.954322,-0.697993,-3.55E-13,153046,7.23116,1.23E-05,0.00140572,3.00E+06,2.84E+06,1959.19,70530.8,0.753993,2.81648,1249.99,2.08566,0.952562,-13390.9,0.00770526,0.0475405,0.121453,0.523509,0.299792,0.719552,-12620.5945,-2008.63,-0.000495947,0.000495947
169, Design 169,1,1250,0.02,0.954308,-1.81109,-5.80E-13,151673,7.22785,1.23E-05,0.00140135,2.99E+06,2.84E+06,1957.87,70483.3,0.753985,2.81657,1249.97,2.08425,0.952357,-22037.7,0.00770759,0.0475407,0.121449,0.523512,0.299791,0.719534,-34616.7068,-5509.42,-0.0013767,0.0013767
170, Design 170,1,1250,0.03,0.954282,-3.87996,-1.17E-13,149258,7.22202,1.23E-05,0.00140302,2.99E+06,2.84E+06,1956.1,70419.6,0.753961,2.81662,1249.93,2.08231,0.952264,-32807.3,0.00771204,0.0475435,0.121442,0.52351,0.299792,0.719491,-77300.14388,-12302.7,-0.00309479,0.00309479
171, Design 171,1,1250,0.04,0.954248,-5.97608,1.97E-11,145979,7.2141,1.23E-05,0.00140613,2.99E+06,2.84E+06,1953.88,70339.5,0.753921,2.81661,1249.89,2.07986,0.952226,-43534.3,0.0077178,0.047549,0.121432,0.523504,0.299797,0.719428,-136767.3512,-21767.2,-0.00549562,0.00549562
172, Design 172,1,1250,0.05,0.954196,1.89084,-2.85E-11,141830,7.20409,1.23E-05,0.00140911,2.98E+06,2.84E+06,1951.12,70240.4,0.753861,2.81659,1249.81,2.07679,0.952206,-54197.2,0.00772663,0.0475575,0.121418,0.523494,0.299804,0.719332,-212832.2209,-33873.3,-0.00857482,0.00857482
173, Design 173,1,1250,0.06,0.952675,-0.664341,9.23E-10,136865,7.1921,1.23E-05,0.0014117,2.98E+06,2.84E+06,1947.86,70122.8,0.752319,2.81624,1247.63,2.06862,0.952195,-64633.5,0.00798746,0.0477671,0.12104,0.52317,0.300035,0.716716,-304578.0361,-48475.1,-0.0123271,0.0123271
174, Design 174,1,1250,0.063,0.951236,-6.55696,5.74E-10,135252,7.18821,1.23E-05,0.00141239,2.98E+06,2.84E+06,1946.8,70084.6,0.750901,2.81594,1245.64,2.06317,0.952193,-67616.8,0.00823449,0.0479583,0.120689,0.522859,0.300259,0.714283,-334568.3079,-53248.2,-0.0135832,0.0135832
175, Design 175,1,1250,0.07,0.944678,-4.99982,6.16E-10,131381,7.17887,1.23E-05,0.00141389,2.97E+06,2.84E+06,1944.26,69993.2,0.744799,2.81462,1237.41,2.04226,0.952188,-74047.4,0.00936272,0.0487645,0.11915,0.52138,0.301343,0.703595,-407097.0008,-64791.5,-0.0167476,0.0167476
176, Design 176,1,1250,0.08,0.924265,0.0290019,1.34E-10,125916,7.16567,1.23E-05,0.00141577,2.97E+06,2.84E+06,1940.67,69864.2,0.728176,2.81055,1217.76,1.99189,0.952183,-81524.8,0.0129069,0.0508358,0.114773,0.516286,0.305199,0.673028,-512235.4255,-81524.8,-0.0218341,0.0218341
177, Design 177,1,1300,0.008,0.981591,29.3138,-1.25E-08,161679,7.252,1.23E-05,0.00141751,3.00E+06,2.84E+06,1965.07,70742.6,0.775373,2.6257,1306.16,2.14277,0.952677,-9153.78,0.00316735,0.0462134,0.13165,0.51323,0.305739,0.761099,-5751.4896,-915.378,-0.000221082,0.00022107
178, Design 178,1,1300,0.01,0.977848,-0.509401,-5.63E-11,161439,7.25142,1.23E-05,0.00141093,3.00E+06,2.84E+06,1964.74,70730.7,0.783459,2.82108,1299.99,2.19263,0.952593,-11976.4,0.00370703,0.0433097,0.12828,0.527378,0.297325,0.766104,-9406.242564,-1497.05,-0.000345383,0.000345383
179, Design 179,1,1300,0.012,0.977854,-0.732596,-2.54E-13,161158,7.25074,1.23E-05,0.00140671,3.00E+06,2.84E+06,1964.49,70721.8,0.783434,2.82064,1299.99,2.19222,0.952562,-14282.5,0.00370629,0.043317,0.128286,0.527346,0.297345,0.766084,-13460.90771,-2142.37,-0.00049729,0.00049729
180, Design 180,1,1300,0.02,0.97785,-1.90008,-5.59E-13,159742,7.24732,1.23E-05,0.00140139,3.00E+06,2.84E+06,1963.14,70673.2,0.783433,2.82073,1299.98,2.19073,0.952357,-23487.5,0.00370699,0.0433163,0.128283,0.527352,0.297341,0.76608,-36893.98448,-5871.86,-0.00138041,0.00138041
181, Design 181,1,1300,0.03,0.977842,-4.03803,-8.99E-14,157259,7.24133,1.23E-05,0.00140266,3.00E+06,2.84E+06,1961.33,70607.8,0.783425,2.8208,1299.96,2.18869,0.952264,-34951.5,0.00370825,0.043317,0.12828,0.527356,0.297339,0.766066,-82352.45318,-13106.8,-0.00310307,0.00310307
182, Design 182,1,1300,0.04,0.977832,-6.67209,3.59E-12,153888,7.23319,1.23E-05,0.00140559,3.00E+06,2.84E+06,1959.05,70525.7,0.783406,2.82081,1299.94,2.18611,0.952226,-46370.8,0.00370996,0.0433198,0.128275,0.527356,0.297339,0.766039,-145678.1646,-23185.4,-0.00551016,0.00551016
183, Design 183,1,1300,0.05,0.977829,1.68992,8.61E-11,149621,7.22289,1.23E-05,0.00140848,2.99E+06,2.84E+06,1956.22,70423.8,0.783394,2.82079,1299.93,2.18296,0.952206,-57723.3,0.00371051,0.0433217,0.128273,0.527356,0.297339,0.766026,-226679.1046,-36077.1,-0.00859721,0.00859721
184, Design 184,1,1300,0.06,0.977642,32.1865,1.77E-09,144485,7.2105,1.23E-05,0.00141103,2.99E+06,2.84E+06,1952.84,70302.1,0.783095,2.82073,1299.38,2.17814,0.952195,-68955.8,0.00374205,0.0433669,0.128208,0.527335,0.297348,0.765586,-324946.2379,-51716.8,-0.0123586,0.0123586
185, Design 185,1,1300,0.063,0.977471,75.352,-3.15E-08,142792,7.20641,1.23E-05,0.00141172,2.99E+06,2.84E+06,1951.72,70262.1,0.782829,2.8207,1298.89,2.17595,0.952193,-72245.8,0.00377086,0.0434068,0.12815,0.527317,0.297355,0.765192,-357472.4033,-56893.5,-0.0136176,0.0136176
186, Design 186,1,1300,0.07,0.975115,30.7357,-1.53E-09,138634,7.19637,1.23E-05,0.00141321,2.98E+06,2.84E+06,1949,70163.9,0.779367,2.82019,1292.45,2.16039,0.952188,-79613.1,0.00416847,0.0439213,0.127378,0.52702,0.297512,0.759973,-437696.1133,-69661.5,-0.0167884,0.0167884
187, Design 187,1,1300,0.08,0.964596,5.07816,9.95E-10,132575,7.18175,1.23E-05,0.00141507,2.98E+06,2.84E+06,1945.03,70021,0.76688,2.81808,1271.43,2.11311,0.952183,-88479.1,0.00595189,0.045713,0.12443,0.52519,0.298715,0.739729,-555930.5811,-88479.1,-0.0218831,0.0218831
188, Design 188,1,1350,0.008,0.992735,38.6826,4.61E-09,169060,7.26981,1.23E-05,0.00141978,3.01E+06,2.84E+06,1969.9,70916.4,0.782605,2.35797,1358.41,2.14871,0.952677,-9159.75,0.00129942,0.0474151,0.14047,0.490444,0.320371,0.776919,-5755.240662,-915.975,-0.000221624,0.000221629
189, Design 189,1,1350,0.01,0.989169,-0.527766,9.93E-13,168967,7.26959,1.23E-05,0.00141245,3.01E+06,2.84E+06,1969.66,70907.9,0.806393,2.82289,1350,2.29128,0.952593,-12621.3,0.00180582,0.0397736,0.13306,0.527664,0.297696,0.797658,-9912.730132,-1577.66,-0.000346249,0.000346249
190, Design 190,1,1350,0.012,0.989171,-0.758806,-4.73E-13,168679,7.26889,1.23E-05,0.00140769,3.01E+06,2.84E+06,1969.41,70898.8,0.806374,2.82257,1350,2.29087,0.952562,-15046.6,0.00180552,0.0397789,0.133064,0.527639,0.297713,0.797641,-14181.08641,-2256.99,-0.000498535,0.000498535
191, Design 191,1,1350,0.02,0.98917,-1.99572,-3.46E-13,167229,7.26539,1.23E-05,0.00140144,3.01E+06,2.84E+06,1968.04,70849.4,0.806375,2.82264,1349.99,2.2893,0.952357,-24724,0.00180571,0.0397782,0.133062,0.527644,0.29771,0.797641,-38836.30555,-6180.99,-0.00138386,0.00138386
192, Design 192,1,1350,0.03,0.989167,-4.20711,-8.25E-14,164695,7.25928,1.23E-05,0.0014023,3.01E+06,2.84E+06,1966.19,70782.9,0.806374,2.82272,1349.98,2.28716,0.952264,-36775.8,0.00180606,0.0397778,0.13306,0.52765,0.297706,0.797639,-86650.78025,-13790.9,-0.00311076,0.00311076
193, Design 193,1,1350,0.04,0.989165,-7.13838,-6.57E-13,161258,7.25098,1.23E-05,0.00140506,3.00E+06,2.84E+06,1963.86,70699.1,0.806365,2.82274,1349.97,2.28445,0.952226,-48780,0.00180655,0.039779,0.133058,0.527652,0.297704,0.797627,-153246.8896,-24390,-0.00552371,0.00552371
194, Design 194,1,1350,0.05,0.989164,-3.74458,2.21E-10,156905,7.24048,1.23E-05,0.00140788,3.00E+06,2.84E+06,1960.98,70595.3,0.806358,2.82273,1349.96,2.28111,0.952206,-60720.8,0.00180667,0.0397803,0.133057,0.527652,0.297704,0.79762,-238450.024,-37950.5,-0.00861814,0.00861814
195, Design 195,1,1350,0.06,0.989135,33.9014,2.19E-09,151662,7.22782,1.23E-05,0.00141038,2.99E+06,2.84E+06,1957.53,70471,0.806274,2.82269,1349.79,2.27678,0.952195,-72547,0.00181144,0.0397937,0.133041,0.527653,0.297701,0.797514,-341869.9975,-54410.3,-0.0123883,0.0123883
196, Design 196,1,1350,0.063,0.989067,43.8609,-7.58E-10,149921,7.22362,1.23E-05,0.00141106,2.99E+06,2.84E+06,1956.39,70429.9,0.806089,2.82267,1349.36,2.27468,0.952193,-76061,0.00182293,0.039823,0.133004,0.527659,0.297691,0.797276,-376350.2335,-59898,-0.0136501,0.0136501
197, Design 197,1,1350,0.07,0.988717,168.017,5.37E-09,145612,7.21322,1.23E-05,0.00141253,2.99E+06,2.84E+06,1953.56,70328.1,0.805167,2.82257,1347.23,2.26754,0.952188,-84030.7,0.00188152,0.0399686,0.132822,0.527682,0.297645,0.796082,-461983.1378,-73526.9,-0.0168277,0.0168277
198, Design 198,1,1350,0.08,0.984834,45.7988,1.31E-08,139092,7.19748,1.23E-05,0.00141439,2.98E+06,2.84E+06,1949.29,70174.3,0.796816,2.82173,1328.61,2.22823,0.952183,-94275.4,0.00253238,0.0412684,0.131102,0.527651,0.297446,0.784731,-592349.8081,-94275.4,-0.021931,0.021931
199, Design 199,1,1400,0.008,0.997181,36.9861,-2.10E-08,175991,7.28654,1.23E-05,0.0014221,3.02E+06,2.84E+06,1974.43,71079.5,0.78063,2.03886,1408.11,2.1188,0.952677,-9097.24,0.000531219,0.0507828,0.149238,0.458598,0.34085,0.778429,-5715.96447,-909.724,-0.000222135,0.000222114
200, Design 200,1,1400,0.01,0.994544,-0.550312,3.02E-11,176207,7.28706,1.23E-05,0.001414,3.02E+06,2.84E+06,1974.4,71078.4,0.825341,2.82368,1400,2.38608,0.952593,-13215.2,0.000908042,0.03674,0.136683,0.52643,0.299239,0.820838,-10379.13098,-1651.89,-0.000347081,0.000347081
201, Design 201,1,1400,0.012,0.994545,-0.789589,-1.81E-13,175910,7.28635,1.23E-05,0.0014087,3.02E+06,2.84E+06,1974.14,71069.1,0.825327,2.82345,1400,2.38568,0.952562,-15749.6,0.000907921,0.0367437,0.136685,0.526411,0.299252,0.820825,-14843.6483,-2362.44,-0.000499732,0.000499732
202, Design 202,1,1400,0.02,0.994544,-2.09709,-4.51E-13,174425,7.28276,1.23E-05,0.00140149,3.02E+06,2.84E+06,1972.74,71018.8,0.825329,2.8235,1400,2.38401,0.952357,-25858.7,0.000907973,0.0367431,0.136684,0.526415,0.29925,0.820826,-40618.78239,-6464.68,-0.00138716,0.00138716
203, Design 203,1,1400,0.03,0.994544,-4.38717,-3.07E-13,171838,7.27652,1.23E-05,0.00140197,3.01E+06,2.84E+06,1970.86,70951,0.825331,2.82359,1399.99,2.38177,0.952264,-38447.2,0.000908087,0.0367421,0.136682,0.526422,0.299246,0.820828,-90589.0808,-14417.7,-0.00311815,0.00311815
204, Design 204,1,1400,0.04,0.994543,-7.40093,1.51E-13,168330,7.26805,1.23E-05,0.00140456,3.01E+06,2.84E+06,1968.49,70865.6,0.825327,2.82363,1399.98,2.37891,0.952226,-50984.8,0.00090823,0.0367425,0.136681,0.526425,0.299243,0.820823,-160173.4731,-25492.4,-0.00553671,0.00553671
205, Design 205,1,1400,0.05,0.994543,-5.36859,-2.44E-10,163888,7.25733,1.23E-05,0.00140729,3.01E+06,2.84E+06,1965.54,70759.6,0.825324,2.82363,1399.99,2.37538,0.952206,-63457.5,0.00090821,0.036743,0.13668,0.526426,0.299243,0.82082,-249196.7841,-39660.9,-0.0086382,0.0086382
206, Design 206,1,1400,0.06,0.994533,17.0532,7.17E-10,158530,7.2444,1.23E-05,0.00140975,3.00E+06,2.84E+06,1962.02,70632.7,0.825272,2.82361,1399.86,2.37091,0.952195,-75832.6,0.000909804,0.0367516,0.136671,0.526429,0.299239,0.820761,-357353.0228,-56874.5,-0.0124167,0.0124167
207, Design 207,1,1400,0.063,0.99452,42.6775,1.88E-09,156754,7.24011,1.23E-05,0.00141042,3.00E+06,2.84E+06,1960.85,70590.7,0.825206,2.82359,1399.69,2.3692,0.952193,-79500.2,0.000912014,0.0367624,0.136659,0.526434,0.299233,0.820684,-393367.6126,-62606.4,-0.0136813,0.0136813
208, Design 208,1,1400,0.07,0.994385,104.247,-1.30E-08,152324,7.22942,1.23E-05,0.00141189,3.00E+06,2.84E+06,1957.95,70486.1,0.824566,2.82353,1397.93,2.36261,0.952188,-87943.4,0.000934585,0.0368662,0.136542,0.526489,0.299168,0.819936,-483494.251,-76950.5,-0.0168655,0.0168655
209, Design 209,1,1400,0.08,0.993406,266.504,5.53E-09,145497,7.21294,1.23E-05,0.00141373,2.99E+06,2.84E+06,1953.47,70325.1,0.820468,2.82324,1386.95,2.33786,0.952183,-99172.7,0.00109782,0.0375283,0.135777,0.526811,0.298787,0.815058,-623120.4515,-99172.7,-0.0219781,0.0219782
210, Design 210,1,1450,0.008,0.998861,29.1811,-2.31E-08,182604,7.3025,1.23E-05,0.00142438,3.03E+06,2.84E+06,1978.76,71235.3,0.776678,1.75881,1456.37,2.08669,0.952677,-9096.9,0.000225462,0.0544852,0.15717,0.426747,0.361372,0.775794,-5715.750842,-909.69,-0.000222621,0.000222598
211, Design 211,1,1450,0.01,0.997147,-0.57543,5.23E-13,183326,7.30425,1.23E-05,0.00141555,3.03E+06,2.84E+06,1979.05,71246,0.841579,2.82402,1450,2.47923,0.952593,-13786.8,0.000474473,0.0340919,0.139616,0.524647,0.30117,0.839177,-10828.1274,-1723.35,-0.0003479,0.0003479
212, Design 212,1,1450,0.012,0.997147,-0.82593,2.56E-13,183020,7.30351,1.23E-05,0.00140971,3.03E+06,2.84E+06,1978.79,71236.5,0.841568,2.82384,1450,2.47883,0.952562,-16425.8,0.000474424,0.0340946,0.139618,0.524632,0.30118,0.839167,-15480.95178,-2463.87,-0.000500909,0.000500909
213, Design 213,1,1450,0.02,0.997147,-2.20496,-1.82E-14,181495,7.29983,1.23E-05,0.00140156,3.02E+06,2.84E+06,1977.37,71185.2,0.84157,2.82388,1450,2.47707,0.952357,-26949,0.000474438,0.0340941,0.139617,0.524635,0.301179,0.839169,-42331.39021,-6737.25,-0.00139042,0.00139042
214, Design 214,1,1450,0.03,0.997147,-4.57758,1.02E-13,178846,7.29343,1.23E-05,0.00140164,3.02E+06,2.84E+06,1975.44,71115.9,0.841574,2.82399,1449.99,2.4747,0.952264,-40051.8,0.000474482,0.0340928,0.139615,0.524643,0.301174,0.839172,-94369.6734,-15019.4,-0.0031254,0.0031254
215, Design 215,1,1450,0.04,0.997146,-7.67907,-3.10E-13,175254,7.28476,1.23E-05,0.00140408,3.02E+06,2.84E+06,1973.01,71028.5,0.841572,2.82404,1449.99,2.47168,0.952226,-53100.2,0.000474531,0.0340927,0.139614,0.524648,0.301171,0.839171,-166819.1982,-26550.1,-0.00554944,0.00554944
216, Design 216,1,1450,0.05,0.997146,-8.41221,4.31E-11,170706,7.27379,1.23E-05,0.00140673,3.01E+06,2.84E+06,1970,70920,0.841569,2.82405,1449.99,2.46793,0.952206,-66083.7,0.000474545,0.0340932,0.139613,0.524649,0.30117,0.839168,-259510.0045,-41302.3,-0.00865778,0.00865778
217, Design 217,1,1450,0.06,0.997144,14.2063,1.78E-10,165221,7.26055,1.23E-05,0.00140914,3.01E+06,2.84E+06,1966.39,70790.1,0.841547,2.82403,1449.94,2.46333,0.952195,-78964.5,0.00047489,0.034097,0.13961,0.52465,0.301168,0.839143,-372111.5967,-59223.4,-0.0124444,0.0124444
218, Design 218,1,1450,0.063,0.997139,33.9205,-5.97E-11,163400,7.25615,1.23E-05,0.00140981,3.01E+06,2.84E+06,1965.2,70747.1,0.841504,2.82402,1449.81,2.46161,0.952193,-82792.7,0.000475668,0.0341041,0.139602,0.524655,0.301163,0.839097,-409658.6555,-65199.2,-0.0137116,0.0137116
219, Design 219,1,1450,0.07,0.997092,101.605,1.54E-09,158856,7.24518,1.23E-05,0.00141126,3.00E+06,2.84E+06,1962.22,70639.8,0.8411,2.82398,1448.55,2.4557,0.952188,-91612.8,0.000483543,0.0341706,0.139532,0.524702,0.301112,0.838654,-503667.674,-80161.2,-0.0169023,0.0169023
220, Design 220,1,1450,0.08,0.996788,353.565,-3.29E-09,151792,7.22813,1.23E-05,0.00141309,2.99E+06,2.84E+06,1957.59,70473.2,0.838718,2.82381,1441.14,2.43707,0.952183,-103554,0.000534204,0.0345615,0.139111,0.52498,0.300813,0.836024,-650648.9713,-103554,-0.0220244,0.0220244
221, Design 221,1,1500,0.008,0.999498,21.4951,5.48E-09,188977,7.31789,1.23E-05,0.00142659,3.03E+06,2.84E+06,1982.93,71385.3,0.776023,1.56306,1504.66,2.08539,0.952677,-9208.36,0.000103197,0.056872,0.163644,0.401552,0.377829,0.775634,-5785.783226,-920.836,-0.000223081,0.000223086
222, Design 222,1,1500,0.01,0.998449,-0.60197,-6.01E-13,190408,7.32134,1.23E-05,0.00141707,3.03E+06,2.84E+06,1983.69,71412.7,0.855778,2.82415,1500,2.57181,0.952593,-14349.9,0.000257805,0.0317553,0.142097,0.52274,0.303151,0.854451,-11270.33798,-1793.73,-0.000348714,0.000348714
223, Design 223,1,1500,0.012,0.998449,-0.866301,1.88E-13,190093,7.32058,1.23E-05,0.00141074,3.03E+06,2.84E+06,1983.42,71403,0.85577,2.82401,1500,2.5714,0.952562,-17091.6,0.000257786,0.0317573,0.142098,0.522728,0.303159,0.854443,-16108.51633,-2563.75,-0.00050208,0.00050208
224, Design 224,1,1500,0.02,0.998449,-2.31498,-3.96E-13,188523,7.31679,1.23E-05,0.00140163,3.03E+06,2.84E+06,1981.96,71350.6,0.855771,2.82405,1500,2.56953,0.952357,-28022,0.000257789,0.0317569,0.142097,0.52273,0.303158,0.854444,-44016.9175,-7005.51,-0.00139365,0.00139365
225, Design 225,1,1500,0.03,0.998449,-4.78099,-1.21E-12,185802,7.31022,1.23E-05,0.00140134,3.03E+06,2.84E+06,1979.99,71279.6,0.855777,2.82417,1500,2.56703,0.952264,-41630.3,0.000257809,0.0317554,0.142095,0.522739,0.303152,0.854449,-98089.3191,-15611.4,-0.00313259,0.00313259
226, Design 226,1,1500,0.04,0.998449,-8.11677,1.71E-12,182113,7.30132,1.23E-05,0.00140361,3.02E+06,2.84E+06,1977.5,71189.9,0.855776,2.82423,1499.99,2.56383,0.952226,-55180.5,0.000257834,0.0317551,0.142094,0.522744,0.303149,0.854449,-173354.3393,-27590.2,-0.00556206,0.00556206
227, Design 227,1,1500,0.05,0.998449,-10.7343,8.87E-11,177443,7.29005,1.23E-05,0.00140618,3.02E+06,2.84E+06,1974.41,71078.6,0.855772,2.82425,1499.99,2.55983,0.952206,-68663.9,0.000257871,0.0317557,0.142092,0.522747,0.303147,0.854444,-269642.8975,-42915,-0.00867714,0.00867714
228, Design 228,1,1500,0.06,0.998448,6.16669,-2.17E-09,171810,7.27645,1.23E-05,0.00140855,3.01E+06,2.84E+06,1970.7,70945.2,0.855754,2.82424,1499.94,2.55495,0.952195,-82044.9,0.00025803,0.0317588,0.142089,0.522749,0.303145,0.854425,-386627.6397,-61533.7,-0.0124717,0.0124717
229, Design 229,1,1500,0.063,0.998446,22.3976,-2.38E-10,169939,7.27193,1.23E-05,0.00140921,3.01E+06,2.84E+06,1969.47,70901,0.855721,2.82423,1499.83,2.55318,0.952193,-86025.1,0.000258367,0.0317642,0.142084,0.522752,0.303141,0.854391,-425653.132,-67744.8,-0.0137414,0.0137414
230, Design 230,1,1500,0.07,0.998424,71.3725,1.69E-09,165265,7.26065,1.23E-05,0.00141065,3.01E+06,2.84E+06,1966.41,70790.6,0.855404,2.82421,1498.73,2.54731,0.952188,-95217.3,0.000261872,0.0318166,0.14203,0.522796,0.303096,0.854057,-523484.2122,-83315.1,-0.0169384,0.0169384
231, Design 231,1,1500,0.08,0.998277,198.363,-2.02E-09,157962,7.24302,1.23E-05,0.00141248,3.00E+06,2.84E+06,1961.62,70618.4,0.853387,2.82411,1491.59,2.52885,0.952183,-107792,0.00028633,0.0321498,0.141683,0.523072,0.302809,0.851917,-677277.1106,-107792,-0.0220698,0.0220698
232, Design 232,1,1550,0.008,0.999756,16.1985,5.09E-09,195299,7.33315,1.23E-05,0.00142879,3.04E+06,2.84E+06,1987.06,71534.2,0.779462,1.4396,1553.46,2.10706,0.952677,-9415.12,5.14E-05,0.0576405,0.168816,0.383649,0.389843,0.779272,-5915.694365,-941.512,-0.000223547,0.000223553
233, Design 233,1,1550,0.01,0.999125,-0.629001,-4.76E-12,197494,7.33844,1.23E-05,0.0014186,3.04E+06,2.84E+06,1988.32,71579.5,0.868339,2.82418,1550,2.66431,0.952593,-14910.6,0.00014541,0.0296792,0.144249,0.520882,0.305045,0.867579,-11710.72644,-1863.82,-0.000349528,0.000349528
234, Design 234,1,1550,0.012,0.999125,-0.909646,-1.22E-14,197169,7.33766,1.23E-05,0.00141175,3.04E+06,2.84E+06,1988.04,71569.6,0.868334,2.82409,1550,2.6639,0.952562,-17754.8,0.000145405,0.0296805,0.144249,0.520874,0.305051,0.867574,-16733.44194,-2663.21,-0.000503251,0.000503251
235, Design 235,1,1550,0.02,0.999125,-2.41649,-5.67E-13,195551,7.33375,1.23E-05,0.00140171,3.04E+06,2.84E+06,1986.56,71516,0.868335,2.82412,1550,2.66192,0.952357,-29090.6,0.000145405,0.0296801,0.144249,0.520876,0.30505,0.867575,-45695.40762,-7272.65,-0.00139688,0.00139688
236, Design 236,1,1550,0.03,0.999125,-5.0043,2.15E-13,192748,7.32699,1.23E-05,0.00140105,3.04E+06,2.84E+06,1984.53,71443.1,0.86834,2.82424,1550,2.65926,0.952264,-43201.7,0.000145416,0.0296787,0.144246,0.520885,0.305044,0.86758,-101792.0002,-16200.7,-0.00313978,0.00313978
237, Design 237,1,1550,0.04,0.999125,-9.98928,-1.71E-12,188951,7.31782,1.23E-05,0.00140316,3.03E+06,2.84E+06,1981.97,71350.9,0.868339,2.82432,1549.99,2.65585,0.952226,-57253.6,0.000145446,0.0296785,0.144244,0.520892,0.30504,0.867579,-179867.4892,-28626.8,-0.00557463,0.00557463
238, Design 238,1,1550,0.05,0.999124,-25.5797,-2.53E-10,184141,7.30621,1.23E-05,0.00140566,3.03E+06,2.84E+06,1978.78,71236.2,0.868315,2.82436,1549.89,2.65145,0.952206,-71247.7,0.000145606,0.0296821,0.144239,0.520899,0.305034,0.867554,-279788.9851,-44529.8,-0.00869638,0.00869638
239, Design 239,1,1550,0.06,0.99912,-36.2105,-1.77E-10,178340,7.29221,1.23E-05,0.00140799,3.02E+06,2.84E+06,1974.97,71098.8,0.868232,2.82437,1549.56,2.64578,0.952195,-85134.2,0.000146162,0.0296959,0.144225,0.520912,0.305021,0.867468,-401185.7801,-63850.7,-0.0124987,0.0124987
