Design, Name, Performance, WallTemperature, tubeRadius, Conversion_CH4_outlet, Delta_Energy_Balance, Delta_Mass_Balance, Delta_p_abs, Density_inlet, Dynamic_Viscosity_inlet, Mach_Number_tube_inlet, p_abs_avg_inlet, p_abs_avg_outlet, Re_Particle_Number_inlet, Re_Tuble_Number_inlet, Selectivity_CO_outlet, Stoich_Number_outlet, T_avg_outlet, v_avg_outlet, v_inlet, Wall_Heat_Flux_avg, x_avg_CH4_outlet, x_avg_CO2_outlet, x_avg_CO_outlet, x_avg_H2_outlet, x_avg_H2O_outlet, Yield_CO_outlet,TotalHeatFlux, TotalHeatFlux(1rad), MassFlowAtInlet, MassFlowAtOutlet
2, Design 2,1,500,0.01,0.0440732,-0.224491,1.44E-13,40447.3,6.95938,1.23E-05,0.00138646,2.88E+06,2.84E+06,1885.61,67882.1,0.1257,1.00036,500,0.556451,0.952593,2713.9,0.232682,0.020837,0.00144731,0.0431294,0.701905,0.00554003,2131.488934,339.237,-0.000331474,0.000331474
13, Design 13,1,550,0.01,0.0446212,-0.231194,-3.45E-14,44600.7,6.9694,1.23E-05,0.00138784,2.89E+06,2.84E+06,1888.33,67979.9,0.0508851,1.01194,550.002,0.61314,0.952593,2364.69,0.232488,0.0217614,0.000650772,0.0444411,0.700659,0.00227055,1857.221612,295.586,-0.000331951,0.000331951
24, Design 24,1,600,0.01,0.0450998,-0.238947,2.23E-14,48772.6,6.97947,1.23E-05,0.00138929,2.89E+06,2.84E+06,1891.06,68078.1,-0.00503821,1.02181,600.002,0.669997,0.952593,2006.43,0.232319,0.0224813,4.25E-05,0.0454964,0.699661,-0.000227222,1575.848008,250.804,-0.000332431,0.000332431
35, Design 35,1,650,0.01,0.0428739,-0.249169,-1.45E-13,52944.6,6.98954,1.23E-05,0.00139078,2.90E+06,2.84E+06,1893.79,68176.3,-0.00174249,0.972641,650.007,0.726088,0.952593,1654.03,0.233115,0.0219269,7.97E-05,0.0433315,0.701547,-7.47E-05,1299.067412,206.753,-0.00033291,0.00033291
46, Design 46,1,700,0.01,0.065182,-0.263733,-3.11E-13,57623.4,7.00083,1.23E-05,0.00139233,2.90E+06,2.84E+06,1896.85,68286.5,0.00962689,1.37379,699.999,0.791701,0.952593,1125.71,0.225236,0.0268973,0.000248153,0.0641895,0.683429,0.000627499,884.1321373,140.714,-0.000333448,0.000333448
57, Design 57,1,750,0.01,0.103289,-0.277498,-2.73E-13,63013.8,7.01385,1.23E-05,0.00139388,2.91E+06,2.84E+06,1900.37,68413.4,0.0279271,1.78451,749.999,0.865425,0.952593,474.142,0.21216,0.0348948,0.000777864,0.0985531,0.653614,0.00288457,372.3905701,59.2678,-0.000334068,0.000334068
68, Design 68,1,800,0.01,0.152793,-0.292678,1.38E-13,68966,7.02821,1.23E-05,0.00139542,2.91E+06,2.84E+06,1904.26,68553.5,0.0576481,2.08469,799.998,0.946669,0.952593,-276.497,0.195862,0.0441716,0.00212981,0.140696,0.617141,0.00880822,-217.1607072,-34.5622,-0.000334752,0.000334752
79, Design 79,1,850,0.01,0.214944,-0.30907,3.06E-13,75585.3,7.04419,1.23E-05,0.00139697,2.92E+06,2.84E+06,1908.59,68709.3,0.104666,2.30126,849.997,1.03708,0.952593,-1142.6,0.176425,0.0538288,0.0051471,0.189548,0.575051,0.0224972,-897.3959415,-142.825,-0.000335513,0.000335513
90, Design 90,1,900,0.01,0.291181,-0.326871,4.28E-13,83016.7,7.06213,1.23E-05,0.00139855,2.93E+06,2.84E+06,1913.45,68884.3,0.173341,2.45839,899.995,1.13859,0.952593,-2145.46,0.154017,0.062532,0.0110562,0.243441,0.528954,0.0504737,-1685.043485,-268.183,-0.000336368,0.000336368
101, Design 101,1,950,0.01,0.382871,-0.346181,9.48E-14,91419.1,7.08241,1.23E-05,0.00140011,2.93E+06,2.84E+06,1918.95,69082.1,0.263804,2.57365,949.993,1.25331,0.952593,-3307.59,0.128957,0.0687372,0.0211922,0.300184,0.48093,0.101003,-2597.776682,-413.449,-0.000337333,0.000337333
112, Design 112,1,1000,0.01,0.490001,-0.366773,-5.93E-16,100913,7.10532,1.23E-05,0.0014017,2.94E+06,2.84E+06,1925.16,69305.7,0.36964,2.65851,999.99,1.38278,0.952593,-4640.04,0.102005,0.0711935,0.0363103,0.356994,0.433498,0.181124,-3644.278894,-580.005,-0.000338425,0.000338425
