"Temperature (K)","Heat Flux (W/m^2)"
600,10906.779
700,6779.913
800,-2849.615
900,-15601.959
950,-23385.196
1000,-32100.735
1050,-41585.399
1100,-51449.439
1129,-57112.683
1150,-61092.000
1200,-69858.189
1250,-77280.051
1300,-83230.450
1350,-87964.077
1400,-91975.599
1450,-95652.237
1500,-99184.696
1550,-102655.690
1600,-106101.914
