ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatFluxRatio (Rad/Total)
1;0.005;0.063;9801;94.47%
2;0.005;0.063;9899;94.45%
3;0.005;0.063;9958;94.47%
4;0.005;0.063;10012;94.52%
5;0.005;0.063;10061;94.55%
6;0.005;0.063;10082;94.56%
7;0.005;0.063;10099;94.57%
8;0.005;0.063;10133;94.58%
10;0.005;0.063;10215;94.58%
11;0.005;0.063;10260;94.58%
12;0.005;0.063;10246;94.54%
13;0.01;0.063;12373;94.88%
14;0.01;0.063;12522;94.87%
15;0.01;0.063;12619;94.90%
16;0.01;0.063;12680;94.95%
17;0.01;0.063;12759;94.97%
18;0.01;0.063;12788;94.99%
19;0.01;0.063;12811;94.99%
20;0.01;0.063;12855;95.00%
23;0.01;0.063;13000;94.95%
24;0.01;0.063;12968;94.89%
25;0.015;0.063;14735;95.17%
26;0.015;0.063;14933;95.19%
27;0.015;0.063;15022;95.24%
28;0.015;0.063;15126;95.28%
29;0.015;0.063;15243;95.30%
30;0.015;0.063;15279;95.30%
31;0.015;0.063;15310;95.31%
32;0.015;0.063;15365;95.31%
34;0.015;0.063;15470;95.29%
35;0.015;0.063;15523;95.22%
36;0.015;0.063;15476;95.14%
37;0.02;0.063;16840;95.39%
38;0.02;0.063;17085;95.43%
39;0.02;0.063;17166;95.51%
40;0.02;0.063;17288;95.55%
41;0.02;0.063;17467;95.53%
42;0.02;0.063;17513;95.53%
43;0.02;0.063;17551;95.55%
44;0.02;0.063;17618;95.55%
46;0.02;0.063;17733;95.53%
47;0.02;0.063;17801;95.43%
48;0.02;0.063;17745;95.34%
49;0.025;0.063;18712;95.57%
50;0.025;0.063;19001;95.61%
51;0.025;0.063;19075;95.79%
52;0.025;0.063;19229;95.78%
53;0.025;0.063;19450;95.72%
54;0.025;0.063;19504;95.72%
55;0.025;0.063;19549;95.73%
56;0.025;0.063;19629;95.73%
58;0.025;0.063;19766;95.75%
59;0.025;0.063;19843;95.59%
60;0.025;0.063;19785;95.49%
61;0.03;0.063;20380;95.71%
62;0.03;0.063;20708;95.76%
63;0.03;0.063;20812;96.00%
65;0.03;0.063;21219;95.87%
66;0.03;0.063;21280;95.88%
67;0.03;0.063;21331;95.88%
68;0.03;0.063;21423;95.87%
70;0.03;0.063;21636;96.04%
71;0.03;0.063;21672;95.72%
72;0.03;0.063;21615;95.61%
73;0.035;0.063;21869;95.81%
74;0.035;0.063;22234;95.90%
75;0.035;0.063;22374;96.17%
76;0.035;0.063;22560;96.22%
77;0.035;0.063;22797;96.00%
78;0.035;0.063;22865;95.99%
79;0.035;0.063;22921;96.01%
80;0.035;0.063;23023;96.00%
82;0.035;0.063;23271;96.26%
83;0.035;0.063;23308;95.83%
84;0.035;0.063;23255;95.72%
