ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatFluxRatio (Rad/Total)
169;0.005;0.063;5740;94.19%
170;0.005;0.063;6078;93.76%
171;0.005;0.063;6276;93.73%
172;0.005;0.063;6421;93.80%
173;0.005;0.063;6511;93.91%
174;0.005;0.063;6579;93.86%
175;0.005;0.063;6621;93.87%
176;0.005;0.063;6684;93.90%
177;0.005;0.063;6753;93.85%
178;0.005;0.063;6835;93.80%
179;0.005;0.063;6856;93.73%
180;0.005;0.063;6852;93.68%
181;0.01;0.063;7120;95.17%
182;0.01;0.063;8985;94.20%
183;0.01;0.063;9360;94.20%
184;0.01;0.063;9639;94.29%
185;0.01;0.063;9825;94.79%
186;0.01;0.063;9949;94.37%
187;0.01;0.063;10037;94.38%
188;0.01;0.063;10282;94.78%
189;0.01;0.063;10326;94.32%
190;0.01;0.063;10528;94.26%
191;0.01;0.063;10084;93.51%
192;0.01;0.063;10670;93.94%
193;0.015;0.063;10123;95.75%
194;0.015;0.063;9302;95.40%
195;0.015;0.063;10132;95.26%
196;0.015;0.063;10692;95.26%
197;0.015;0.063;11150;95.34%
198;0.015;0.063;11351;95.35%
199;0.015;0.063;11520;95.33%
200;0.015;0.063;11783;95.21%
201;0.015;0.063;12052;95.11%
202;0.015;0.063;14288;95.15%
203;0.015;0.063;12721;93.53%
204;0.015;0.063;12720;93.63%
205;0.02;0.063;9050;95.39%
206;0.02;0.063;10407;95.32%
207;0.02;0.063;11383;95.37%
208;0.02;0.063;12004;95.48%
209;0.02;0.063;12555;95.65%
210;0.02;0.063;12781;95.67%
211;0.02;0.063;13000;95.67%
212;0.02;0.063;13367;95.48%
213;0.02;0.063;13723;95.38%
215;0.02;0.063;14579;93.57%
216;0.02;0.063;14618;93.59%
217;0.025;0.063;9699;95.23%
218;0.025;0.063;11219;95.32%
219;0.025;0.063;12283;95.43%
220;0.025;0.063;12987;95.52%
221;0.025;0.063;13621;95.71%
222;0.025;0.063;13852;95.82%
223;0.025;0.063;14119;95.84%
224;0.025;0.063;14530;95.70%
225;0.025;0.063;14970;95.52%
226;0.025;0.063;15589;93.87%
227;0.025;0.063;16013;93.44%
228;0.025;0.063;16134;93.37%
229;0.03;0.063;10243;94.90%
230;0.03;0.063;11913;94.91%
231;0.03;0.063;13026;95.16%
232;0.03;0.063;13847;95.03%
233;0.03;0.063;14487;95.56%
234;0.03;0.063;14690;95.89%
235;0.03;0.063;14957;95.92%
236;0.03;0.063;15399;95.76%
237;0.03;0.063;15894;95.56%
238;0.03;0.063;16635;93.74%
239;0.03;0.063;17212;93.05%
240;0.03;0.063;17459;93.27%
241;0.035;0.063;10619;94.54%
242;0.035;0.063;12382;94.35%
243;0.035;0.063;13592;94.82%
244;0.035;0.063;14326;95.11%
245;0.035;0.063;15059;95.56%
246;0.035;0.063;15355;95.66%
247;0.035;0.063;15662;95.76%
248;0.035;0.063;16226;95.62%
249;0.035;0.063;16623;95.38%
250;0.035;0.063;17540;93.55%
251;0.035;0.063;18198;92.75%
252;0.035;0.063;18385;93.06%
