ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatFluxRatio (Rad/Total)
757;0.005;0.08;5439;98.04%
758;0.005;0.08;6374;93.75%
759;0.005;0.08;6600;93.45%
760;0.005;0.08;6758;93.31%
761;0.005;0.08;6881;93.34%
762;0.005;0.08;6933;93.37%
763;0.005;0.08;6981;93.39%
764;0.005;0.08;7064;93.43%
765;0.005;0.08;7134;93.45%
766;0.005;0.08;7231;93.47%
767;0.005;0.08;7277;93.44%
768;0.005;0.08;7287;93.44%
769;0.01;0.08;7345;98.10%
770;0.01;0.08;9437;94.07%
771;0.01;0.08;9867;93.78%
772;0.01;0.08;10184;93.72%
773;0.01;0.08;10429;93.73%
774;0.01;0.08;10536;93.77%
775;0.01;0.08;10638;93.79%
776;0.01;0.08;10822;93.81%
777;0.01;0.08;10986;93.83%
778;0.01;0.08;11032;93.29%
779;0.01;0.08;11418;93.71%
780;0.01;0.08;11479;93.61%
781;0.015;0.08;8535;98.36%
782;0.015;0.08;11932;94.21%
783;0.015;0.08;12554;94.14%
784;0.015;0.08;11756;94.55%
785;0.015;0.08;13371;93.98%
786;0.015;0.08;13526;94.02%
787;0.015;0.08;13675;94.04%
788;0.015;0.08;13946;94.05%
789;0.015;0.08;14190;94.05%
790;0.015;0.08;13800;93.41%
791;0.015;0.08;15467;94.29%
792;0.015;0.08;15050;93.71%
793;0.02;0.08;9423;98.25%
794;0.02;0.08;11284;94.95%
795;0.02;0.08;12494;94.55%
796;0.02;0.08;13303;94.69%
797;0.02;0.08;13878;95.08%
798;0.02;0.08;14217;94.96%
799;0.02;0.08;14509;95.04%
801;0.02;0.08;15295;94.83%
802;0.02;0.08;15920;93.38%
803;0.02;0.08;16347;93.32%
804;0.02;0.08;18684;94.05%
805;0.025;0.08;10046;98.18%
806;0.025;0.08;12237;94.75%
807;0.025;0.08;13640;94.44%
808;0.025;0.08;14505;94.70%
809;0.025;0.08;15102;95.19%
810;0.025;0.08;15491;95.11%
811;0.025;0.08;15858;95.15%
813;0.025;0.08;16789;94.88%
814;0.025;0.08;17733;93.21%
815;0.025;0.08;18217;93.14%
816;0.025;0.08;18427;93.37%
817;0.03;0.08;10508;98.26%
818;0.03;0.08;12992;94.26%
819;0.03;0.08;14567;94.13%
820;0.03;0.08;15441;94.65%
821;0.03;0.08;16082;95.17%
822;0.03;0.08;16513;95.17%
823;0.03;0.08;16943;95.19%
825;0.03;0.08;18031;95.00%
826;0.03;0.08;19156;92.97%
827;0.03;0.08;19764;92.87%
828;0.03;0.08;19903;93.20%
829;0.035;0.08;10802;98.34%
830;0.035;0.08;13610;93.88%
831;0.035;0.08;15305;93.81%
832;0.035;0.08;16215;94.42%
833;0.035;0.08;16841;95.10%
834;0.035;0.08;17343;95.07%
835;0.035;0.08;17647;95.18%
837;0.035;0.08;18988;94.62%
838;0.035;0.08;20298;92.66%
839;0.035;0.08;21043;92.54%
840;0.035;0.08;21025;92.52%
