ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatFluxRatio (Rad/Total)
841;0.005;0.08;5321;97.17%
842;0.005;0.08;6165;93.75%
843;0.005;0.08;6397;93.63%
844;0.005;0.08;6610;93.35%
845;0.005;0.08;6756;93.40%
846;0.005;0.08;6818;93.43%
847;0.005;0.08;6864;93.51%
848;0.005;0.08;6974;93.51%
849;0.005;0.08;7058;93.56%
850;0.005;0.08;7183;93.56%
851;0.005;0.08;7232;93.52%
852;0.005;0.08;7227;93.51%
853;0.01;0.08;7213;96.75%
854;0.01;0.08;9148;94.01%
855;0.01;0.08;8979;93.78%
856;0.01;0.08;10008;93.74%
857;0.01;0.08;10290;93.80%
858;0.01;0.08;10415;93.82%
860;0.01;0.08;10740;93.89%
861;0.01;0.08;10673;94.00%
862;0.01;0.08;11227;93.93%
863;0.01;0.08;11419;93.78%
864;0.01;0.08;11482;93.63%
865;0.015;0.08;8420;96.01%
866;0.015;0.08;11554;94.10%
867;0.015;0.08;10714;94.40%
868;0.015;0.08;11516;94.49%
869;0.015;0.08;13208;94.04%
870;0.015;0.08;12438;94.59%
872;0.015;0.08;13862;94.11%
873;0.015;0.08;13315;94.63%
874;0.015;0.08;14595;94.13%
875;0.015;0.08;14930;93.93%
876;0.015;0.08;15081;93.71%
877;0.02;0.08;9344;95.30%
878;0.02;0.08;10821;94.25%
879;0.02;0.08;12090;94.35%
880;0.02;0.08;13026;94.66%
881;0.02;0.08;13783;94.78%
882;0.02;0.08;14128;94.87%
883;0.02;0.08;14453;94.92%
884;0.02;0.08;14976;95.01%
885;0.02;0.08;15292;94.83%
886;0.02;0.08;18196;95.02%
887;0.02;0.08;18829;94.47%
888;0.02;0.08;16626;92.64%
889;0.025;0.08;10040;94.42%
890;0.025;0.08;11724;93.81%
891;0.025;0.08;13150;94.09%
892;0.025;0.08;14166;94.73%
893;0.025;0.08;15011;94.84%
894;0.025;0.08;15414;94.97%
896;0.025;0.08;16439;95.14%
897;0.025;0.08;16763;94.92%
899;0.025;0.08;18592;92.58%
900;0.025;0.08;18640;92.27%
901;0.03;0.08;10606;93.66%
902;0.03;0.08;12461;93.47%
903;0.03;0.08;14032;93.54%
904;0.03;0.08;15088;94.48%
905;0.03;0.08;15965;94.85%
906;0.03;0.08;16417;94.99%
908;0.03;0.08;17543;95.17%
909;0.03;0.08;17926;94.80%
911;0.03;0.08;20218;92.25%
912;0.03;0.08;20291;92.03%
913;0.035;0.08;11025;93.02%
914;0.035;0.08;13069;92.89%
915;0.035;0.08;14705;93.20%
916;0.035;0.08;15772;94.22%
917;0.035;0.08;16718;94.74%
918;0.035;0.08;17209;94.92%
920;0.035;0.08;18242;95.13%
921;0.035;0.08;19007;94.37%
923;0.035;0.08;21638;91.86%
924;0.035;0.08;21717;91.52%
