ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatFluxRatio (Rad/Total)
673;0.005;0.08;9637;96.01%
674;0.005;0.08;10393;94.03%
675;0.005;0.08;10481;94.01%
676;0.005;0.08;10538;94.01%
677;0.005;0.08;10597;94.04%
678;0.005;0.08;10621;94.06%
679;0.005;0.08;10642;94.08%
680;0.005;0.08;10684;94.10%
681;0.005;0.08;10721;94.12%
682;0.005;0.08;10792;94.15%
683;0.005;0.08;10839;94.15%
684;0.005;0.08;10825;94.11%
685;0.01;0.08;11757;96.56%
686;0.01;0.08;13378;94.43%
687;0.01;0.08;13518;94.43%
688;0.01;0.08;13595;94.43%
689;0.01;0.08;13693;94.47%
690;0.01;0.08;13726;94.48%
691;0.01;0.08;13756;94.50%
692;0.01;0.08;13814;94.52%
693;0.01;0.08;13862;94.53%
694;0.01;0.08;13951;94.54%
695;0.01;0.08;13993;94.51%
696;0.01;0.08;13957;94.45%
697;0.015;0.08;13685;96.93%
698;0.015;0.08;16154;94.74%
699;0.015;0.08;16347;94.76%
700;0.015;0.08;16434;94.77%
701;0.015;0.08;16584;94.78%
702;0.015;0.08;16630;94.80%
703;0.015;0.08;16669;94.81%
704;0.015;0.08;16746;94.84%
705;0.015;0.08;16810;94.85%
706;0.015;0.08;16919;94.84%
707;0.015;0.08;16961;94.78%
708;0.015;0.08;16907;94.71%
709;0.02;0.08;15360;97.06%
710;0.02;0.08;18660;94.98%
711;0.02;0.08;18904;95.02%
712;0.02;0.08;19011;95.04%
713;0.02;0.08;19208;95.02%
714;0.02;0.08;19265;95.05%
715;0.02;0.08;19319;95.05%
716;0.02;0.08;19417;95.07%
717;0.02;0.08;19499;95.09%
718;0.02;0.08;19637;95.07%
719;0.02;0.08;19690;95.00%
720;0.02;0.08;19627;94.90%
721;0.025;0.08;16790;97.24%
722;0.025;0.08;20921;95.18%
723;0.025;0.08;21215;95.23%
725;0.025;0.08;21586;95.21%
726;0.025;0.08;21654;95.25%
727;0.025;0.08;21719;95.24%
728;0.025;0.08;21840;95.27%
729;0.025;0.08;21942;95.27%
730;0.025;0.08;22114;95.24%
731;0.025;0.08;22186;95.16%
732;0.025;0.08;22122;95.05%
733;0.03;0.08;17890;97.34%
734;0.03;0.08;22981;95.30%
735;0.03;0.08;23315;95.39%
737;0.03;0.08;23749;95.37%
738;0.03;0.08;23827;95.40%
739;0.03;0.08;23904;95.39%
740;0.03;0.08;24045;95.41%
741;0.03;0.08;24165;95.42%
742;0.03;0.08;24373;95.38%
743;0.03;0.08;24470;95.29%
744;0.03;0.08;24411;95.18%
745;0.035;0.08;18762;97.37%
746;0.035;0.08;24857;95.42%
747;0.035;0.08;25234;95.53%
748;0.035;0.08;12278;92.06%
749;0.035;0.08;25724;95.51%
750;0.035;0.08;25811;95.53%
751;0.035;0.08;25903;95.51%
752;0.035;0.08;26061;95.54%
753;0.035;0.08;26199;95.54%
754;0.035;0.08;26440;95.50%
755;0.035;0.08;26563;95.40%
756;0.035;0.08;26512;95.28%
