ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatFluxRatio (Rad/Total)
925;0.005;0.08;6050;94.45%
926;0.005;0.08;6567;93.47%
927;0.005;0.08;6789;93.30%
928;0.005;0.08;6939;93.24%
929;0.005;0.08;7049;93.30%
930;0.005;0.08;7094;93.34%
931;0.005;0.08;7132;93.38%
932;0.005;0.08;7188;93.45%
933;0.005;0.08;7215;93.49%
934;0.005;0.08;7206;93.26%
935;0.005;0.08;7051;92.44%
936;0.005;0.08;7428;91.44%
937;0.01;0.08;8330;94.30%
938;0.01;0.08;9843;93.74%
939;0.01;0.08;10286;93.62%
940;0.01;0.08;10608;93.55%
941;0.01;0.08;10870;93.61%
942;0.01;0.08;10992;93.66%
943;0.01;0.08;11099;93.68%
944;0.01;0.08;11272;93.68%
945;0.01;0.08;11418;93.65%
946;0.01;0.08;11526;93.05%
947;0.01;0.08;10847;91.37%
948;0.01;0.08;10434;91.21%
949;0.015;0.08;9881;93.96%
950;0.015;0.08;12517;93.91%
951;0.015;0.08;13173;93.78%
952;0.015;0.08;13642;93.75%
953;0.015;0.08;14027;93.86%
954;0.015;0.08;14221;93.86%
955;0.015;0.08;14388;93.89%
956;0.015;0.08;14686;93.87%
957;0.015;0.08;14942;93.75%
958;0.015;0.08;15382;92.69%
960;0.015;0.08;12919;90.42%
961;0.02;0.08;11044;93.52%
962;0.02;0.08;12327;94.73%
963;0.02;0.08;13542;94.84%
964;0.02;0.08;14501;94.87%
965;0.02;0.08;15070;94.84%
966;0.02;0.08;15260;94.76%
967;0.02;0.08;15331;94.42%
968;0.02;0.08;15647;92.94%
969;0.02;0.08;18391;94.29%
970;0.02;0.08;16300;91.30%
972;0.02;0.08;14620;90.02%
973;0.025;0.08;11965;92.61%
974;0.025;0.08;13428;94.55%
975;0.025;0.08;14757;94.92%
976;0.025;0.08;15867;94.93%
977;0.025;0.08;16607;94.89%
978;0.025;0.08;16894;94.79%
979;0.025;0.08;17006;94.00%
980;0.025;0.08;17536;92.71%
982;0.025;0.08;18267;90.62%
984;0.025;0.08;15974;90.06%
985;0.03;0.08;12688;91.83%
988;0.03;0.08;16951;94.90%
989;0.03;0.08;17875;94.78%
991;0.03;0.08;18498;93.85%
992;0.03;0.08;19074;92.44%
994;0.03;0.08;19955;90.63%
996;0.03;0.08;16906;89.60%
997;0.035;0.08;13281;91.03%
1000;0.035;0.08;17839;94.73%
1001;0.035;0.08;18909;94.64%
1002;0.035;0.08;19314;94.13%
1003;0.035;0.08;19778;93.67%
1004;0.035;0.08;20508;92.16%
1006;0.035;0.08;21431;89.76%
1008;0.035;0.08;17940;89.23%
