ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatFluxRatio (Rad/Total)
589;0.005;0.04;5643;94.67%
590;0.005;0.04;5807;94.62%
591;0.005;0.04;5884;94.69%
592;0.005;0.04;5933;94.69%
593;0.005;0.04;5966;94.65%
594;0.005;0.04;5978;94.62%
595;0.005;0.04;5987;94.59%
596;0.005;0.04;6001;94.53%
597;0.005;0.04;6007;94.46%
598;0.005;0.04;6019;94.19%
599;0.005;0.04;6038;93.42%
600;0.005;0.04;6016;93.53%
602;0.01;0.04;8338;95.19%
603;0.01;0.04;8488;95.27%
604;0.01;0.04;8595;95.26%
605;0.01;0.04;8670;95.21%
606;0.01;0.04;8700;95.17%
607;0.01;0.04;8724;95.14%
608;0.01;0.04;8764;95.06%
609;0.01;0.04;8864;95.06%
610;0.01;0.04;8811;94.44%
611;0.01;0.04;8779;93.29%
612;0.01;0.04;8437;93.56%
615;0.015;0.04;5346;88.53%
616;0.015;0.04;8468;97.12%
617;0.015;0.04;8670;96.82%
618;0.015;0.04;10776;95.78%
619;0.015;0.04;10874;95.85%
620;0.015;0.04;10882;95.53%
621;0.015;0.04;11012;95.45%
622;0.015;0.04;10954;94.55%
623;0.015;0.04;10888;93.20%
624;0.015;0.04;9500;95.35%
626;0.02;0.04;5288;90.05%
627;0.02;0.04;9021;97.85%
628;0.02;0.04;9309;97.36%
629;0.02;0.04;9571;97.10%
630;0.02;0.04;9707;96.94%
631;0.02;0.04;9777;96.80%
632;0.02;0.04;12500;96.04%
633;0.02;0.04;5711;89.66%
634;0.02;0.04;10223;94.65%
635;0.02;0.04;10617;94.17%
636;0.02;0.04;10367;96.68%
637;0.025;0.04;8855;98.43%
638;0.025;0.04;9307;97.99%
639;0.025;0.04;9578;97.86%
640;0.025;0.04;9941;97.33%
641;0.025;0.04;10247;97.10%
642;0.025;0.04;10377;96.97%
643;0.025;0.04;10486;96.67%
644;0.025;0.04;10492;95.70%
645;0.025;0.04;10759;94.61%
646;0.025;0.04;10965;94.40%
647;0.025;0.04;11427;94.06%
648;0.025;0.04;11407;95.25%
649;0.03;0.04;9287;98.29%
650;0.03;0.04;9796;97.85%
651;0.03;0.04;10044;97.84%
652;0.03;0.04;10524;97.38%
653;0.03;0.04;10763;97.06%
654;0.03;0.04;10894;96.95%
655;0.03;0.04;11077;96.48%
656;0.03;0.04;11100;95.51%
657;0.03;0.04;11321;94.24%
658;0.03;0.04;11548;94.17%
659;0.03;0.04;12031;93.90%
660;0.03;0.04;12029;95.22%
661;0.035;0.04;9561;98.14%
662;0.035;0.04;10088;97.71%
663;0.035;0.04;10486;97.28%
664;0.035;0.04;10957;97.22%
665;0.035;0.04;11147;96.99%
666;0.035;0.04;11278;96.81%
667;0.035;0.04;11468;96.28%
668;0.035;0.04;11507;95.21%
669;0.035;0.04;11806;93.81%
670;0.035;0.04;12078;93.42%
671;0.035;0.04;12440;93.29%
672;0.035;0.04;12527;95.11%
