ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatFluxRatio (Rad/Total)
85;0.005;0.063;5947;94.10%
86;0.005;0.063;6240;93.70%
87;0.005;0.063;6406;93.70%
88;0.005;0.063;6526;93.73%
89;0.005;0.063;6620;93.77%
90;0.005;0.063;6660;93.78%
91;0.005;0.063;6696;93.78%
92;0.005;0.063;6758;93.78%
93;0.005;0.063;6809;93.77%
94;0.005;0.063;6879;93.73%
95;0.005;0.063;6907;93.68%
98;0.01;0.063;9183;94.19%
99;0.01;0.063;9502;94.16%
100;0.01;0.063;9738;94.22%
101;0.01;0.063;9929;94.26%
102;0.01;0.063;10012;94.28%
103;0.01;0.063;10088;94.29%
104;0.01;0.063;10227;94.28%
105;0.01;0.063;10347;94.25%
106;0.01;0.063;10527;94.20%
107;0.01;0.063;10636;94.05%
108;0.01;0.063;10212;93.68%
110;0.015;0.063;11558;94.50%
111;0.015;0.063;12019;94.48%
112;0.015;0.063;12358;94.54%
113;0.015;0.063;12629;94.56%
114;0.015;0.063;12748;94.59%
115;0.015;0.063;12861;94.58%
116;0.015;0.063;13065;94.56%
117;0.015;0.063;13245;94.52%
118;0.015;0.063;13531;94.46%
119;0.015;0.063;13916;94.47%
120;0.015;0.063;12843;93.72%
132;0.02;0.063;14899;93.75%
140;0.025;0.063;14449;95.58%
142;0.025;0.063;15318;94.05%
143;0.025;0.063;15793;94.04%
144;0.025;0.063;19583;94.80%
145;0.03;0.063;10785;95.70%
146;0.03;0.063;12331;95.37%
147;0.03;0.063;13285;95.08%
148;0.03;0.063;13880;95.27%
149;0.03;0.063;14397;95.90%
150;0.03;0.063;14675;95.75%
151;0.03;0.063;14882;95.79%
152;0.03;0.063;15348;95.65%
153;0.03;0.063;15795;95.66%
154;0.03;0.063;16439;93.78%
155;0.03;0.063;16890;93.90%
156;0.03;0.063;16979;94.05%
157;0.035;0.063;11177;95.51%
158;0.035;0.063;12846;95.12%
159;0.035;0.063;13850;94.85%
160;0.035;0.063;14385;95.28%
161;0.035;0.063;15045;95.74%
162;0.035;0.063;15378;95.71%
163;0.035;0.063;15602;95.69%
164;0.035;0.063;16098;95.74%
165;0.035;0.063;16506;95.55%
166;0.035;0.063;17313;93.52%
167;0.035;0.063;17786;93.72%
168;0.035;0.063;17976;93.52%
