DistanceFactor;MeanTemperature
1.5;952.1623
1.75;956.9513
2;961.1836
2.25;964.899
2.375;966.8417
2.5;968.6412
2.75;971.688
3;974.2043
3.5;978.2073
4;981.0606
4.25;982.078
