ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K);MaxTubeTemp(K);MinTubeTemp(K);HeatTransferMean(W)
505;0.005;0.04;1013;1058;970;5446
506;0.005;0.04;1019;1058;990;5607
507;0.005;0.04;1022;1060;999;5712
508;0.005;0.04;1025;1063;1001;5784
509;0.005;0.04;1025;1072;998;5792
510;0.005;0.04;1027;1071;1002;5854
511;0.005;0.04;1028;1073;1002;5872
512;0.005;0.04;1029;1080;1000;5901
513;0.005;0.04;1029;1087;998;5925
514;0.005;0.04;1031;1103;995;5959
515;0.005;0.04;1031;1124;990;5968
516;0.005;0.04;1031;1137;986;5961
517;0.01;0.04;1089;1132;1038;7765
518;0.01;0.04;1098;1132;1065;8059
519;0.01;0.04;1104;1134;1080;8252
520;0.01;0.04;1108;1137;1088;8387
521;0.01;0.04;1111;1163;1080;8456
522;0.01;0.04;1112;1143;1090;8524
523;0.01;0.04;1113;1146;1091;8559
524;0.01;0.04;1115;1152;1091;8620
525;0.01;0.04;1117;1158;1091;8669
526;0.01;0.04;1119;1174;1091;8741
527;0.01;0.04;1121;1194;1087;8768
528;0.01;0.04;1121;1207;1085;8763
529;0.015;0.04;1066;1118;1017;7049
530;0.015;0.04;1083;1128;1050;7592
531;0.015;0.04;1095;1134;1063;7957
532;0.015;0.04;1102;1140;1070;8192
533;0.015;0.04;1107;1147;1075;8365
534;0.015;0.04;1110;1150;1078;8442
535;0.015;0.04;1112;1155;1080;8520
536;0.015;0.04;1116;1163;1082;8634
537;0.015;0.04;1183;1215;1159;10712
538;0.015;0.04;1187;1229;1161;10817
539;0.015;0.04;1190;1248;1158;10873
540;0.015;0.04;1190;1260;1155;10883
541;0.02;0.04;1088;1144;1037;7727
542;0.02;0.04;1107;1155;1073;8341
543;0.02;0.04;1120;1165;1087;8779
544;0.02;0.04;1128;1168;1095;9020
545;0.02;0.04;1136;1173;1103;9274
546;0.02;0.04;1138;1173;1104;9330
547;0.02;0.04;1140;1175;1106;9402
548;0.02;0.04;1144;1183;1109;9530
549;0.02;0.04;1152;1197;1116;9760
550;0.02;0.04;1160;1225;1119;9968
551;0.02;0.04;1163;1231;1116;10072
552;0.02;0.04;1168;1241;1119;10203
553;0.025;0.04;1104;1164;1052;8218
554;0.025;0.04;1126;1179;1090;8932
555;0.025;0.04;1139;1188;1105;9369
556;0.025;0.04;1147;1191;1114;9621
557;0.025;0.04;1157;1199;1124;9937
558;0.025;0.04;1157;1197;1123;9930
559;0.025;0.04;1160;1199;1125;10007
560;0.025;0.04;1166;1203;1130;10191
561;0.025;0.04;1173;1215;1136;10396
562;0.025;0.04;1185;1239;1143;10708
563;0.025;0.04;1187;1250;1136;10777
564;0.025;0.04;1193;1263;1143;10941
565;0.03;0.04;1119;1183;1066;8663
566;0.03;0.04;1139;1194;1101;9347
567;0.03;0.04;1156;1207;1122;9876
568;0.03;0.04;1164;1210;1132;10152
569;0.03;0.04;1174;1218;1141;10440
570;0.03;0.04;1171;1214;1137;10346
571;0.03;0.04;1175;1217;1141;10457
572;0.03;0.04;1181;1222;1146;10653
573;0.03;0.04;1190;1231;1152;10884
574;0.03;0.04;1201;1251;1156;11189
575;0.03;0.04;1208;1266;1156;11370
576;0.03;0.04;1209;1275;1158;11389
577;0.035;0.04;1129;1196;1076;8976
578;0.035;0.04;1149;1205;1110;9648
579;0.035;0.04;1166;1218;1133;10180
580;0.035;0.04;1177;1224;1146;10528
581;0.035;0.04;1181;1227;1150;10661
582;0.035;0.04;1185;1230;1153;10777
583;0.035;0.04;1184;1229;1151;10741
584;0.035;0.04;1193;1236;1158;10983
585;0.035;0.04;1203;1244;1165;11252
586;0.035;0.04;1215;1261;1168;11553
587;0.035;0.04;1223;1278;1172;11760
588;0.035;0.04;1226;1290;1170;11851
