ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K);MaxTubeTemp(K);MinTubeTemp(K);HeatTransferMean(W)
757;0.005;0.08;857;943;780;5439
758;0.005;0.08;867;934;800;6374
759;0.005;0.08;872;932;821;6600
760;0.005;0.08;875;932;833;6758
761;0.005;0.08;877;935;842;6881
762;0.005;0.08;878;937;845;6933
763;0.005;0.08;878;939;847;6981
764;0.005;0.08;880;945;849;7064
765;0.005;0.08;880;952;848;7134
766;0.005;0.08;881;970;846;7231
767;0.005;0.08;881;991;841;7277
768;0.005;0.08;881;1004;838;7287
769;0.01;0.08;878;974;778;7345
770;0.01;0.08;905;979;816;9437
771;0.01;0.08;913;974;844;9867
772;0.01;0.08;918;973;864;10184
773;0.01;0.08;922;974;877;10429
774;0.01;0.08;924;975;882;10536
775;0.01;0.08;925;977;886;10638
776;0.01;0.08;927;981;894;10822
777;0.01;0.08;929;986;898;10986
778;0.01;0.08;929;1025;887;11032
779;0.01;0.08;934;1023;895;11418
780;0.01;0.08;934;1039;892;11479
781;0.015;0.08;890;989;776;8535
782;0.015;0.08;934;1020;826;11932
783;0.015;0.08;945;1015;863;12554
784;0.015;0.08;937;1001;874;11756
785;0.015;0.08;957;1009;903;13371
786;0.015;0.08;959;1008;909;13526
787;0.015;0.08;961;1008;915;13675
788;0.015;0.08;964;1011;924;13946
789;0.015;0.08;967;1015;931;14190
790;0.015;0.08;962;1048;919;13800
791;0.015;0.08;981;1080;938;15467
792;0.015;0.08;976;1061;929;15050
793;0.02;0.08;898;1003;775;9423
794;0.02;0.08;926;1019;822;11284
795;0.02;0.08;944;1023;861;12494
796;0.02;0.08;955;1024;886;13303
797;0.02;0.08;962;1024;904;13878
798;0.02;0.08;966;1025;913;14217
799;0.02;0.08;970;1030;922;14509
801;0.02;0.08;979;1049;939;15295
802;0.02;0.08;986;1060;940;15920
803;0.02;0.08;990;1068;942;16347
804;0.02;0.08;1016;1101;964;18684
805;0.025;0.08;905;1017;775;10046
806;0.025;0.08;937;1037;829;12237
807;0.025;0.08;957;1042;871;13640
808;0.025;0.08;968;1044;896;14505
809;0.025;0.08;976;1044;914;15102
810;0.025;0.08;980;1045;923;15491
811;0.025;0.08;985;1046;933;15858
813;0.025;0.08;995;1058;955;16789
814;0.025;0.08;1006;1069;959;17733
815;0.025;0.08;1011;1079;958;18217
816;0.025;0.08;1013;1089;958;18427
817;0.03;0.08;909;1027;775;10508
818;0.03;0.08;946;1050;835;12992
819;0.03;0.08;968;1056;880;14567
820;0.03;0.08;979;1058;905;15441
821;0.03;0.08;987;1059;922;16082
822;0.03;0.08;992;1061;931;16513
823;0.03;0.08;997;1062;943;16943
825;0.03;0.08;1009;1064;966;18031
826;0.03;0.08;1021;1074;974;19156
827;0.03;0.08;1027;1089;973;19764
828;0.03;0.08;1029;1100;971;19903
829;0.035;0.08;912;1033;773;10802
830;0.035;0.08;953;1059;841;13610
831;0.035;0.08;976;1065;889;15305
832;0.035;0.08;988;1068;913;16215
833;0.035;0.08;995;1070;929;16841
834;0.035;0.08;1001;1073;939;17343
835;0.035;0.08;1004;1073;949;17647
837;0.035;0.08;1019;1078;973;18988
838;0.035;0.08;1033;1090;985;20298
839;0.035;0.08;1041;1098;986;21043
840;0.035;0.08;1040;1109;986;21025
