ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K);MaxTubeTemp(K);MinTubeTemp(K);HeatTransferMean(W)
169;0.005;0.063;900;968;815;5740
170;0.005;0.063;909;964;851;6078
171;0.005;0.063;913;963;872;6276
172;0.005;0.063;916;965;884;6421
173;0.005;0.063;918;972;886;6511
174;0.005;0.063;919;971;888;6579
175;0.005;0.063;920;973;888;6621
176;0.005;0.063;921;982;887;6684
177;0.005;0.063;922;987;888;6753
178;0.005;0.063;923;1005;884;6835
179;0.005;0.063;923;1029;878;6856
180;0.005;0.063;922;1042;875;6852
181;0.01;0.063;924;1004;827;7120
182;0.01;0.063;960;1015;887;8985
183;0.01;0.063;967;1013;916;9360
184;0.01;0.063;972;1014;933;9639
185;0.01;0.063;975;1043;935;9825
186;0.01;0.063;977;1017;949;9949
187;0.01;0.063;979;1019;950;10037
188;0.01;0.063;982;1051;944;10282
189;0.01;0.063;983;1031;951;10326
190;0.01;0.063;986;1046;951;10528
191;0.01;0.063;978;1075;934;10084
192;0.01;0.063;988;1085;943;10670
193;0.015;0.063;974;1066;845;10123
194;0.015;0.063;964;1029;891;9302
195;0.015;0.063;979;1034;926;10132
196;0.015;0.063;989;1040;948;10692
197;0.015;0.063;996;1048;958;11150
198;0.015;0.063;999;1052;960;11351
199;0.015;0.063;1002;1056;962;11520
200;0.015;0.063;1006;1063;965;11783
201;0.015;0.063;1010;1073;969;12052
202;0.015;0.063;1045;1125;1004;14288
203;0.015;0.063;1020;1098;970;12721
204;0.015;0.063;1020;1102;969;12720
205;0.02;0.063;957;1046;845;9050
206;0.02;0.063;982;1055;906;10407
207;0.02;0.063;999;1061;945;11383
208;0.02;0.063;1009;1064;967;12004
209;0.02;0.063;1018;1068;979;12555
210;0.02;0.063;1021;1069;982;12781
211;0.02;0.063;1025;1070;984;13000
212;0.02;0.063;1030;1078;989;13367
213;0.02;0.063;1035;1088;993;13723
215;0.02;0.063;1048;1117;992;14579
216;0.02;0.063;1049;1124;995;14618
217;0.025;0.063;967;1063;852;9699
218;0.025;0.063;995;1072;918;11219
219;0.025;0.063;1013;1079;958;12283
220;0.025;0.063;1024;1084;980;12987
221;0.025;0.063;1034;1089;995;13621
222;0.025;0.063;1037;1090;998;13852
223;0.025;0.063;1041;1092;1002;14119
224;0.025;0.063;1047;1093;1007;14530
225;0.025;0.063;1054;1098;1012;14970
226;0.025;0.063;1063;1119;1017;15589
227;0.025;0.063;1069;1132;1010;16013
228;0.025;0.063;1071;1141;1014;16134
229;0.03;0.063;976;1077;859;10243
230;0.03;0.063;1006;1087;929;11913
231;0.03;0.063;1024;1093;969;13026
232;0.03;0.063;1037;1099;992;13847
233;0.03;0.063;1047;1104;1008;14487
234;0.03;0.063;1050;1105;1011;14690
235;0.03;0.063;1054;1108;1015;14957
236;0.03;0.063;1060;1110;1020;15399
237;0.03;0.063;1067;1114;1026;15894
238;0.03;0.063;1078;1128;1030;16635
239;0.03;0.063;1086;1143;1027;17212
240;0.03;0.063;1090;1154;1034;17459
241;0.035;0.063;983;1085;865;10619
242;0.035;0.063;1013;1095;938;12382
243;0.035;0.063;1033;1102;977;13592
244;0.035;0.063;1044;1106;998;14326
245;0.035;0.063;1055;1114;1015;15059
246;0.035;0.063;1059;1117;1022;15355
247;0.035;0.063;1064;1120;1026;15662
248;0.035;0.063;1072;1125;1034;16226
249;0.035;0.063;1078;1128;1038;16623
250;0.035;0.063;1091;1140;1041;17540
251;0.035;0.063;1100;1153;1043;18198
252;0.035;0.063;1103;1164;1048;18385
