ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K);MaxTubeTemp(K);MinTubeTemp(K);HeatTransferMean(W)
589;0.005;0.04;1018;1062;994;5643
590;0.005;0.04;1024;1066;1001;5807
591;0.005;0.04;1027;1073;1001;5884
592;0.005;0.04;1028;1081;1000;5933
593;0.005;0.04;1029;1091;998;5966
594;0.005;0.04;1030;1097;997;5978
595;0.005;0.04;1030;1104;996;5987
596;0.005;0.04;1030;1118;994;6001
597;0.005;0.04;1031;1136;990;6007
598;0.005;0.04;1031;1173;985;6019
599;0.005;0.04;1032;1211;979;6038
600;0.005;0.04;1032;1233;976;6016
602;0.01;0.04;1105;1141;1082;8338
603;0.01;0.04;1110;1147;1086;8488
604;0.01;0.04;1113;1156;1087;8595
605;0.01;0.04;1116;1167;1088;8670
606;0.01;0.04;1117;1173;1088;8700
607;0.01;0.04;1118;1180;1088;8724
608;0.01;0.04;1119;1194;1086;8764
609;0.01;0.04;1123;1220;1085;8864
610;0.01;0.04;1122;1253;1080;8811
611;0.01;0.04;1122;1292;1072;8779
612;0.01;0.04;1112;1306;1045;8437
615;0.015;0.04;1009;1034;994;5346
616;0.015;0.04;1110;1167;1074;8468
617;0.015;0.04;1116;1184;1078;8670
618;0.015;0.04;1185;1240;1155;10776
619;0.015;0.04;1189;1251;1158;10874
620;0.015;0.04;1189;1258;1158;10882
621;0.015;0.04;1194;1280;1160;11012
622;0.015;0.04;1193;1308;1156;10954
623;0.015;0.04;1192;1346;1146;10888
624;0.015;0.04;1147;1341;1079;9500
626;0.02;0.04;1007;1027;990;5288
627;0.02;0.04;1127;1172;1091;9021
628;0.02;0.04;1137;1188;1099;9309
629;0.02;0.04;1145;1207;1106;9571
630;0.02;0.04;1150;1217;1109;9707
631;0.02;0.04;1153;1227;1109;9777
632;0.02;0.04;1251;1314;1220;12500
633;0.02;0.04;1021;1094;998;5711
634;0.02;0.04;1169;1291;1112;10223
635;0.02;0.04;1184;1353;1112;10617
636;0.02;0.04;1176;1372;1095;10367
637;0.025;0.04;1122;1169;1089;8855
638;0.025;0.04;1136;1179;1102;9307
639;0.025;0.04;1145;1184;1109;9578
640;0.025;0.04;1157;1203;1119;9941
641;0.025;0.04;1168;1223;1127;10247
642;0.025;0.04;1172;1233;1130;10377
643;0.025;0.04;1176;1243;1133;10486
644;0.025;0.04;1177;1249;1127;10492
645;0.025;0.04;1186;1266;1138;10759
646;0.025;0.04;1195;1308;1136;10965
647;0.025;0.04;1213;1377;1138;11427
648;0.025;0.04;1213;1393;1139;11407
649;0.03;0.04;1136;1185;1103;9287
650;0.03;0.04;1152;1197;1118;9796
651;0.03;0.04;1161;1202;1125;10044
652;0.03;0.04;1177;1217;1139;10524
653;0.03;0.04;1185;1234;1145;10763
654;0.03;0.04;1190;1246;1148;10894
655;0.03;0.04;1197;1258;1154;11077
656;0.03;0.04;1198;1264;1148;11100
657;0.03;0.04;1206;1279;1158;11321
658;0.03;0.04;1216;1323;1157;11548
659;0.03;0.04;1237;1396;1157;12031
660;0.03;0.04;1237;1411;1160;12029
661;0.035;0.04;1145;1195;1113;9561
662;0.035;0.04;1162;1208;1129;10088
663;0.035;0.04;1175;1219;1140;10486
664;0.035;0.04;1192;1232;1155;10957
665;0.035;0.04;1199;1243;1159;11147
666;0.035;0.04;1204;1254;1163;11278
667;0.035;0.04;1211;1267;1168;11468
668;0.035;0.04;1213;1273;1163;11507
669;0.035;0.04;1225;1292;1176;11806
670;0.035;0.04;1237;1338;1174;12078
671;0.035;0.04;1254;1411;1169;12440
672;0.035;0.04;1258;1426;1178;12527
