ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K);MaxTubeTemp(K);MinTubeTemp(K);HeatTransferMean(W)
253;0.005;0.063;906;961;877;6171
254;0.005;0.063;913;966;884;6419
255;0.005;0.063;917;973;887;6571
256;0.005;0.063;919;982;888;6680
257;0.005;0.063;920;994;887;6759
258;0.005;0.063;920;1001;885;6778
259;0.005;0.063;921;1007;885;6816
260;0.005;0.063;921;1023;881;6854
261;0.005;0.063;921;1042;877;6872
262;0.005;0.063;920;1079;869;6872
263;0.005;0.063;919;1117;860;6880
264;0.005;0.063;915;1132;850;6684
265;0.01;0.063;956;1011;925;9068
266;0.01;0.063;967;1015;939;9546
267;0.01;0.063;973;1022;945;9856
268;0.01;0.063;978;1030;947;10091
269;0.01;0.063;981;1042;948;10284
270;0.01;0.063;982;1053;946;10366
271;0.01;0.063;983;1057;947;10443
272;0.01;0.063;985;1074;947;10566
273;0.01;0.063;986;1095;945;10662
274;0.01;0.063;987;1140;937;10732
275;0.01;0.063;977;1179;906;10194
276;0.01;0.063;972;1192;889;9873
277;0.015;0.063;993;1049;961;11393
278;0.015;0.063;1008;1054;980;12082
279;0.015;0.063;1016;1059;988;12530
280;0.015;0.063;1021;1067;992;12872
281;0.015;0.063;1026;1078;995;13159
282;0.015;0.063;1029;1093;993;13355
283;0.015;0.063;1030;1092;995;13411
284;0.015;0.063;1033;1108;995;13620
285;0.015;0.063;1035;1130;994;13795
286;0.015;0.063;1042;1183;995;14241
287;0.015;0.063;1011;1210;929;12249
288;0.015;0.063;1005;1226;917;11871
289;0.02;0.063;977;1041;937;10408
290;0.02;0.063;999;1050;962;11558
291;0.02;0.063;1013;1067;975;12349
292;0.02;0.063;1023;1084;985;13025
293;0.02;0.063;1031;1100;989;13487
294;0.02;0.063;1033;1111;990;13655
295;0.02;0.063;1033;1118;989;13674
296;0.02;0.063;1037;1123;986;13932
297;0.02;0.063;1042;1137;987;14243
298;0.02;0.063;1085;1215;1036;17099
300;0.02;0.063;1029;1249;935;13433
301;0.025;0.063;991;1059;951;11243
302;0.025;0.063;1014;1070;978;12518
303;0.025;0.063;1028;1077;991;13367
304;0.025;0.063;1040;1095;1002;14140
305;0.025;0.063;1049;1112;1008;14714
306;0.025;0.063;1052;1122;1009;14920
307;0.025;0.063;1053;1129;1009;14985
308;0.025;0.063;1060;1139;1007;15469
309;0.025;0.063;1065;1153;1007;15784
310;0.025;0.063;1118;1235;1067;19383
311;0.025;0.063;1076;1265;990;16476
312;0.025;0.063;1047;1267;946;14614
313;0.03;0.063;1001;1071;958;11870
314;0.03;0.063;1025;1083;987;13233
315;0.03;0.063;1040;1090;1004;14166
316;0.03;0.063;1053;1102;1016;15006
317;0.03;0.063;1064;1121;1024;15711
318;0.03;0.063;1068;1133;1026;16018
319;0.03;0.063;1071;1142;1028;16200
320;0.03;0.063;1078;1151;1024;16718
321;0.03;0.063;1084;1168;1025;17118
322;0.03;0.063;1088;1214;1019;17319
323;0.03;0.063;1097;1283;1008;17920
324;0.03;0.063;1061;1280;955;15506
325;0.035;0.063;1010;1081;965;12405
326;0.035;0.063;1034;1092;994;13787
327;0.035;0.063;1050;1101;1011;14802
328;0.035;0.063;1064;1111;1026;15722
329;0.035;0.063;1076;1128;1037;16541
330;0.035;0.063;1081;1140;1040;16880
331;0.035;0.063;1084;1152;1042;17117
332;0.035;0.063;1089;1158;1033;17448
333;0.035;0.063;1097;1176;1037;18025
334;0.035;0.063;1103;1222;1037;18375
335;0.035;0.063;1115;1298;1023;19091
336;0.035;0.063;1074;1292;963;16344
