ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Average Space Time Yield of CO (mol/m3/s)
757;1.013888889;0.005;0.08;5439;0.50656
758;1.216666667;0.005;0.08;6374;0.54772
759;1.419444444;0.005;0.08;6600;0.5684
760;1.622222222;0.005;0.08;6758;0.58375
761;1.825;0.005;0.08;6881;0.59739
762;1.925;0.005;0.08;6933;0.60465
763;2.027777778;0.005;0.08;6981;0.61209
764;2.230555556;0.005;0.08;7064;0.62859
765;2.433333333;0.005;0.08;7134;0.64605
766;2.838888889;0.005;0.08;7231;0.68411
767;3.244444444;0.005;0.08;7277;0.72765
768;3.447222222;0.005;0.08;7287;0.75212
769;1.013888889;0.01;0.08;7345;0.74805
770;1.216666667;0.01;0.08;9437;1.0142
771;1.419444444;0.01;0.08;9867;1.0619
772;1.622222222;0.01;0.08;10184;1.1086
773;1.825;0.01;0.08;10429;1.1469
774;1.925;0.01;0.08;10536;1.1663
775;2.027777778;0.01;0.08;10638;1.1864
776;2.230555556;0.01;0.08;10822;1.2266
777;2.433333333;0.01;0.08;10986;1.2647
778;2.838888889;0.01;0.08;11032;1.325
779;3.244444444;0.01;0.08;11418;1.4133
780;3.447222222;0.01;0.08;11479;1.4569
781;1.013888889;0.015;0.08;8535;0.93521
782;1.216666667;0.015;0.08;11932;1.5183
783;1.419444444;0.015;0.08;12554;1.626
784;1.622222222;0.015;0.08;11756;1.4407
785;1.825;0.015;0.08;13371;1.7932
786;1.925;0.015;0.08;13526;1.8293
787;2.027777778;0.015;0.08;13675;1.864
788;2.230555556;0.015;0.08;13946;1.9278
789;2.433333333;0.015;0.08;14190;1.9907
790;2.838888889;0.015;0.08;13800;1.9447
791;3.244444444;0.015;0.08;15467;2.4085
792;3.447222222;0.015;0.08;15050;2.2871
793;1.013888889;0.02;0.08;9423;1.0787
794;1.216666667;0.02;0.08;11284;1.3851
795;1.419444444;0.02;0.08;12494;1.6256
796;1.622222222;0.02;0.08;13303;1.8033
797;1.825;0.02;0.08;13878;1.9366
798;1.925;0.02;0.08;14217;2.0223
799;2.027777778;0.02;0.08;14509;2.1039
801;2.433333333;0.02;0.08;15295;2.3235
802;2.838888889;0.02;0.08;15920;2.5133
803;3.244444444;0.02;0.08;16347;2.6641
804;3.447222222;0.02;0.08;18684;3.3888
805;1.013888889;0.025;0.08;10046;1.1997
806;1.216666667;0.025;0.08;12237;1.6005
807;1.419444444;0.025;0.08;13640;1.9048
808;1.622222222;0.025;0.08;14505;2.1102
809;1.825;0.025;0.08;15102;2.2634
810;1.925;0.025;0.08;15491;2.3736
811;2.027777778;0.025;0.08;15858;2.4763
813;2.433333333;0.025;0.08;16789;2.7571
814;2.838888889;0.025;0.08;17733;3.058
815;3.244444444;0.025;0.08;18217;3.227
816;3.447222222;0.025;0.08;18427;3.3055
817;1.013888889;0.03;0.08;10508;1.2859
818;1.216666667;0.03;0.08;12992;1.7831
819;1.419444444;0.03;0.08;14567;2.1496
820;1.622222222;0.03;0.08;15441;2.3641
821;1.825;0.03;0.08;16082;2.5461
822;1.925;0.03;0.08;16513;2.6713
823;2.027777778;0.03;0.08;16943;2.8007
825;2.433333333;0.03;0.08;18031;3.1453
826;2.838888889;0.03;0.08;19156;3.52
827;3.244444444;0.03;0.08;19764;3.7269
828;3.447222222;0.03;0.08;19903;3.7891
829;1.013888889;0.035;0.08;10802;1.3457
830;1.216666667;0.035;0.08;13610;1.9335
831;1.419444444;0.035;0.08;15305;2.3472
832;1.622222222;0.035;0.08;16215;2.5871
833;1.825;0.035;0.08;16841;2.7686
834;1.925;0.035;0.08;17343;2.921
835;2.027777778;0.035;0.08;17647;3.0147
837;2.433333333;0.035;0.08;18988;3.4533
838;2.838888889;0.035;0.08;20298;3.9018
839;3.244444444;0.035;0.08;21043;4.1777
840;3.447222222;0.035;0.08;21025;4.1752
