ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Average Space Time Yield of CO (mol/m3/s)
337;1.825;0.005;0.04;8455;5.7523
338;2.19;0.005;0.04;8511;5.8136
339;2.555;0.005;0.04;8553;5.8588
340;2.92;0.005;0.04;8584;5.8923
341;3.285;0.005;0.04;8609;5.9195
342;3.465;0.005;0.04;8620;5.9315
343;3.65;0.005;0.04;8626;5.9376
344;4.015;0.005;0.04;8645;5.9586
345;4.38;0.005;0.04;8662;5.977
346;5.11;0.005;0.04;8694;6.0136
347;5.84;0.005;0.04;8720;6.0428
348;6.205;0.005;0.04;8708;6.0287
349;1.825;0.01;0.04;10197;7.6601
350;2.19;0.01;0.04;10272;7.7367
351;2.555;0.01;0.04;10323;7.7915
352;2.92;0.01;0.04;10362;7.8334
353;3.285;0.01;0.04;10393;7.8677
354;3.465;0.01;0.04;10406;7.882
355;3.65;0.01;0.04;10411;7.8877
356;4.015;0.01;0.04;10434;7.9134
357;4.38;0.01;0.04;10453;7.934
358;5.11;0.01;0.04;10489;7.9761
359;5.84;0.01;0.04;10515;8.0069
360;6.205;0.01;0.04;10496;7.9847
361;1.825;0.015;0.04;11629;9.232
362;2.19;0.015;0.04;11713;9.3132
363;2.555;0.015;0.04;11760;9.3593
364;2.92;0.015;0.04;11802;9.4031
365;3.285;0.015;0.04;11846;9.4501
366;3.465;0.015;0.04;11859;9.4643
367;3.65;0.015;0.04;11858;9.463
368;4.015;0.015;0.04;11888;9.4953
369;4.38;0.015;0.04;11905;9.5149
370;5.11;0.015;0.04;11940;9.5542
371;5.84;0.015;0.04;11962;9.5808
372;6.205;0.015;0.04;11940;9.5552
373;1.825;0.02;0.04;12743;10.421
374;2.19;0.02;0.04;12830;10.496
375;2.555;0.02;0.04;12866;10.528
376;2.92;0.02;0.04;12911;10.569
377;3.285;0.02;0.04;12963;10.618
378;3.465;0.02;0.04;12976;10.63
379;3.65;0.02;0.04;12960;10.616
380;4.015;0.02;0.04;13002;10.656
381;4.38;0.02;0.04;13018;10.672
382;5.11;0.02;0.04;13049;10.704
383;5.84;0.02;0.04;13067;10.724
384;6.205;0.02;0.04;13045;10.701
385;1.825;0.025;0.04;13583;11.248
386;2.19;0.025;0.04;13668;11.326
387;2.555;0.025;0.04;13705;11.354
388;2.92;0.025;0.04;13750;11.388
389;3.285;0.025;0.04;13793;11.42
390;3.465;0.025;0.04;13805;11.43
391;3.65;0.025;0.04;13783;11.413
392;4.015;0.025;0.04;13830;11.449
393;4.38;0.025;0.04;13845;11.461
394;5.11;0.025;0.04;13871;11.483
395;5.84;0.025;0.04;13887;11.496
396;6.205;0.025;0.04;13866;11.479
397;1.825;0.03;0.04;14219;11.776
398;2.19;0.03;0.04;14298;11.84
399;2.555;0.03;0.04;14336;11.871
400;2.92;0.03;0.04;14353;11.885
401;3.285;0.03;0.04;14415;11.939
402;3.465;0.03;0.04;14425;11.948
403;3.65;0.03;0.04;14432;11.95
404;4.015;0.03;0.04;14448;11.967
405;4.38;0.03;0.04;14461;11.977
406;5.11;0.03;0.04;14485;11.995
407;5.84;0.03;0.04;14498;12.004
408;6.205;0.03;0.04;14481;11.991
409;1.825;0.035;0.04;14707;12.142
410;2.19;0.035;0.04;14782;12.189
411;2.555;0.035;0.04;14778;12.186
413;3.285;0.035;0.04;14891;12.26
414;3.465;0.035;0.04;14901;12.267
415;3.65;0.035;0.04;14858;12.238
416;4.015;0.035;0.04;14922;12.281
417;4.38;0.035;0.04;14935;12.29
418;5.11;0.035;0.04;14957;12.305
419;5.84;0.035;0.04;14970;12.314
420;6.205;0.035;0.04;14954;12.303
