ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Average Space Time Yield of CO (mol/m3/s)
589;1.825;0.005;0.04;5643;2.9358
590;2.19;0.005;0.04;5807;3.093
591;2.555;0.005;0.04;5884;3.1692
592;2.92;0.005;0.04;5933;3.2216
593;3.285;0.005;0.04;5966;3.2598
594;3.465;0.005;0.04;5978;3.2755
595;3.65;0.005;0.04;5987;3.2902
596;4.015;0.005;0.04;6001;3.3168
597;4.38;0.005;0.04;6007;3.3389
598;5.11;0.005;0.04;6019;3.3851
599;5.84;0.005;0.04;6038;3.4327
600;6.205;0.005;0.04;6016;3.4302
602;2.19;0.01;0.04;8338;5.6435
603;2.555;0.01;0.04;8488;5.8061
604;2.92;0.01;0.04;8595;5.923
605;3.285;0.01;0.04;8670;6.0087
606;3.465;0.01;0.04;8700;6.0427
607;3.65;0.01;0.04;8724;6.0722
608;4.015;0.01;0.04;8764;6.1221
609;4.38;0.01;0.04;8864;6.2404
610;5.11;0.01;0.04;8811;6.1948
611;5.84;0.01;0.04;8779;6.1533
612;6.205;0.01;0.04;8437;5.795
615;2.555;0.015;0.04;5346;2.6813
616;2.92;0.015;0.04;8468;5.8061
617;3.285;0.015;0.04;8670;6.0299
618;3.465;0.015;0.04;10776;8.324
619;3.65;0.015;0.04;10874;8.4339
620;4.015;0.015;0.04;10882;8.439
621;4.38;0.015;0.04;11012;8.5789
622;5.11;0.015;0.04;10954;8.5102
623;5.84;0.015;0.04;10888;8.4119
624;6.205;0.015;0.04;9500;6.9089
626;2.19;0.02;0.04;5288;2.6293
627;2.555;0.02;0.04;9021;6.4014
628;2.92;0.02;0.04;9309;6.7177
629;3.285;0.02;0.04;9571;7.0126
630;3.465;0.02;0.04;9707;7.1621
631;3.65;0.02;0.04;9777;7.2418
632;4.015;0.02;0.04;12500;10.161
633;4.38;0.02;0.04;5711;3.0254
634;5.11;0.02;0.04;10223;7.7238
635;5.84;0.02;0.04;10617;8.1174
636;6.205;0.02;0.04;10367;7.8381
637;1.825;0.025;0.04;8855;6.2338
638;2.19;0.025;0.04;9307;6.7191
639;2.555;0.025;0.04;9578;7.0149
640;2.92;0.025;0.04;9941;7.4221
641;3.285;0.025;0.04;10247;7.7596
642;3.465;0.025;0.04;10377;7.9031
643;3.65;0.025;0.04;10486;8.0239
644;4.015;0.025;0.04;10492;8.0309
645;4.38;0.025;0.04;10759;8.3126
646;5.11;0.025;0.04;10965;8.5317
647;5.84;0.025;0.04;11427;8.9849
648;6.205;0.025;0.04;11407;8.9578
649;1.825;0.03;0.04;9287;6.716
650;2.19;0.03;0.04;9796;7.2636
651;2.555;0.03;0.04;10044;7.536
652;2.92;0.03;0.04;10524;8.0592
653;3.285;0.03;0.04;10763;8.3206
654;3.465;0.03;0.04;10894;8.4693
655;3.65;0.03;0.04;11077;8.6683
656;4.015;0.03;0.04;11100;8.6928
657;4.38;0.03;0.04;11321;8.9245
658;5.11;0.03;0.04;11548;9.1565
659;5.84;0.03;0.04;12031;9.6252
660;6.205;0.03;0.04;12029;9.6009
661;1.825;0.035;0.04;9561;7.022
662;2.19;0.035;0.04;10088;7.5874
663;2.555;0.035;0.04;10486;8.023
664;2.92;0.035;0.04;10957;8.5309
665;3.285;0.035;0.04;11147;8.7449
666;3.465;0.035;0.04;11278;8.8914
667;3.65;0.035;0.04;11468;9.093
668;4.015;0.035;0.04;11507;9.1341
669;4.38;0.035;0.04;11806;9.4429
670;5.11;0.035;0.04;12078;9.7189
671;5.84;0.035;0.04;12440;10.041
672;6.205;0.035;0.04;12527;10.128
