ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Average Space Time Yield of CO (mol/m3/s)
169;1.25;0.005;0.063;5740;0.84493
170;1.5;0.005;0.063;6078;0.9148
171;1.75;0.005;0.063;6276;0.9622
172;2;0.005;0.063;6421;0.99552
173;2.25;0.005;0.063;6511;1.0199
174;2.375;0.005;0.063;6579;1.035
175;2.5;0.005;0.063;6621;1.0479
176;2.75;0.005;0.063;6684;1.0736
177;3;0.005;0.063;6753;1.0989
178;3.5;0.005;0.063;6835;1.1448
179;4;0.005;0.063;6856;1.1949
180;4.25;0.005;0.063;6852;1.2162
181;1.25;0.01;0.063;7120;1.1955
182;1.5;0.01;0.063;8985;1.7593
183;1.75;0.01;0.063;9360;1.8904
184;2;0.01;0.063;9639;1.9882
185;2.25;0.01;0.063;9825;2.0763
186;2.375;0.01;0.063;9949;2.0974
187;2.5;0.01;0.063;10037;2.1354
188;2.75;0.01;0.063;10282;2.2551
189;3;0.01;0.063;10326;2.2677
190;3.5;0.01;0.063;10528;2.3599
191;4;0.01;0.063;10084;2.2448
192;4.25;0.01;0.063;10670;2.4673
193;1.25;0.015;0.063;10123;2.2019
194;1.5;0.015;0.063;9302;1.8827
195;1.75;0.015;0.063;10132;2.1829
196;2;0.015;0.063;10692;2.4045
197;2.25;0.015;0.063;11150;2.6041
198;2.375;0.015;0.063;11351;2.691
199;2.5;0.015;0.063;11520;2.7653
200;2.75;0.015;0.063;11783;2.8808
201;3;0.015;0.063;12052;3.0052
202;3.5;0.015;0.063;14288;4.0592
203;4;0.015;0.063;12721;3.334
204;4.25;0.015;0.063;12720;3.3401
205;1.25;0.02;0.063;9050;1.8193
206;1.5;0.02;0.063;10407;2.2897
207;1.75;0.02;0.063;11383;2.6951
208;2;0.02;0.063;12004;2.9709
209;2.25;0.02;0.063;12555;3.212
210;2.375;0.02;0.063;12781;3.3149
211;2.5;0.02;0.063;13000;3.4188
212;2.75;0.02;0.063;13367;3.5995
213;3;0.02;0.063;13723;3.7762
215;4;0.02;0.063;14579;4.2152
216;4.25;0.02;0.063;14618;4.2369
217;1.25;0.025;0.063;9699;2.0502
218;1.5;0.025;0.063;11219;2.6232
219;1.75;0.025;0.063;12283;3.0827
220;2;0.025;0.063;12987;3.4053
221;2.25;0.025;0.063;13621;3.7063
222;2.375;0.025;0.063;13852;3.8225
223;2.5;0.025;0.063;14119;3.9586
224;2.75;0.025;0.063;14530;4.1688
225;3;0.025;0.063;14970;4.3925
226;3.5;0.025;0.063;15589;4.7101
227;4;0.025;0.063;16013;4.9327
228;4.25;0.025;0.063;16134;4.9997
229;1.25;0.03;0.063;10243;2.26
230;1.5;0.03;0.063;11913;2.9257
231;1.75;0.03;0.063;13026;3.4214
232;2;0.03;0.063;13847;3.8161
233;2.25;0.03;0.063;14487;4.1437
234;2.375;0.03;0.063;14690;4.2477
235;2.5;0.03;0.063;14957;4.3845
236;2.75;0.03;0.063;15399;4.6085
237;3;0.03;0.063;15894;4.8606
238;3.5;0.03;0.063;16635;5.2508
239;4;0.03;0.063;17212;5.5602
240;4.25;0.03;0.063;17459;5.6944
241;1.25;0.035;0.063;10619;2.4056
242;1.5;0.035;0.063;12382;3.1333
243;1.75;0.035;0.063;13592;3.6913
244;2;0.035;0.063;14326;4.0543
245;2.25;0.035;0.063;15059;4.4324
246;2.375;0.035;0.063;15355;4.5835
247;2.5;0.035;0.063;15662;4.7391
248;2.75;0.035;0.063;16226;5.028
249;3;0.035;0.063;16623;5.2363
250;3.5;0.035;0.063;17540;5.7304
251;4;0.035;0.063;18198;6.0854
252;4.25;0.035;0.063;18385;6.1856
