ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Average Space Time Yield of CO (mol/m3/s)
1;1.25;0.005;0.063;9801;2.0331
2;1.5;0.005;0.063;9899;2.0786
3;1.75;0.005;0.063;9958;2.1042
4;2;0.005;0.063;10012;2.1259
5;2.25;0.005;0.063;10061;2.1449
6;2.375;0.005;0.063;10082;2.1529
7;2.5;0.005;0.063;10099;2.1593
8;2.75;0.005;0.063;10133;2.1715
10;3.5;0.005;0.063;10215;2.2082
11;4;0.005;0.063;10260;2.2263
12;4.25;0.005;0.063;10246;2.2167
13;1.25;0.01;0.063;12373;3.0858
14;1.5;0.01;0.063;12522;3.1696
15;1.75;0.01;0.063;12619;3.2208
16;2;0.01;0.063;12680;3.2522
17;2.25;0.01;0.063;12759;3.2907
18;2.375;0.01;0.063;12788;3.3048
19;2.5;0.01;0.063;12811;3.3162
20;2.75;0.01;0.063;12855;3.3371
23;4;0.01;0.063;13000;3.403
24;4.25;0.01;0.063;12968;3.3884
25;1.25;0.015;0.063;14735;4.2235
26;1.5;0.015;0.063;14933;4.3263
27;1.75;0.015;0.063;15022;4.3724
28;2;0.015;0.063;15126;4.426
29;2.25;0.015;0.063;15243;4.4887
30;2.375;0.015;0.063;15279;4.5088
31;2.5;0.015;0.063;15310;4.5256
32;2.75;0.015;0.063;15365;4.5554
34;3.5;0.015;0.063;15470;4.611
35;4;0.015;0.063;15523;4.6391
36;4.25;0.015;0.063;15476;4.6156
37;1.25;0.02;0.063;16840;5.328
38;1.5;0.02;0.063;17085;5.468
39;1.75;0.02;0.063;17166;5.5142
40;2;0.02;0.063;17288;5.5805
41;2.25;0.02;0.063;17467;5.6763
42;2.375;0.02;0.063;17513;5.7008
43;2.5;0.02;0.063;17551;5.7206
44;2.75;0.02;0.063;17618;5.7563
46;3.5;0.02;0.063;17733;5.818
47;4;0.02;0.063;17801;5.8544
48;4.25;0.02;0.063;17745;5.8244
49;1.25;0.025;0.063;18712;6.334
50;1.5;0.025;0.063;19001;6.4934
51;1.75;0.025;0.063;19075;6.5351
52;2;0.025;0.063;19229;6.6186
53;2.25;0.025;0.063;19450;6.7376
54;2.375;0.025;0.063;19504;6.7662
55;2.5;0.025;0.063;19549;6.7905
56;2.75;0.025;0.063;19629;6.8339
58;3.5;0.025;0.063;19766;6.9088
59;4;0.025;0.063;19843;6.9507
60;4.25;0.025;0.063;19785;6.9189
61;1.25;0.03;0.063;20380;7.2455
62;1.5;0.03;0.063;20708;7.4224
63;1.75;0.03;0.063;20812;7.4778
65;2.25;0.03;0.063;21219;7.6958
66;2.375;0.03;0.063;21280;7.7288
67;2.5;0.03;0.063;21331;7.7562
68;2.75;0.03;0.063;21423;7.8053
70;3.5;0.03;0.063;21636;7.913
71;4;0.03;0.063;21672;7.9365
72;4.25;0.03;0.063;21615;7.9062
73;1.25;0.035;0.063;21869;8.0393
74;1.5;0.035;0.063;22234;8.2276
75;1.75;0.035;0.063;22374;8.2974
76;2;0.035;0.063;22560;8.3846
77;2.25;0.035;0.063;22797;8.493
78;2.375;0.035;0.063;22865;8.5253
79;2.5;0.035;0.063;22921;8.552
80;2.75;0.035;0.063;23023;8.601
82;3.5;0.035;0.063;23271;8.7276
83;4;0.035;0.063;23308;8.7433
84;4.25;0.035;0.063;23255;8.717
