ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Average Space Time Yield of CO (mol/m3/s)
505;1.825;0.005;0.04;5446;2.7732
506;2.19;0.005;0.04;5607;2.911
507;2.555;0.005;0.04;5712;3.0045
508;2.92;0.005;0.04;5784;3.0736
509;3.285;0.005;0.04;5792;3.0852
510;3.465;0.005;0.04;5854;3.1429
511;3.65;0.005;0.04;5872;3.1616
512;4.015;0.005;0.04;5901;3.1926
513;4.38;0.005;0.04;5925;3.2192
514;5.11;0.005;0.04;5959;3.2635
515;5.84;0.005;0.04;5968;3.2933
516;6.205;0.005;0.04;5961;3.2992
517;1.825;0.01;0.04;7765;5.0393
518;2.19;0.01;0.04;8059;5.3462
519;2.555;0.01;0.04;8252;5.5492
520;2.92;0.01;0.04;8387;5.6927
521;3.285;0.01;0.04;8456;5.7785
522;3.465;0.01;0.04;8524;5.8395
523;3.65;0.01;0.04;8559;5.8779
524;4.015;0.01;0.04;8620;5.9456
525;4.38;0.01;0.04;8669;6.0008
526;5.11;0.01;0.04;8741;6.0841
527;5.84;0.01;0.04;8768;6.1267
528;6.205;0.01;0.04;8763;6.1288
529;1.825;0.015;0.04;7049;4.313
530;2.19;0.015;0.04;7592;4.8595
531;2.555;0.015;0.04;7957;5.2484
532;2.92;0.015;0.04;8192;5.4977
533;3.285;0.015;0.04;8365;5.6835
534;3.465;0.015;0.04;8442;5.7667
535;3.65;0.015;0.04;8520;5.8514
536;4.015;0.015;0.04;8634;5.9761
537;4.38;0.015;0.04;10712;8.2403
538;5.11;0.015;0.04;10817;8.3574
539;5.84;0.015;0.04;10873;8.4274
540;6.205;0.015;0.04;10883;8.4383
541;1.825;0.02;0.04;7727;5.0161
542;2.19;0.02;0.04;8341;5.6684
543;2.555;0.02;0.04;8779;6.1336
544;2.92;0.02;0.04;9020;6.3927
545;3.285;0.02;0.04;9274;6.6687
546;3.465;0.02;0.04;9330;6.731
547;3.65;0.02;0.04;9402;6.8112
548;4.015;0.02;0.04;9530;6.9546
549;4.38;0.02;0.04;9760;7.216
550;5.11;0.02;0.04;9968;7.4501
551;5.84;0.02;0.04;10072;7.5626
552;6.205;0.02;0.04;10203;7.707
553;1.825;0.025;0.04;8218;5.5501
554;2.19;0.025;0.04;8932;6.3118
555;2.555;0.025;0.04;9369;6.7814
556;2.92;0.025;0.04;9621;7.0554
557;3.285;0.025;0.04;9937;7.4068
558;3.465;0.025;0.04;9930;7.3987
559;3.65;0.025;0.04;10007;7.4857
560;4.015;0.025;0.04;10191;7.6943
561;4.38;0.025;0.04;10396;7.9153
562;5.11;0.025;0.04;10708;8.2613
563;5.84;0.025;0.04;10777;8.3379
564;6.205;0.025;0.04;10941;8.516
565;1.825;0.03;0.04;8663;6.0446
566;2.19;0.03;0.04;9347;6.7684
567;2.555;0.03;0.04;9876;7.3428
568;2.92;0.03;0.04;10152;7.6443
569;3.285;0.03;0.04;10440;7.962
570;3.465;0.03;0.04;10346;7.8579
571;3.65;0.03;0.04;10457;7.9805
572;4.015;0.03;0.04;10653;8.1929
573;4.38;0.03;0.04;10884;8.4481
574;5.11;0.03;0.04;11189;8.7956
575;5.84;0.03;0.04;11370;8.989
576;6.205;0.03;0.04;11389;9.0072
577;1.825;0.035;0.04;8976;6.3917
578;2.19;0.035;0.04;9648;7.1005
579;2.555;0.035;0.04;10180;7.681
580;2.92;0.035;0.04;10528;8.0596
581;3.285;0.035;0.04;10661;8.203
582;3.465;0.035;0.04;10777;8.3292
583;3.65;0.035;0.04;10741;8.2902
584;4.015;0.035;0.04;10983;8.553
585;4.38;0.035;0.04;11252;8.8565
586;5.11;0.035;0.04;11553;9.1934
587;5.84;0.035;0.04;11760;9.4086
588;6.205;0.035;0.04;11851;9.4945
