ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Average Space Time Yield of CO (mol/m3/s)
925;1.013888889;0.005;0.08;6050;0.49293
926;1.216666667;0.005;0.08;6567;0.53576
927;1.419444444;0.005;0.08;6789;0.57305
928;1.622222222;0.005;0.08;6939;0.6026
929;1.825;0.005;0.08;7049;0.63274
930;1.925;0.005;0.08;7094;0.64851
931;2.027777778;0.005;0.08;7132;0.66423
932;2.230555556;0.005;0.08;7188;0.69565
933;2.433333333;0.005;0.08;7215;0.72951
934;2.838888889;0.005;0.08;7206;0.79987
935;3.244444444;0.005;0.08;7051;0.88516
936;3.447222222;0.005;0.08;7428;0.9323
937;1.013888889;0.01;0.08;8330;0.74543
938;1.216666667;0.01;0.08;9843;0.98545
939;1.419444444;0.01;0.08;10286;1.0856
940;1.622222222;0.01;0.08;10608;1.1599
941;1.825;0.01;0.08;10870;1.2303
942;1.925;0.01;0.08;10992;1.2649
943;2.027777778;0.01;0.08;11099;1.3004
944;2.230555556;0.01;0.08;11272;1.3638
945;2.433333333;0.01;0.08;11418;1.4311
946;2.838888889;0.01;0.08;11526;1.5623
947;3.244444444;0.01;0.08;10847;1.5791
948;3.447222222;0.01;0.08;10434;1.5292
949;1.013888889;0.015;0.08;9881;0.97175
950;1.216666667;0.015;0.08;12517;1.4847
951;1.419444444;0.015;0.08;13173;1.6836
952;1.622222222;0.015;0.08;13642;1.8176
953;1.825;0.015;0.08;14027;1.9291
954;1.925;0.015;0.08;14221;1.996
955;2.027777778;0.015;0.08;14388;2.051
956;2.230555556;0.015;0.08;14686;2.1557
957;2.433333333;0.015;0.08;14942;2.2576
958;2.838888889;0.015;0.08;15382;2.4649
960;3.447222222;0.015;0.08;12919;2.0918
961;1.013888889;0.02;0.08;11044;1.1501
962;1.216666667;0.02;0.08;12327;1.455
963;1.419444444;0.02;0.08;13542;1.7885
964;1.622222222;0.02;0.08;14501;2.0622
965;1.825;0.02;0.08;15070;2.2401
966;1.925;0.02;0.08;15260;2.2952
967;2.027777778;0.02;0.08;15331;2.3103
968;2.230555556;0.02;0.08;15647;2.4427
969;2.433333333;0.02;0.08;18391;3.2839
970;2.838888889;0.02;0.08;16300;2.7623
972;3.447222222;0.02;0.08;14620;2.5417
973;1.013888889;0.025;0.08;11965;1.3091
974;1.216666667;0.025;0.08;13428;1.7147
975;1.419444444;0.025;0.08;14757;2.0886
976;1.622222222;0.025;0.08;15867;2.4345
977;1.825;0.025;0.08;16607;2.6829
978;1.925;0.025;0.08;16894;2.7774
979;2.027777778;0.025;0.08;17006;2.8115
980;2.230555556;0.025;0.08;17536;2.9965
982;2.838888889;0.025;0.08;18267;3.3435
984;3.447222222;0.025;0.08;15974;2.9081
985;1.013888889;0.03;0.08;12688;1.4408
988;1.622222222;0.03;0.08;16951;2.7569
989;1.825;0.03;0.08;17875;3.066
991;2.027777778;0.03;0.08;18498;3.2775
992;2.230555556;0.03;0.08;19074;3.5067
994;2.838888889;0.03;0.08;19955;3.8844
996;3.447222222;0.03;0.08;16906;3.1802
997;1.013888889;0.035;0.08;13281;1.5649
1000;1.622222222;0.035;0.08;17839;3.0334
1001;1.825;0.035;0.08;18909;3.3944
1002;1.925;0.035;0.08;19314;3.5338
1003;2.027777778;0.035;0.08;19778;3.7056
1004;2.230555556;0.035;0.08;20508;3.9977
1006;2.838888889;0.035;0.08;21431;4.3766
1008;3.447222222;0.035;0.08;17940;3.4938
