ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Average Space Time Yield of CO (mol/m3/s)
421;1.825;0.005;0.04;5552;2.8694
422;2.19;0.005;0.04;5689;2.9895
423;2.555;0.005;0.04;5780;3.0702
424;2.92;0.005;0.04;5846;3.1332
425;3.285;0.005;0.04;5894;3.1813
426;3.465;0.005;0.04;5913;3.2008
427;3.65;0.005;0.04;5930;3.2191
428;4.015;0.005;0.04;5958;3.2495
429;4.38;0.005;0.04;5981;3.275
430;5.11;0.005;0.04;6013;3.3159
431;5.84;0.005;0.04;6026;3.3468
432;6.205;0.005;0.04;6035;3.3671
433;1.825;0.01;0.04;7860;5.1516
434;2.19;0.01;0.04;8112;5.407
435;2.555;0.01;0.04;8282;5.586
436;2.92;0.01;0.04;8407;5.7178
437;3.285;0.01;0.04;8502;5.8178
438;3.465;0.01;0.04;8539;5.8585
439;3.65;0.01;0.04;8574;5.896
440;4.015;0.01;0.04;8632;5.9597
441;4.38;0.01;0.04;8680;6.0126
442;5.11;0.01;0.04;8745;6.0884
443;5.84;0.01;0.04;8772;6.1306
444;6.205;0.01;0.04;8785;6.1518
445;1.825;0.015;0.04;9583;7.0551
446;2.19;0.015;0.04;7569;4.8413
447;2.555;0.015;0.04;7862;5.1504
448;2.92;0.015;0.04;8081;5.3839
449;3.285;0.015;0.04;8251;5.5656
450;3.465;0.015;0.04;8356;5.6786
452;4.015;0.015;0.04;10637;8.1602
453;4.38;0.015;0.04;8701;6.0526
454;5.11;0.015;0.04;10802;8.3396
455;5.84;0.015;0.04;11031;8.5969
456;6.205;0.015;0.04;10879;8.4304
457;1.825;0.02;0.04;7822;5.1283
458;2.19;0.02;0.04;8291;5.6172
459;2.555;0.02;0.04;8650;5.9974
460;2.92;0.02;0.04;8906;6.2698
461;3.285;0.02;0.04;9091;6.4687
462;3.465;0.02;0.04;9186;6.5729
464;4.015;0.02;0.04;9486;6.9063
465;4.38;0.02;0.04;9650;7.0937
466;5.11;0.02;0.04;9943;7.4172
467;5.84;0.02;0.04;10072;7.5605
468;6.205;0.02;0.04;12417;10.07
469;1.825;0.025;0.04;8323;5.6689
470;2.19;0.025;0.04;8862;6.2386
471;2.555;0.025;0.04;9222;6.6205
472;2.92;0.025;0.04;9511;6.9355
473;3.285;0.025;0.04;9690;7.1329
474;3.465;0.025;0.04;9804;7.2598
476;4.015;0.025;0.04;10118;7.6155
477;4.38;0.025;0.04;10306;7.8183
478;5.11;0.025;0.04;10674;8.2175
479;5.84;0.025;0.04;10687;8.2363
480;6.205;0.025;0.04;10688;8.2405
481;1.825;0.03;0.04;8759;6.1505
482;2.19;0.03;0.04;9347;6.7716
483;2.555;0.03;0.04;9674;7.1215
484;2.92;0.03;0.04;10015;7.4954
485;3.285;0.03;0.04;10152;7.6476
486;3.465;0.03;0.04;10256;7.7628
488;4.015;0.03;0.04;10576;8.1081
489;4.38;0.03;0.04;10645;8.1851
490;5.11;0.03;0.04;11193;8.7905
491;5.84;0.03;0.04;11159;8.7539
492;6.205;0.03;0.04;11044;8.6282
493;1.825;0.035;0.04;9174;6.6083
494;2.19;0.035;0.04;9663;7.1193
495;2.555;0.035;0.04;9982;7.463
496;2.92;0.035;0.04;10350;7.8672
497;3.285;0.035;0.04;10501;8.0309
498;3.465;0.035;0.04;10616;8.1551
500;4.015;0.035;0.04;10836;8.392
501;4.38;0.035;0.04;11018;8.594
502;5.11;0.035;0.04;11547;9.1795
503;5.84;0.035;0.04;11559;9.192
504;6.205;0.035;0.04;11441;9.0635
