Mesh,Massflow,Case,Temperatures(K)
1,mflow005,styleA,960.4632030984042,951.4093171379607,947.4813797761873,952.3839384731948,965.1038720757666
2,mflow005,styleA,959.1208572351105,949.8387793406963,945.9479130926964,950.6952276733094,963.3746970441548
3,mflow005,styleA,956.7794819856555,947.4443752951563,942.9478641032174,948.2273248972283,961.7024725831699
4,mflow005,styleA,954.1243458528897,944.3602319639663,938.9540284880571,944.8490797449997,959.2951298149111
5,mflow005,styleA,952.1057204165733,941.9165063698641,934.7337582369853,941.177868101346,956.7371100500825
6,mflow005,styleA,951.5694057941528,941.5474335792496,934.1301174650001,940.4763463991013,955.4864786477408
7,mflow005,styleA,951.2343281137416,940.8886223317625,932.697184582574,939.6779454252587,955.0940121087028
8,mflow005,styleA,950.7579107447873,940.5443536821041,931.4939134118464,938.3384070382166,954.4115260816459
9,mflow005,styleA,950.6360880981151,940.1880448898806,930.7983157817233,937.7703223139927,953.9220079569179
10,mflow005,styleA,950.6413392930422,940.0661122522201,930.6948334749445,937.4681908437484,953.9748446308072
11,mflow005,styleA,950.5763399087688,940.0215165065126,930.6670279842233,937.4590169819172,953.6614612994615
12,mflow005,styleA,
13,mflow005,styleA,950.3593860972633,940.4397190356816,930.776636875439,937.4255066115633,953.881846988974
1,mflow035,styleA,1017.8922713866989,1005.0861069642948,1000.4037839562171,1007.3883074637334,1023.6139677095294
2,mflow035,styleA,1018.357338547552,1005.2069172598041,1000.3904574106118,1007.6967864484153,1023.6930663618112
3,mflow035,styleA,1014.7806202198166,1002.0591002815914,997.2360358639703,1004.5243908910712,1020.7235484651791
4,mflow035,styleA,1009.7538646800929,997.7846510625201,992.2532563121662,998.7128047567895,1015.4549622352124
5,mflow035,styleA,1007.0994548757234,994.9601844156831,987.6791120957674,994.7119979957513,1012.3488709256102
6,mflow035,styleA,1006.7919481176851,994.9880996587227,987.3783064002889,994.3414208427323,1011.3358969294943
7,mflow035,styleA,1005.7863316185142,993.9609220549526,985.8137161676411,992.9341475548102,1010.0960104242289
8,mflow035,styleA,1005.321940703585,993.7067392239599,984.8765610042469,991.8948535948048,1009.5043492196178
9,mflow035,styleA,1003.776996063114,992.561489266327,983.4590339427945,990.0290246330145,1006.8894448465413
10,mflow035,styleA,1004.9502578003218,993.123819629373,983.9499463549965,990.9348200512062,1008.594439806504
11,mflow035,styleA,950.6325261882655,943.1212455947596,934.3788143770195,939.2982984628073,952.8861114498627
12,mflow035,styleA,
13,mflow035,styleA,962.8568314531873,957.0183151302251,950.2096264938203,954.0154597402841,954.5893098554491
