Mesh,Massflow,Case,Force(N)
1,mflow005,styleA,-1.1341408910202407E-4,-3.3424482018740444E-5,-1.131618792731661E-5,3.130283379500131E-5,1.8026513088363543E-4
2,mflow005,styleA,-1.1915836278203728E-4,-3.500906831817861E-5,-1.3519144512077552E-5,2.9123011671768653E-5,1.7294891021615519E-4
3,mflow005,styleA,-1.0588013327792243E-4,-3.03540820820485E-5,-1.0766205749488043E-5,3.2442805248494185E-5,1.6900666755975194E-4
4,mflow005,styleA,-1.0731919860365915E-4,-3.104602954297428E-5,-1.611293810517821E-5,2.3588832577212317E-5,1.4738645036058124E-4
5,mflow005,styleA,-1.0715905141914263E-4,-3.026525995261016E-5,-1.5860012520200453E-5,2.447840422348726E-5,1.4274318706715392E-4
6,mflow005,styleA,-1.108785047902005E-4,-3.134614649264893E-5,-1.6357597348036737E-5,2.4291711611521603E-5,1.4197081181070842E-4
7,mflow005,styleA,-1.1149345664851379E-4,-3.120638406250723E-5,-1.6279248842432846E-5,2.549570901775319E-5,1.4449773860578395E-4
8,mflow005,styleA,-1.120521333696474E-4,-3.1410198289538E-5,-1.6408250584215415E-5,2.559299145553068E-5,1.429193665164945E-4
9,mflow005,styleA,-1.1237643387774055E-4,-3.136588088940268E-5,-1.647074121049324E-5,2.5577751760568617E-5,1.423786682330741E-4
10,mflow005,styleA,-1.1234590014176386E-4,-3.130805701385904E-5,-1.6604324645402235E-5,2.5398248388169465E-5,1.4198303231924162E-4
11,mflow005,styleA,-1.1246742762687116E-4,-3.14441728774742E-5,-1.6657845386284203E-5,2.5806052400829386E-5,1.4194858706753305E-4
12,mflow005,styleA,
13,mflow005,styleA,-1.0273228348535739E-4,-2.3888259383381953E-5,-8.614310408823444E-6,4.121466102273395E-5,1.370383343854754E-4
1,mflow035,styleA,-0.002701297306312018,-0.001102568339490755,-8.579837960068528E-4,-6.934829095922904E-4,0.004525116179098763
2,mflow035,styleA,-0.0030728633150700923,-0.0012964649419275544,-9.997514715865347E-4,-5.821169476172325E-4,0.005276907122027587
3,mflow035,styleA,-0.0022018318277248986,-0.0010514054496978831,-8.960044880226941E-4,-7.285485757252704E-4,0.004981649930226365
4,mflow035,styleA,-0.0017016658674368428,-5.91407241486814E-4,-4.900270761366995E-4,-3.607771495049293E-4,0.0015399745425373377
5,mflow035,styleA,-0.002012787144461041,-6.616720569829098E-4,-4.8616509402238243E-4,-3.1340251022710097E-4,0.0022318124052631313
6,mflow035,styleA,-0.0018597405683498957,-6.152506962653259E-4,-4.419028291971268E-4,-9.480169434760672E-5,0.00206726324670703
7,mflow035,styleA,-0.0018274275640983672,-5.847585135839705E-4,-4.340783754284667E-4,-1.485882126687698E-4,0.001863083872106347
8,mflow035,styleA,-0.0017268595122299348,-5.456311568756083E-4,-4.3409028082830553E-4,-2.2763712471280463E-4,0.0018842197730817645
9,mflow035,styleA,-0.001288980665540256,-4.1213812619228686E-4,-3.4823268874149707E-4,-5.427075831318604E-5,0.001061891236538699
10,mflow035,styleA,-0.0016473882090997298,-5.677176108550554E-4,-4.785228038261239E-4,-2.165901113553769E-4,0.0016469360889925073
11,mflow035,styleA,0.029399621509412673,0.06798131399350957,0.032041199923476656,0.02724446149991802,0.013052427373001543
12,mflow035,styleA,
13,mflow035,styleA,0.0014917248075337086,0.12764481357624052,0.11410007803945808,0.09500135734615639,0.018795736792277588
